candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
quadratic_data__mean_zero__diagonal_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,nominal,12,-0.14225254656012398,-0.2532361353708658,1.0,-0.652832461083301,2.4337078477505405,5.0250901877002,-0.22500639744435094,"{""single_interface"":-0.22500639744435094,""smooth_no_interface"":-0.059498695675897044}",True
quadratic_data__mean_zero__diagonal_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,sparse_flowon_outlier,12,-0.14230059984068477,-0.2535697150103082,1.0,-0.6464398551367895,2.063316075621469,3.6770197326223806,-0.22517865912906002,"{""single_interface"":-0.22517865912906002,""smooth_no_interface"":-0.05942254055230952}",True
quadratic_data__mean_zero__diagonal_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,nominal,12,0.14319091863014155,0.05487169324048777,0.16666666666666666,-0.47312445298850814,1.9765529384111884,3.962773062977039,-0.012462051472301656,"{""single_interface"":-0.012462051472301656,""smooth_no_interface"":0.2988438887325848}",True
quadratic_data__mean_zero__diagonal_flowoff__l0p1,quadratic_measurement_pdhg_control,zero,diagonal_flowoff,sparse_flowon_outlier,12,0.1418324011181433,0.05267662198880238,0.16666666666666666,-0.4671015997603729,1.7091157211515515,2.9704507440001535,-0.013962435225240252,"{""single_interface"":-0.013962435225240252,""smooth_no_interface"":0.29762723746152686}",True
quadratic_data__mean_zero__isotropic_flowoff__l0,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,nominal,12,-0.18877111890043963,-0.3161003059754302,1.0,-0.6262775822641302,2.6058057983320686,4.872137488074529,-0.24803461564087773,"{""single_interface"":-0.24803461564087773,""smooth_no_interface"":-0.12950762216000153}",True
quadratic_data__mean_zero__isotropic_flowoff__l0,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,sparse_flowon_outlier,12,-0.1886873067298883,-0.31625622557427296,1.0,-0.6206284659834422,2.2006960659680814,3.5796244088271645,-0.24836075842370975,"{""single_interface"":-0.24836075842370975,""smooth_no_interface"":-0.1290138550360668}",True
quadratic_data__mean_zero__isotropic_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,nominal,12,-0.18544153661554352,-0.3126768876738878,1.0,-0.6327089345329197,2.6804807707213203,4.925797622606345,-0.2454922638248003,"{""single_interface"":-0.2454922638248003,""smooth_no_interface"":-0.12539080940628675}",True
quadratic_data__mean_zero__isotropic_flowoff__l0p001,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,sparse_flowon_outlier,12,-0.18549752988384272,-0.3129765905330459,1.0,-0.6270658056687416,2.262863565045698,3.6026628787409773,-0.24607482923041527,"{""single_interface"":-0.24607482923041527,""smooth_no_interface"":-0.12492023053727018}",True
quadratic_data__mean_zero__isotropic_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,nominal,12,-0.1460931736117724,-0.2677087666077453,1.0,-0.6110581129432696,2.6094945017983737,4.78796980235714,-0.21696982530020056,"{""single_interface"":-0.21696982530020056,""smooth_no_interface"":-0.07521652192334427}",True
quadratic_data__mean_zero__isotropic_flowoff__l0p01,quadratic_measurement_pdhg_control,zero,isotropic_flowoff,sparse_flowon_outlier,12,-0.14629700474638235,-0.26818072418894084,1.0,-0.6054631860643894,2.2076860057189087,3.510464978300387,-0.2177252982560327,"{""single_interface"":-0.2177252982560327,""smooth_no_interface"":-0.07486871123673199}",True
