mean_policy,whitening_policy,data_huber_delta_sigma_multiplier,standardized_edge_regularization_weight,stress,paired_case_count,field_gain_huber_data_to_quadratic_data_mean,field_gain_huber_data_to_quadratic_data_worst,h1_gain_huber_data_to_quadratic_data_mean,clean_reprojection_ratio_huber_data_to_quadratic_data_mean
zero,isotropic_flowoff,2.0,0.0,nominal,12,0.004909200049963382,0.0012241151234547326,0.004509891761124739,0.9588724274900496
zero,isotropic_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.004877605167912976,0.0012694541737147695,0.004455404279231312,0.9627785793652609
zero,isotropic_flowoff,2.0,0.001,nominal,12,0.005775309708569394,0.0013247511215616792,0.00522505055306316,0.9595751105438771
zero,isotropic_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.00573534148954822,0.0013723900857015824,0.005153846747247151,0.9634039013064748
zero,isotropic_flowoff,2.0,0.01,nominal,12,0.006093278013520737,0.001385468411366461,0.005514804646721739,0.9589855620267352
zero,isotropic_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.0060518512781846555,0.0014356614436062231,0.005442995374749882,0.9629968941234143
zero,isotropic_flowoff,2.0,0.1,nominal,12,0.00852090255918743,0.0018966914960204444,0.00750060122771284,0.9515129443373129
zero,isotropic_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.008494162356327042,0.0019624435941420016,0.007426040402401308,0.9570640630561357
zero,structured_flowoff,0.75,0.0,nominal,12,-0.0004984815034542038,-0.0026531190624062757,-0.0012535173311068537,1.026781426902536
zero,structured_flowoff,0.75,0.0,sparse_flowon_outlier,12,-0.0005278818757934257,-0.0025399165095814783,-0.0012881428233102626,1.0251612797929932
zero,structured_flowoff,0.75,0.001,nominal,12,-0.00034865659524735366,-0.0026622935407042392,-0.0010523147794801548,1.0292122551595742
zero,structured_flowoff,0.75,0.001,sparse_flowon_outlier,12,-0.0003851874387127115,-0.002683913991624135,-0.001098355008270689,1.0274196374184352
zero,structured_flowoff,0.75,0.01,nominal,12,-0.00025840777777639726,-0.002663233094534562,-0.0009791229881217058,1.0293066882450135
zero,structured_flowoff,0.75,0.01,sparse_flowon_outlier,12,-0.0002960050257892022,-0.0027497834634699248,-0.00102974252735063,1.0274090530777518
zero,structured_flowoff,0.75,0.1,nominal,12,0.00046247306763767874,-0.0029776842634671574,-0.0004281118588322235,1.0255784336472304
zero,structured_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.0004164231695291644,-0.003183437139157779,-0.0004911886418602698,1.023474057306802
zero,structured_flowoff,1.345,0.0,nominal,12,0.0005894508521862989,-0.0019278970263743934,0.00033032939314100513,1.0142751259178302
zero,structured_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0005627207939864903,-0.0017546438989823562,0.00029959212906850485,1.0141520925649343
zero,structured_flowoff,1.345,0.001,nominal,12,0.0007681079445424019,-0.0019325918323085376,0.0005796080225598444,1.0170747745012292
zero,structured_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.0007363574980970884,-0.0017239588935114964,0.0005390649799945371,1.0166149523835817
zero,structured_flowoff,1.345,0.01,nominal,12,0.0009081411781521353,-0.001831396910239213,0.0007158539450412463,1.0171149891595987
zero,structured_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.0008763825928613257,-0.0016188297551123633,0.0006720587962642631,1.0166234077673022
zero,structured_flowoff,1.345,0.1,nominal,12,0.0020225569953177115,-0.0006455072015984507,0.0016939685465036725,1.0120012295239278
zero,structured_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.001993470338285622,-0.0004486827028253338,0.0016497736280990428,1.011971809048667
zero,structured_flowoff,2.0,0.0,nominal,12,0.0017442720653458525,-0.0011735143990656146,0.0020189902384662242,1.0011618637749142
