method,model_seed,split,dc_mode,dc_steps,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,field_gain_to_cgls_mean,reprojection_ratio_to_cgls_mean,field_gain_to_cgls_minimum,field_harm_rate,optimization_forward_calls,optimization_adjoint_calls
jacru_m2,29,development,measurement_pullback,5,12,0.3572464123839745,0.6208101519970616,0.05168013827489448,0.47255185928039484,5.452714331449022,0.26362238447304276,0.0,18,18
jacru_m2,29,development,measurement_pullback,11,12,0.356877101736581,0.6305025514336081,0.030307023633265148,0.47288891986292136,2.974958035120507,0.26964603608367077,0.0,24,24
jacru_m2,29,ood,base_nullspace_filter,1,18,0.4245051080601076,0.6908812005607229,0.13154058239674157,0.3605193483446733,16.50464227978199,0.2380278390134997,0.0,14,14
jacru_m2,29,ood,base_nullspace_filter,3,18,0.41365307994781897,0.6904239115611,0.07347589120190205,0.3764099528217164,8.989982232864955,0.26473589198695163,0.0,16,16
jacru_m2,29,ood,base_nullspace_filter,5,18,0.41007921712650053,0.6926361300103511,0.05396392166996237,0.3816750771977711,6.530245756882929,0.27342755748693287,0.0,18,18
jacru_m2,29,ood,base_nullspace_filter,11,18,0.40871107812170215,0.6992905490215763,0.03318601118790353,0.38381351379305834,3.911949760305803,0.27312543836198594,0.0,24,24
jacru_m2,29,ood,measurement_pullback,0,18,0.44432266484942173,0.7086580006178907,0.23851392840995325,0.33095818562727863,30.870148800250504,0.20609533124092888,0.0,13,13
jacru_m2,29,ood,measurement_pullback,1,18,0.4245303203407623,0.6909748512421098,0.13148082193590183,0.36048541218460434,16.495865893672477,0.23790363019416094,0.0,14,14
jacru_m2,29,ood,measurement_pullback,3,18,0.41372506088879724,0.6906599403334952,0.07332010816877522,0.37630909061369555,8.970691068746651,0.2644764955273647,0.0,16,16
jacru_m2,29,ood,measurement_pullback,5,18,0.4101893170091339,0.6929620740259416,0.05367201370466503,0.381519564355845,6.4983258404594,0.2730361323382892,0.0,18,18
jacru_m2,29,ood,measurement_pullback,11,18,0.40895084414341093,0.6998599550646715,0.032300638473061034,0.3834728820724998,3.8186397531593688,0.272153888995319,0.0,24,24
jacru_m2,43,development,base_nullspace_filter,1,12,0.34050491203591066,0.5607669084497465,0.1340080263018428,0.5001904707702166,15.078422734646354,0.2834875530794643,0.0,14,14
jacru_m2,43,development,base_nullspace_filter,3,12,0.3345328714418428,0.5704193012736968,0.07142373716717958,0.5080360660395573,7.537353902073285,0.3029351725965886,0.0,16,16
jacru_m2,43,development,base_nullspace_filter,5,12,0.33367377536549897,0.5766342449739524,0.052452857390206505,0.5088926283744619,5.312557160640599,0.3088137496010976,0.0,18,18
jacru_m2,43,development,base_nullspace_filter,11,12,0.334813624239837,0.5856151816640897,0.034980851018590935,0.5071126211553673,3.2855300978629454,0.3059033477515712,0.0,24,24
jacru_m2,43,development,measurement_pullback,0,12,0.3585775881888921,0.5702738193509455,0.2458072768741009,0.4735716893357916,29.22432820658523,0.2583800713772247,0.0,13,13
jacru_m2,43,development,measurement_pullback,1,12,0.34059817395271264,0.5607625677934054,0.1340578920627499,0.5000587680525332,15.079230780651748,0.2832764408172648,0.0,14,14
jacru_m2,43,development,measurement_pullback,3,12,0.33472175818013095,0.5703746481155542,0.07130170645448967,0.5077705304381984,7.522676454807325,0.3023741222970926,0.0,16,16
jacru_m2,43,development,measurement_pullback,5,12,0.3339293679050261,0.5765788527032408,0.05198908139346466,0.508533886898247,5.271946858268355,0.30803414978353366,0.0,18,18
jacru_m2,43,development,measurement_pullback,11,12,0.3353291874629008,0.5858007373813089,0.03342993866728427,0.5063897470347111,3.156575971763985,0.3045532322260921,0.0,24,24
jacru_m2,43,ood,base_nullspace_filter,1,18,0.42811522221150183,0.6626977773866882,0.16090618720557115,0.3568756449443265,20.604334971510507,0.14067635800012748,0.0,14,14
jacru_m2,43,ood,base_nullspace_filter,3,18,0.4096373635065731,0.6640195970560394,0.08559903817535248,0.3842244515021141,10.655704243535284,0.20214540491393337,0.0,16,16
jacru_m2,43,ood,base_nullspace_filter,5,18,0.40342000260423294,0.667105001128502,0.061704945727813744,0.39345995740376055,7.572237637084296,0.22197251666903448,0.0,18,18
