case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_iterations,interpolation_fraction,paired_call_budget,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm,truth_used_by_candidate,exact_camera_block_setup_forward_equivalents,preconditioner_block_count
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.46209664211210644,0.03251405048259051,0.06945685513026256,-0.007184821152302083,0.729428552053078,0.13291948852912977,0.13110782539044463,,,23,22,1,1,0.0,9,0.5,23,0.22981738290110038,0.2607450077849567,71.74026138951008,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4653728800689115,0.03274457318414846,0.0699493001393801,-0.006849787612383997,0.7660057096885802,0.06647656759809406,0.06640451602217952,,,23,22,1,1,0.0,9,0.75,23,0.2243568335400888,0.22367510380741953,35.879210705204834,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4730180271476424,0.03328250113127338,0.07109842745324647,-0.006648767488433148,0.8010977999021371,0.026632813502890196,0.03135572932639968,,,23,22,1,1,0.0,9,0.9,23,0.21161456525982178,0.1881102732224153,14.374453463358698,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4764758768006204,0.03352580239757182,0.07161817016618065,-0.0065817607804495295,0.8147295750135676,0.013388007765525132,0.023408609129182675,,,23,22,1,1,0.0,9,0.95,23,0.2058513212702257,0.17429485870989916,7.225871745459475,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4783702358720635,0.03365909331740957,0.07190290762496965,-0.006548257426457721,0.8218822945694254,0.006832364528343922,0.021515080620711856,,,23,22,1,1,0.0,9,0.975,23,0.20269396781987295,0.16704578184733443,3.6876128744987637,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4795590527822763,0.03374274086969764,0.07208159640213029,-0.006528155414062636,0.8262783904536211,0.0030885502134666127,0.021313717523810578,,,23,22,1,1,0.0,9,0.99,23,0.20071255087000262,0.1625904642984113,1.6669745127717923,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.479963961391339,0.033771231054988166,0.07214245743429908,-0.006521454743264276,0.8277608906925338,0.002055204562988808,0.021411887205336017,,,23,22,1,1,0.0,9,0.995,23,0.20003768430791632,0.16108799267251797,1.109249773598239,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.480373170051325,0.033800023800522695,0.07220396479882953,-0.006514754072465913,0.8292518820420698,0.0015624642808224302,0.02159161431620431,,,23,22,1,1,0.0,9,1.0,23,0.19935565079378598,0.15957691554866316,0.8433044481164156,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4908152884681927,0.03453475228458915,0.07377349948061905,-0.007854888232138254,0.7491689720673167,0.2658191004272784,0.26316855190711497,,,24,23,1,1,0.0,10,0.0,24,0.1769637063800265,0.24105096352923652,178.0130352537528,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.462088080383979,0.03251344806215464,0.06945556823341888,-0.007181973102568003,0.729402528146701,0.13292438115109145,0.13111000840568063,,,24,23,1,1,0.0,10,0.5,24,0.22513566724430836,0.2610754494961442,89.01644957001851,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4653606534463437,0.032743712894358026,0.06994746237932076,-0.00684551553778288,0.7659585080885896,0.06647945845097439,0.0663991786137501,,,24,23,1,1,0.0,10,0.75,24,0.219647968578166,0.2240422476570698,44.519788690358794,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.47300396463180633,0.03328151166433479,0.07109631374361049,-0.006643640998911803,0.8010367340008402,0.02662029285633397,0.031324153509844584,,,24,23,1,1,0.0,10,0.9,24,0.20683108479954482,0.1885060912626827,17.827007626926385,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.47646127080152156,0.03352477469005619,0.07161597476662354,-0.0065763494859547795,0.8146638060984425,0.01334683709777878,0.02335544407044783,,,24,23,1,1,0.0,10,0.95,24,0.20103361165091388,0.17470112386013045,8.938074724479705,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4783553713362422,0.0336580474187294,0.07190067336525635,-0.006542703729476267,0.8218141670867614,0.0067340836827773564,0.02145095063734358,,,24,23,1,1,0.0,10,0.975,24,0.19785744024699256,0.16745741812105303,4.509663429366381,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4795440373720121,0.03374168435518779,0.07207933946477045,-0.006522516275589159,0.8262088464679538,0.0028392303138117417,0.021245060827946097,,,24,23,1,1,0.0,10,0.99,24,0.19586419490313764,0.16300536817463024,1.901368280660342,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4799488963985794,0.03377017105175406,0.07214019304428995,-0.006515787124293458,0.827690874381756,0.0016422300039205253,0.02134222624751284,,,24,23,1,1,0.0,10,0.995,24,0.19518529658743017,0.1615039930521406,1.0997642649183956,0,False,1001,3
00c3a80c137b7dc58c98,ood,two_interface,3191,jacru_m2,29,0.4803580558307436,0.033798960333519895,0.07220169300948144,-0.006509057972997756,0.8291813933460698,0.0009299987531017163,0.021521216297004993,,,24,23,1,1,0.0,10,1.0,24,0.19449918702552338,0.15999401603228924,0.6227991162250318,0,False,1001,3
