case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
92c050cb6b32ffd7819e,ood,single_interface,3121,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9930079656599066,1.0,0.9930079656599066,0.45695561309810895,0.7561742426140053,0.0018706001535252997,0.02541464984851945,0.3005916917455498,0.26879014314051025,1.0999999999991332,0
92c050cb6b32ffd7819e,ood,single_interface,3121,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9932877542153145,1.0,0.9932877542153145,0.45698478642920376,0.7562178322231574,0.0015236008276120717,0.025319981193479897,0.2972076384852733,0.2700245718868508,1.0999999999935985,0
d2bd02757c7386060fa0,ood,two_interface,3121,jacru_m2,29,9,23,True,False,1.1,1001,0,,,,,,,,,,,
d2bd02757c7386060fa0,ood,two_interface,3121,jacru_m2,29,10,24,True,False,1.1,1001,1,0.998952758677091,1.0,0.998952758677091,0.5159027246883638,0.8686997339614719,0.0007264452335348869,0.024489993526790883,0.1459621247002278,0.06982839642671436,1.1000000000175492,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9973315378061359,1.0,0.9973315378061359,0.3522511725943449,0.6058988757929671,0.0009215572090316442,0.01629224846283399,0.381665660972407,0.35279491447241507,1.100000000012488,0
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9976932869494258,1.0,0.9976932869494258,0.3523151880865254,0.605936469855016,0.0007114108792564069,0.01625703892395205,0.37766435316118335,0.3519881811756103,1.1000000000130954,0
59d5c6804bd39f12f83e,ood,single_interface,3137,jacru_m2,29,9,23,True,False,1.1,1001,1,0.9940991930586497,1.0,0.9940991930586497,0.4644951519447306,0.7802080341597336,0.0016879040232445882,0.025212998416582647,0.2912910576126943,0.2636802928974499,1.0999999999986922,0
59d5c6804bd39f12f83e,ood,single_interface,3137,jacru_m2,29,10,24,True,False,1.1,1001,1,0.994652364807486,1.0,0.994652364807486,0.46457882239799725,0.7804028285771094,0.0013367787265479558,0.025150554875086023,0.2880615230531013,0.26454676206334354,1.0999999999942744,0
73a367367e8a2588b8c2,ood,two_interface,3137,jacru_m2,29,9,23,True,False,1.1,1001,0,,,,,,,,,,,
73a367367e8a2588b8c2,ood,two_interface,3137,jacru_m2,29,10,24,True,False,1.1,1001,1,0.9978031582140205,1.0,0.9978031582140205,0.48138721023893233,0.8279829276748913,0.0008121919381954151,0.019369630675819646,0.22670554352284578,0.12448797143301002,1.0999999999835215,0
