partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,fit_pca2_krylov6_total_adjoint_oracle,0.5742809213594011,1.0596219187940172,0.016642766508142764,0.00218341368257542,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.0008355839527212083,0.0028678749804385006,0.0076216679299250245,1.9083995975960788,1.9083995975960788,True,0.29419684585506817,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,camera_block6_total_measurement_oracle,0.5765099501441674,1.0054494975692028,0.017525894447902073,0.0011433899972990542,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.0039182089967653155,0.0001865419908426702,0.003555875038728118,0.007660626026336104,1.8856874283760126,1.9083995975960788,False,0.515443958733289,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,camera_block6_total_adjoint_oracle,0.5771868437596169,1.0055446467530214,0.017574029904194575,0.0021300096942160575,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.0039182089967653155,0.0001865419908426702,0.0038961669779382646,0.00800091796554625,1.9083995975960788,1.9083995975960788,True,0.5103608607657435,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,pose_fourier_krylov6_total_measurement_oracle,0.5764400340935183,1.0053448275960928,0.017567029931064165,0.0022475895216436262,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.000744916032999754,0.002942749997600913,0.0076058750273659825,1.8878365853565318,1.9083995975960788,False,0.5138167834811809,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,pose_fourier_krylov6_total_adjoint_oracle,0.5771269246034442,1.007235261368417,0.01758878386878,0.003356130800604425,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.000744916032999754,0.002903917047660798,0.007567042077425867,1.9083995975960788,1.9083995975960788,True,0.5031373864479024,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,detector_moment_krylov6_total_measurement_oracle,0.576565880005774,1.0077548845572444,0.017515755962441353,0.0022627649577677805,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.0007570000016130507,0.0032622910221107304,0.007937500020489097,1.8966227421115942,1.9083995975960788,False,0.507090721346435,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,detector_moment_krylov6_total_adjoint_oracle,0.5788181869996657,1.0145657215838104,0.01742969005229224,0.005776030729739019,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.0007570000016130507,0.00281745899701491,0.007492667995393276,1.9083995975960788,1.9083995975960788,True,0.4856866189733799,True,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,exact_mismatch_oracle,0.5709357910066695,1.0457532588770069,0.0166265706739615,0.0021966636525279203,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.0039182089967653155,0.000674291979521513,0.0031647499999962747,0.007757250976283103,,,,,,
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,high_order_teacher_b0p75,0.5749092299340135,1.0180872511041372,0.017359649881637587,0.002402872115842768,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.0039182089967653155,0.000674291979521513,0.0029317090520635247,0.007524210028350353,,,,,,0.0001842500059865415
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,low_cgls24_matched,0.941013195078119,1.413423992329679,0.0007152125352684979,0.0019555647779721506,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007817167032044381,0.007817167032044381,,,,,,
