partition,candidate_id,base_seed,geometry_digest,family_count,mean_residual_ratio,mean_gain_vs_zero,worst_family_gain_vs_zero
development,ridge_geometry_observation,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,0.7233841350477266,0.2766158649522734,0.2609108421977774
development,ridge_geometry_only,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,1.0314309221085458,-0.03143092210854592,-0.05466733180766248
development,ridge_geometry_only,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,1.010972090746401,-0.010972090746400986,-0.027510405580256636
development,ridge_geometry_only,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,1.0379205028461769,-0.03792050284617676,-0.068699996018873
development,ridge_geometry_only,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,1.0552499829600013,-0.055249982960001165,-0.06260291763377013
development,ridge_geometry_only,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,1.0229935792565361,-0.022993579256536223,-0.03623566374624887
development,ridge_geometry_only,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,1.0432625949197827,-0.04326259491978279,-0.06913809789420378
development,ridge_geometry_signal,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,1.0201333959283205,-0.02013339592832053,-0.14802945698639847
development,ridge_geometry_signal,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,0.832723620571653,0.16727637942834706,0.06500826709550644
development,ridge_geometry_signal,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,1.0194444701803855,-0.019444470180385476,-0.1760812759706729
development,ridge_geometry_signal,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,1.0868766583299887,-0.0868766583299887,-0.10998557763230488
development,ridge_geometry_signal,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,0.9064715950181734,0.09352840498182663,-0.012628435018908979
development,ridge_geometry_signal,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,1.0025439016743594,-0.002543901674359361,-0.16953753175050545
development,zero,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,2,1.0,0.0,0.0
development,zero,2113,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,2,1.0,0.0,0.0
development,zero,2129,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,2,1.0,0.0,0.0
development,zero,2141,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,2,1.0,0.0,0.0
development,zero,2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,2,1.0,0.0,0.0
development,zero,2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,2,1.0,0.0,0.0
