base_seed,geometry_digest,family,case_id,rank,residual_ratio_to_uncorrected_mismatch,gain_vs_zero,uses_fresh_exact_mismatch_coefficients,deployable,participates_in_gate
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,1,0.9579521424492269,0.042047857550773116,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,2,0.9128346647800956,0.08716533521990444,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,4,0.8939576709300417,0.10604232906995825,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,8,0.8608700890250126,0.1391299109749874,True,False,False
2153,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,single_interface,d1f773e0843797aa3ccb,16,0.6412030883554206,0.3587969116445794,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,0,0.6888757202460588,0.3111242797539412,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,1,0.4025272490117816,0.5974727509882184,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,2,0.2972270107982762,0.7027729892017238,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,4,0.23360153736690376,0.7663984626330962,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,8,0.16626234319179597,0.833737656808204,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,smooth_no_interface,a7807f272a639137f150,16,0.12891728046682652,0.8710827195331735,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,0,0.9436824491851932,0.05631755081480683,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,1,0.8246969053899499,0.17530309461005011,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,2,0.3719849019174768,0.6280150980825232,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,4,0.36665768419172245,0.6333423158082776,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,8,0.34264041611544993,0.6573595838845501,True,False,False
2161,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,single_interface,99689ce39ea56bfb0b6d,16,0.24389839953284972,0.7561016004671502,True,False,False
