rig_id,split_role,partition_name,oracle_only,pointwise_violation_count,row_mass_mismatch_count,column_mass_mismatch_count,support_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,maximum_entrywise_slack,minimum_entrywise_slack,maximum_row_product,maximum_column_product,dense_normalized_spectral_norm_squared,schur_squared_upper_bound,active_row_count,active_column_count,exact_masses_recomputed_from_signed_primitives,triangle_inequality_certificate
train-01,train,paired_local,False,0,0,0,0,0,0,0,0,0.26807896337542586,-2.220446049250313e-16,0.6885636002137633,0.6653969436392607,0.292507068010863,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-01,train,paired_cross,False,0,0,0,0,0,0,0,0,1.3211903537308942,-2.7755575615628914e-17,0.312184961635859,0.23002578338797347,0.03696780851295306,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-01,train,triad_bridge,False,0,0,0,0,0,0,0,0,0.9119246888804442,-1.3877787807814457e-17,0.24694907268103877,0.33292059921295064,0.04429661771359902,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-01,train,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.41028601802283066,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-02,train,singleton_factor,False,0,0,0,0,0,0,0,0,3.8286497586035684,0.017892282914962893,0.07773053928901458,0.13947154444668067,0.0030628450653484005,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-02,train,paired_local,False,0,0,0,0,0,0,0,0,1.3502366076841388,-1.1102230246251565e-16,0.2868846174998803,0.2063531117104448,0.02515768556332486,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-02,train,paired_cross,False,0,0,0,0,0,0,0,0,0.2700468989747563,-2.220446049250313e-16,0.6701237418429274,0.6347335523850328,0.24012225213143606,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-02,train,triad_bridge,False,0,0,0,0,0,0,0,0,1.2290337354298457,-1.1102230246251565e-16,0.22977063040653353,0.5838254468774429,0.032642036916856874,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-02,train,all_in_one_exact,True,0,0,0,0,0,0,0,0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.3623518513822149,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-03,train,singleton_factor,False,0,0,0,0,0,0,0,0,3.4964664579740927,0.0,0.13666833900927278,0.16555118599365648,0.011771983171729157,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-03,train,paired_local,False,0,0,0,0,0,0,0,0,0.8848693452423079,-5.551115123125783e-17,0.46903581947310774,0.6672015412735374,0.1385555532972622,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
train-03,train,paired_cross,False,0,0,0,0,0,0,0,0,0.1660365555972566,-2.220446049250313e-16,0.68694063656408,0.6993595761633548,0.3682571248973668,0.48999999999999994,16,12,True,ENTRYWISE_GROUPED_SUM_DOMINATES_ABS_TOTAL
