rig_id,split_role,method,partition_name,oracle_only,final_normalized_residual_l2,final_field_relative_l2,harm_vs_train_selected_fixed_field_l2,pointwise_violation_count,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,signed_forward_solver_calls,signed_transpose_solver_calls,signed_forward_evaluation_calls,field_error_evaluation_calls,iteration_budget,construction_wall_time_seconds,audit_wall_time_seconds,solver_wall_time_seconds,cost_proxy_units,primitive_component_accumulation_entries,signed_group_addition_entries,group_absolute_value_entries,materialized_signed_group_count,materialized_group_component_entries,largest_fused_group_component_entries,full_signed_operator_materialized,cost_proxy_definition
fresh-05,fresh_geometry_ood,singleton_factor,singleton_factor,False,0.7068084020601356,0.9122299556824284,0.5879430988505611,0,0,0,0,0,32,32,7,7,32,8.441600948572159e-05,0.00016429100651293993,0.0003142500063404441,2496,1152,0,1152,0,0,192,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.2054931370436816,0.4777682502723549,0.1534813934404876,0,0,0,0,0,32,32,7,7,32,6.729201413691044e-05,8.670799434185028e-05,0.0004259999841451645,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.04196372079290171,0.3242868568318673,0.0,0,0,0,0,0,32,32,7,7,32,0.000234208011534065,0.00012608402175828815,0.0003310000174678862,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,fixed_triad_bridge,triad_bridge,False,0.2679785154840382,1.0043818774363469,0.6800950206044796,0,0,0,0,0,32,32,7,7,32,6.683403626084328e-05,8.774996967986226e-05,0.0003090000245720148,4032,1152,768,384,2,1152,576,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,train_selected_fixed,paired_cross,False,0.04196372079290171,0.3242868568318673,0.0,0,0,0,0,0,32,32,7,7,32,6.341701373457909e-05,9.612500434741378e-05,0.00031108298571780324,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,geometry_conditioned_selector,paired_local,False,0.2054931370436816,0.4777682502723549,0.1534813934404876,0,0,0,0,0,32,32,7,7,32,6.48329732939601e-05,8.470797911286354e-05,0.0003108749515376985,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-05,fresh_geometry_ood,all_in_one_exact_oracle,all_in_one_exact,True,0.03563912938182953,0.3230504742750348,-0.0012363825568325049,0,0,0,0,0,32,32,7,7,32,5.224999040365219e-05,8.15410166978836e-05,0.0003137079766020179,4608,1152,960,192,1,1152,1152,1,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,singleton_factor,singleton_factor,False,0.7644588634304814,0.8053289242504319,0.14321771750330092,0,0,0,0,0,32,32,7,7,32,8.112494833767414e-05,0.00010141701204702258,0.00030683400109410286,2496,1152,0,1152,0,0,192,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,fixed_paired_local,paired_local,False,0.01997715912050515,0.35213123588928824,-0.30997997085784273,0,0,0,0,0,32,32,7,7,32,6.312498589977622e-05,8.754199370741844e-05,0.00031400000443682075,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
fresh-06,fresh_geometry_ood,fixed_paired_cross,paired_cross,False,0.13450738993607786,0.662111206747131,0.0,0,0,0,0,0,32,32,7,7,32,6.262498209252954e-05,8.662504842504859e-05,0.00032241601729765534,3840,1152,576,576,3,1152,384,0,ANALYTIC_PROXY_NOT_WALL_TIME
