policy,base_seed,mismatch_severity,selected_correction,fallback_used,mean_field_gain_percent,median_field_gain_percent,worst_field_gain_percent,field_improvement_fraction,field_nonworse_fraction,effective_camera_count
robust_median_uniform_gate,101,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,101,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,101,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,101,2.0,1.0,False,5.507616265911683,6.1730212351313725,3.537545559764256,1.0,1.0,5.999999999999999
robust_median_uniform_gate,211,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,211,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,211,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,211,2.0,1.5,False,11.319385516443075,7.527159482230491,5.237710275358652,1.0,1.0,5.999999999999999
robust_median_uniform_gate,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,307,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,307,2.0,1.5,False,9.917032312055968,8.375146866847702,5.271176952010512,1.0,1.0,5.999999999999999
robust_median_uniform_gate,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,401,1.0,0.5,False,5.129691791954209,4.989090480346764,3.291073999896747,1.0,1.0,5.999999999999999
robust_median_uniform_gate,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,5.999999999999999
robust_median_uniform_gate,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,503,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,503,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,503,2.0,2.0,False,11.879424086778608,10.783760591771529,6.89470978153648,1.0,1.0,5.999999999999999
robust_median_uniform_gate,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
robust_median_uniform_gate,607,2.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.999999999999999
loro_sign_agreement_heuristic_lcb,101,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.746325029825765
loro_sign_agreement_heuristic_lcb,101,0.5,0.5,False,0.9774429239183093,1.0919167197156687,0.5336631945290145,1.0,1.0,5.746325029825765
loro_sign_agreement_heuristic_lcb,101,1.0,1.0,False,3.3799459525677378,3.91234470375427,2.0308389577188546,1.0,1.0,5.746325029825765
loro_sign_agreement_heuristic_lcb,101,2.0,2.5,False,6.86155872629169,6.898535364283151,4.243235706136702,1.0,1.0,5.746325029825765
loro_sign_agreement_heuristic_lcb,211,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.7374908933256465
loro_sign_agreement_heuristic_lcb,211,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.7374908933256465
loro_sign_agreement_heuristic_lcb,211,1.0,0.5,False,4.518516025182392,2.6008329730620914,2.2367600996712653,1.0,1.0,5.7374908933256465
loro_sign_agreement_heuristic_lcb,211,2.0,2.0,False,13.773588057101229,8.673592026999016,8.01386357065023,1.0,1.0,5.7374908933256465
loro_sign_agreement_heuristic_lcb,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.735537590589686
loro_sign_agreement_heuristic_lcb,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.735537590589686
loro_sign_agreement_heuristic_lcb,307,1.0,0.5,False,2.938208019603558,2.142422848428321,1.0390225675777376,1.0,1.0,5.735537590589686
loro_sign_agreement_heuristic_lcb,307,2.0,2.0,False,11.599744720324827,9.582955017838303,6.023968410923628,1.0,1.0,5.735537590589686
loro_sign_agreement_heuristic_lcb,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.746246902192917
loro_sign_agreement_heuristic_lcb,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.746246902192917
loro_sign_agreement_heuristic_lcb,401,1.0,1.0,False,8.368533589061466,8.138859937207696,5.676893301727288,1.0,1.0,5.746246902192917
loro_sign_agreement_heuristic_lcb,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,5.746246902192917
loro_sign_agreement_heuristic_lcb,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.745604154509389
loro_sign_agreement_heuristic_lcb,503,0.5,0.5,False,1.876730566502066,1.292379416070815,0.99833727363904,1.0,1.0,5.745604154509389
loro_sign_agreement_heuristic_lcb,503,1.0,1.0,False,5.079755125772218,3.9587555955246962,2.806814831985608,1.0,1.0,5.745604154509389
loro_sign_agreement_heuristic_lcb,503,2.0,2.5,False,10.885990579373079,9.253208447889655,6.052790449962733,1.0,1.0,5.745604154509389
loro_sign_agreement_heuristic_lcb,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.750401995208873
loro_sign_agreement_heuristic_lcb,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.750401995208873
loro_sign_agreement_heuristic_lcb,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.750401995208873
loro_sign_agreement_heuristic_lcb,607,2.0,0.5,False,5.214654064733602,4.524567119322358,2.6081995392356165,1.0,1.0,5.750401995208873
loro_consensus_correlation_heuristic_lcb,101,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.714603959776788
loro_consensus_correlation_heuristic_lcb,101,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.714603959776788
loro_consensus_correlation_heuristic_lcb,101,1.0,1.0,False,3.3799459525677378,3.91234470375427,2.0308389577188546,1.0,1.0,5.714603959776788
loro_consensus_correlation_heuristic_lcb,101,2.0,2.5,False,6.86155872629169,6.898535364283151,4.243235706136702,1.0,1.0,5.714603959776788
loro_consensus_correlation_heuristic_lcb,211,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.71061394299288
loro_consensus_correlation_heuristic_lcb,211,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.71061394299288
loro_consensus_correlation_heuristic_lcb,211,1.0,0.5,False,4.518516025182392,2.6008329730620914,2.2367600996712653,1.0,1.0,5.71061394299288
loro_consensus_correlation_heuristic_lcb,211,2.0,2.0,False,13.773588057101229,8.673592026999016,8.01386357065023,1.0,1.0,5.71061394299288
loro_consensus_correlation_heuristic_lcb,307,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.738512262494987
loro_consensus_correlation_heuristic_lcb,307,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.738512262494987
loro_consensus_correlation_heuristic_lcb,307,1.0,0.5,False,2.938208019603558,2.142422848428321,1.0390225675777376,1.0,1.0,5.738512262494987
loro_consensus_correlation_heuristic_lcb,307,2.0,2.0,False,11.599744720324827,9.582955017838303,6.023968410923628,1.0,1.0,5.738512262494987
loro_consensus_correlation_heuristic_lcb,401,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.698088385522565
loro_consensus_correlation_heuristic_lcb,401,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.698088385522565
loro_consensus_correlation_heuristic_lcb,401,1.0,1.0,False,8.368533589061466,8.138859937207696,5.676893301727288,1.0,1.0,5.698088385522565
loro_consensus_correlation_heuristic_lcb,401,2.0,2.0,False,18.836388345377085,18.024856549083633,14.36765261437511,1.0,1.0,5.698088385522565
loro_consensus_correlation_heuristic_lcb,503,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.7052878615686495
loro_consensus_correlation_heuristic_lcb,503,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.7052878615686495
loro_consensus_correlation_heuristic_lcb,503,1.0,1.0,False,5.079755125772218,3.9587555955246962,2.806814831985608,1.0,1.0,5.7052878615686495
loro_consensus_correlation_heuristic_lcb,503,2.0,2.5,False,10.885990579373079,9.253208447889655,6.052790449962733,1.0,1.0,5.7052878615686495
loro_consensus_correlation_heuristic_lcb,607,0.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.744079479739844
loro_consensus_correlation_heuristic_lcb,607,0.5,0.0,True,0.0,0.0,0.0,0.0,1.0,5.744079479739844
loro_consensus_correlation_heuristic_lcb,607,1.0,0.0,True,0.0,0.0,0.0,0.0,1.0,5.744079479739844
loro_consensus_correlation_heuristic_lcb,607,2.0,0.5,False,5.214654064733602,4.524567119322358,2.6081995392356165,1.0,1.0,5.744079479739844
