policy,base_seed,family,mismatch_severity,selected_correction,fallback_used,reported_geometry_field_relative_l2,selected_field_relative_l2,field_gain_percent,selected_weighted_lcb,effective_camera_count
target_local_range_heuristic_lcb,211,smooth_plume,2.0,2.0,False,0.8935033413537071,0.6734039061621355,24.63330857365444,0.0009937552370606478,4.78293310356396
target_local_range_heuristic_lcb,211,wrinkled_density_interface,2.0,2.0,False,0.7221578910867941,0.6642851429304135,8.01386357065023,0.0009937552370606478,4.78293310356396
target_local_range_heuristic_lcb,211,shock_expansion_pair,2.0,2.0,False,0.6972087605335413,0.6367357170683654,8.673592026999016,0.0009937552370606478,4.78293310356396
target_local_range_heuristic_lcb,307,smooth_plume,0.0,0.0,True,0.6857219524369543,0.6857219524369543,0.0,0.0,4.772890000739182
target_local_range_heuristic_lcb,307,wrinkled_density_interface,0.0,0.0,True,0.6359586984952307,0.6359586984952307,0.0,0.0,4.772890000739182
target_local_range_heuristic_lcb,307,shock_expansion_pair,0.0,0.0,True,0.6654776142738124,0.6654776142738124,0.0,0.0,4.772890000739182
target_local_range_heuristic_lcb,307,smooth_plume,0.5,0.0,True,0.7119388755127151,0.7119388755127151,0.0,0.0,4.6864832385402675
target_local_range_heuristic_lcb,307,wrinkled_density_interface,0.5,0.0,True,0.6444583675636819,0.6444583675636819,0.0,0.0,4.6864832385402675
target_local_range_heuristic_lcb,307,shock_expansion_pair,0.5,0.0,True,0.6708123545414086,0.6708123545414086,0.0,0.0,4.6864832385402675
target_local_range_heuristic_lcb,307,smooth_plume,1.0,0.0,True,0.7545286929195707,0.7545286929195707,0.0,0.0,4.968948390687149
target_local_range_heuristic_lcb,307,wrinkled_density_interface,1.0,0.0,True,0.6585879659103594,0.6585879659103594,0.0,0.0,4.968948390687149
target_local_range_heuristic_lcb,307,shock_expansion_pair,1.0,0.0,True,0.6778664146881345,0.6778664146881345,0.0,0.0,4.968948390687149
target_local_range_heuristic_lcb,307,smooth_plume,2.0,2.0,False,0.8488336675010058,0.6859228724345768,19.192310732212547,0.00185968311912528,5.437846422145251
target_local_range_heuristic_lcb,307,wrinkled_density_interface,2.0,2.0,False,0.7034148028500332,0.6360068787040986,9.582955017838303,0.00185968311912528,5.437846422145251
target_local_range_heuristic_lcb,307,shock_expansion_pair,2.0,2.0,False,0.7081653177943622,0.6655056627533129,6.023968410923628,0.00185968311912528,5.437846422145251
target_local_range_heuristic_lcb,401,smooth_plume,0.0,0.0,True,0.5363030060846542,0.5363030060846542,0.0,0.0,4.558064788776661
target_local_range_heuristic_lcb,401,wrinkled_density_interface,0.0,0.0,True,0.7314049954666972,0.7314049954666972,0.0,0.0,4.558064788776661
target_local_range_heuristic_lcb,401,shock_expansion_pair,0.0,0.0,True,0.6400704980190834,0.6400704980190834,0.0,0.0,4.558064788776661
