policy,base_seed,mismatch_severity,selected_correction,fallback_used,selected_weighted_lcb,selected_objective,safe_candidate_count,safe_candidates,effective_camera_count,weight_fit_rigs,target_local_weight
loro_sign_agreement_heuristic_lcb,503,1.0,1.0,False,0.0035703879832997276,0.11959439343487754,2,0.5;1,5.745604154509389,101;211;307;401;607,False
loro_sign_agreement_heuristic_lcb,503,2.0,2.5,False,0.013128246758083162,0.11734226645404673,5,0.5;1;1.5;2;2.5,5.745604154509389,101;211;307;401;607,False
loro_sign_agreement_heuristic_lcb,607,0.0,0.0,True,0.0,0.11294485786597298,0,,5.750401995208873,101;211;307;401;503,False
loro_sign_agreement_heuristic_lcb,607,0.5,0.0,True,0.0,0.11609237995892992,0,,5.750401995208873,101;211;307;401;503,False
loro_sign_agreement_heuristic_lcb,607,1.0,0.0,True,0.0,0.1264957593618306,0,,5.750401995208873,101;211;307;401;503,False
loro_sign_agreement_heuristic_lcb,607,2.0,0.5,False,0.0009593691500700031,0.14298794734354991,1,0.5,5.750401995208873,101;211;307;401;503,False
loro_consensus_correlation_heuristic_lcb,101,0.0,0.0,True,0.0,0.11383200569034241,0,,5.714603959776788,211;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,101,0.5,0.0,True,0.0,0.12216097055595428,0,,5.714603959776788,211;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,101,1.0,1.0,False,0.001630174742550703,0.11383353498162826,2,0.5;1,5.714603959776788,211;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,101,2.0,2.5,False,0.006413035304511885,0.11152622696848677,5,0.5;1;1.5;2;2.5,5.714603959776788,211;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,211,0.0,0.0,True,0.0,0.10337686316682562,0,,5.71061394299288,101;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,211,0.5,0.0,True,0.0,0.1077036448305347,0,,5.71061394299288,101;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,211,1.0,0.5,False,0.0005052353205183234,0.10770564473595526,1,0.5,5.71061394299288,101;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,211,2.0,2.0,False,0.003853785065787131,0.10338007931915501,4,0.5;1;1.5;2,5.71061394299288,101;307;401;503;607,False
loro_consensus_correlation_heuristic_lcb,307,0.0,0.0,True,0.0,0.08715122324832797,0,,5.738512262494987,101;211;401;503;607,False
loro_consensus_correlation_heuristic_lcb,307,0.5,0.0,True,0.0,0.0899298108225084,0,,5.738512262494987,101;211;401;503;607,False
loro_consensus_correlation_heuristic_lcb,307,1.0,0.5,False,0.0010152028510570128,0.08993072826030007,1,0.5,5.738512262494987,101;211;401;503;607,False
loro_consensus_correlation_heuristic_lcb,307,2.0,2.0,False,0.007892591146054603,0.08715450994844012,4,0.5;1;1.5;2,5.738512262494987,101;211;401;503;607,False
loro_consensus_correlation_heuristic_lcb,401,0.0,0.0,True,0.0,0.09432691686938695,0,,5.698088385522565,101;211;307;503;607,False
loro_consensus_correlation_heuristic_lcb,401,0.5,0.0,True,0.0,0.09874007054505388,0,,5.698088385522565,101;211;307;503;607,False
loro_consensus_correlation_heuristic_lcb,401,1.0,1.0,False,0.002592630885694086,0.09432797480593846,2,0.5;1,5.698088385522565,101;211;307;503;607,False
loro_consensus_correlation_heuristic_lcb,401,2.0,2.0,False,0.01833493579405014,0.09432808585264892,5,0.5;1;1.5;2;2.5,5.698088385522565,101;211;307;503;607,False
loro_consensus_correlation_heuristic_lcb,503,0.0,0.0,True,0.0,0.12000917510774975,0,,5.7052878615686495,101;211;307;401;607,False
loro_consensus_correlation_heuristic_lcb,503,0.5,0.0,True,0.0,0.1315130405542098,0,,5.7052878615686495,101;211;307;401;607,False
loro_consensus_correlation_heuristic_lcb,503,1.0,1.0,False,0.002692098157554345,0.12001111574070403,2,0.5;1,5.7052878615686495,101;211;307;401;607,False
loro_consensus_correlation_heuristic_lcb,503,2.0,2.5,False,0.010889379275002262,0.1179095285791206,5,0.5;1;1.5;2;2.5,5.7052878615686495,101;211;307;401;607,False
loro_consensus_correlation_heuristic_lcb,607,0.0,0.0,True,0.0,0.1123109929820122,0,,5.744079479739844,101;211;307;401;503,False
loro_consensus_correlation_heuristic_lcb,607,0.5,0.0,True,0.0,0.11546735587520805,0,,5.744079479739844,101;211;307;401;503,False
loro_consensus_correlation_heuristic_lcb,607,1.0,0.0,True,0.0,0.12593680579827995,0,,5.744079479739844,101;211;307;401;503,False
loro_consensus_correlation_heuristic_lcb,607,2.0,0.5,False,0.001133742530846426,0.14252930727129665,1,0.5,5.744079479739844,101;211;307;401;503,False
