cell_id,pair_id,role,family_id,phantom_seed,orientation_id,aperture_id,dimensionless_stress_multiplier,n3_failed_gate,d256_512_output_relative_l2,d512_1024_output_relative_l2,d256_512_matched_residual_relative_l2,d512_1024_matched_residual_relative_l2,h1024_output_contraction_ratio,h1024_matched_residual_contraction_ratio,h1024_all_gates_pass,requires_h2048_escalation,d1024_2048_output_relative_l2,d1024_2048_matched_residual_relative_l2,h2048_all_gates_pass,final_reference_step_count,final_cellwise_reference_authorized,h1024_gates,h2048_gates
wrinkled-s3163-orientation_58-narrow__stress_1,p11,matched_control,wrinkled,3163,orientation_58,narrow,1.0,none,1.0330737610289731e-05,2.6066988280298727e-06,0.004646539117986857,0.0010667157778642918,0.25232456058447567,0.22957210749286736,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-narrow__stress_3,p12,n3_failure,wrinkled,3163,orientation_22,narrow,3.0,output_convergence_gate_met,0.00010174234953041546,9.496701806797369e-06,0.0035355031873495557,0.0010552256815635533,0.09334069687429784,0.2984654872718753,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_58-narrow__stress_3,p12,matched_control,wrinkled,3163,orientation_58,narrow,3.0,none,1.0857579205462805e-05,2.5705887441715088e-06,0.004792732520482486,0.0009713505413180313,0.23675523756512512,0.2026715526407564,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-narrow__stress_10,p13,n3_failure,wrinkled,3163,orientation_22,narrow,10.0,output_convergence_gate_met,0.00010165907275359545,9.175074334787564e-06,0.0034891278080363785,0.0010327326956462975,0.09025337420720338,0.29598591753149384,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_58-narrow__stress_10,p13,matched_control,wrinkled,3163,orientation_58,narrow,10.0,none,1.4382734390786404e-05,2.4094566048683317e-06,0.004631344278556721,0.0005630468588890393,0.16752423700543564,0.1215730952017463,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-wide__stress_1,p14,n3_failure,wrinkled,3163,orientation_22,wide,1.0,output_convergence_gate_met,0.00010227267830844931,1.2005911601645544e-05,0.005150586144300821,0.0016045593995742252,0.11739119186295592,0.311529475407316,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_58-wide__stress_1,p14,matched_control,wrinkled,3163,orientation_58,wide,1.0,none,2.1964968303894486e-05,2.263237723667904e-06,0.007172858723457009,0.0007225508989699408,0.10303851534657676,0.10073402067811846,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-wide__stress_3,p15,n3_failure,wrinkled,3163,orientation_22,wide,3.0,output_convergence_gate_met,0.00010219376540121695,1.2035418174534592e-05,0.005133001127812869,0.0015974511548939177,0.11777057169077823,0.3112119236129175,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_58-wide__stress_3,p15,matched_control,wrinkled,3163,orientation_58,wide,3.0,none,2.2931279387488477e-05,2.2637781633122163e-06,0.007246386005497446,0.0006582932274601762,0.09872009865037687,0.09084435012994951,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
wrinkled-s3163-orientation_22-wide__stress_10,p16,n3_failure,wrinkled,3163,orientation_22,wide,10.0,output_convergence_gate_met,0.0001019004448659901,1.2141514236739053e-05,0.00504836301634182,0.0015617807166473392,0.11915074809247823,0.3093637901220201,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
