method,rig_id,family,field_uid,relative_l2,gain_vs_base
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:5,0.23452715575695038,-0.0010557011135745586
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:5,0.17909523844718933,0.23554989224508727
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:5,0.22140824794769287,0.05494104439102976
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:6,0.17485319077968597,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:6,0.17508243024349213,-0.0013110396372175703
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:6,0.15416578948497772,0.11831297560233978
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:6,0.16001442074775696,0.08486416499328164
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:7,0.1956576704978943,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:7,0.1958114504814148,-0.0007859645018217787
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:7,0.13652154803276062,0.3022428014943074
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:7,0.18435749411582947,0.05775483451943908
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:8,0.1782861351966858,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:8,0.17848822474479675,-0.0011335124174856048
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:8,0.16762490570545197,0.059798421674643
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:8,0.1664469689130783,0.0664054233412289
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:9,0.21696390211582184,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:9,0.21735604107379913,-0.0018073926314616795
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:9,0.10093516856431961,0.5347835857485759
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:9,0.1995355188846588,0.0803284927179233
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:10,0.20600970089435577,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:10,0.20634301006793976,-0.0016179295059259857
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:10,0.10882407426834106,0.4717526708892833
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:10,0.18381160497665405,0.10775267291458845
zero_correction,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:11,0.14779596030712128,0.0
selected_support_ridge,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:11,0.1479794681072235,-0.0012416293362884634
selected_projected_bb,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:11,0.13772261142730713,0.06815713270431512
shared_field_ensemble,extension-rig-b,wrinkled_flame_sheet,extension-rig-b:wrinkled_flame_sheet:11,0.15099570155143738,-0.021649720585508625
