diagnostic_repeat,replicate,sample_index,reaction_family,iterations,singleton_field_relative_l2,singleton_gradient_relative_l2,singleton_front_top10_f1,parent_batch_field_relative_l2,parent_batch_gradient_relative_l2,parent_batch_front_top10_f1,absolute_difference_field_relative_l2,absolute_difference_gradient_relative_l2,absolute_difference_front_top10_f1
1,8,4,annular_kernel,8,0.9345492720603943,0.9721457958221436,0.2658536732196808,0.9346218109130859,0.9721940755844116,0.2658536732196808,7.253885269165039e-05,4.8279762268066406e-05,0.0
1,8,4,annular_kernel,16,0.8798403739929199,0.9304481148719788,0.40000003576278687,0.8799367547035217,0.930487334728241,0.40000003576278687,9.638071060180664e-05,3.921985626220703e-05,0.0
1,8,4,annular_kernel,32,0.8976352214813232,0.9401484727859497,0.4121951162815094,0.89765864610672,0.9398282766342163,0.414634108543396,2.3424625396728516e-05,0.00032019615173339844,0.0024389922618865967
1,8,5,oblique_shock,4,0.5763055086135864,0.7656964063644409,0.4829268157482147,0.5763055086135864,0.7656964063644409,0.4829268157482147,0.0,0.0,0.0
1,8,5,oblique_shock,8,0.4650677740573883,0.670750081539154,0.6243902444839478,0.4650687277317047,0.6707475781440735,0.6243902444839478,9.5367431640625e-07,2.5033950805664062e-06,0.0
1,8,5,oblique_shock,16,0.38150903582572937,0.5712118148803711,0.70243901014328,0.38144516944885254,0.5712476372718811,0.704878032207489,6.386637687683105e-05,3.5822391510009766e-05,0.0024390220642089844
1,8,5,oblique_shock,32,0.3220392167568207,0.49126073718070984,0.7292683124542236,0.3220110237598419,0.4912208318710327,0.7317073345184326,2.8192996978759766e-05,3.9905309677124023e-05,0.0024390220642089844
1,8,6,vortex_pair,4,0.6620726585388184,0.7537437677383423,0.7097560167312622,0.6620725393295288,0.7537437081336975,0.7097560167312622,1.1920928955078125e-07,5.960464477539063e-08,0.0
1,8,6,vortex_pair,8,0.5592954754829407,0.6126235127449036,0.8024390339851379,0.5592454671859741,0.6126109957695007,0.8024390339851379,5.0008296966552734e-05,1.2516975402832031e-05,0.0
1,8,6,vortex_pair,16,0.36979737877845764,0.43792811036109924,0.8682926893234253,0.37494558095932007,0.443777859210968,0.8682926893234253,0.005148202180862427,0.005849748849868774,0.0
1,8,6,vortex_pair,32,0.32683655619621277,0.3787543475627899,0.8999999761581421,0.32812854647636414,0.3802284598350525,0.8999999761581421,0.0012919902801513672,0.0014741122722625732,0.0
1,8,7,multi_plume,4,0.7357779741287231,0.790706217288971,0.7097560167312622,0.7357780337333679,0.7907062768936157,0.7097560167312622,5.960464477539063e-08,5.960464477539063e-08,0.0
1,8,7,multi_plume,8,0.5432656407356262,0.609728217124939,0.8243902325630188,0.5432642102241516,0.6097544431686401,0.8243902325630188,1.430511474609375e-06,2.6226043701171875e-05,0.0
1,8,7,multi_plume,16,0.4231649339199066,0.5113376975059509,0.8341463208198547,0.42325788736343384,0.5113838911056519,0.8341463208198547,9.295344352722168e-05,4.6193599700927734e-05,0.0
1,8,7,multi_plume,32,0.30605342984199524,0.3873337209224701,0.8951218724250793,0.30614417791366577,0.38747990131378174,0.8951218724250793,9.074807167053223e-05,0.0001461803913116455,0.0
2,0,0,plume,4,0.5280283689498901,0.6848860383033752,0.8097560405731201,0.5280284285545349,0.6848860383033752,0.8097560405731201,5.960464477539063e-08,0.0,0.0
2,0,0,plume,8,0.36660993099212646,0.5094366669654846,0.8487805128097534,0.3666061758995056,0.5094345808029175,0.8487805128097534,3.7550926208496094e-06,2.086162567138672e-06,0.0
2,0,0,plume,16,0.2926178574562073,0.4287428855895996,0.8512195348739624,0.2926015853881836,0.428702712059021,0.8512195348739624,1.627206802368164e-05,4.017353057861328e-05,0.0
2,0,0,plume,32,0.22363156080245972,0.3421676754951477,0.8829268217086792,0.22364413738250732,0.3421836793422699,0.8829268217086792,1.2576580047607422e-05,1.6003847122192383e-05,0.0
2,0,1,wavy_front,4,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.0,0.0,0.0
2,0,1,wavy_front,8,0.3090623617172241,0.49132388830184937,0.6780487895011902,0.309072881937027,0.49134719371795654,0.6780487895011902,1.0520219802856445e-05,2.3305416107177734e-05,0.0
2,0,1,wavy_front,16,0.270942747592926,0.4319061040878296,0.7390244007110596,0.27093997597694397,0.4318997263908386,0.7390244007110596,2.771615982055664e-06,6.377696990966797e-06,0.0
2,0,1,wavy_front,32,0.24747420847415924,0.40783050656318665,0.7829268574714661,0.24748891592025757,0.40785446763038635,0.7829268574714661,1.4707446098327637e-05,2.396106719970703e-05,0.0
2,0,2,thin_front,4,0.5641828775405884,0.7816382050514221,0.6073170900344849,0.5641829371452332,0.7816382050514221,0.6073170900344849,5.960464477539063e-08,0.0,0.0
2,0,2,thin_front,8,0.565610945224762,0.7517315149307251,0.6048780679702759,0.5656101107597351,0.7517299652099609,0.6048780679702759,8.344650268554688e-07,1.5497207641601562e-06,0.0
2,0,2,thin_front,16,0.549424946308136,0.7193726897239685,0.5853658318519592,0.5494328737258911,0.7193838953971863,0.5853658318519592,7.927417755126953e-06,1.1205673217773438e-05,0.0
2,0,2,thin_front,32,0.5342246890068054,0.7037362456321716,0.5829268097877502,0.5342267751693726,0.7037349343299866,0.5829268097877502,2.086162567138672e-06,1.3113021850585938e-06,0.0
2,0,3,double_front,4,0.6568558216094971,0.7636653184890747,0.6390243768692017,0.6568557620048523,0.7636653780937195,0.6390243768692017,5.960464477539063e-08,5.960464477539063e-08,0.0
2,0,3,double_front,8,0.7371450066566467,0.8471972346305847,0.5634146332740784,0.7371461987495422,0.8472023010253906,0.5634146332740784,1.1920928955078125e-06,5.066394805908203e-06,0.0
2,0,3,double_front,16,0.5293257832527161,0.6555783748626709,0.7219512462615967,0.5288503766059875,0.6551936864852905,0.7219512462615967,0.0004754066467285156,0.0003846883773803711,0.0
2,0,3,double_front,32,0.5130489468574524,0.6528952121734619,0.7414634823799133,0.5130401253700256,0.6528938412666321,0.7414634823799133,8.821487426757812e-06,1.3709068298339844e-06,0.0
