base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
307,shock_expansion_pair,2.0,1.0,1.0,0.11101981062494441,0.6778853328017538
307,shock_expansion_pair,2.0,1.5,0.5,0.10711412786000256,0.6708366707806538
307,shock_expansion_pair,2.0,2.0,0.0,0.10731263814669058,0.6655056627533129
307,shock_expansion_pair,2.0,2.5,-0.5,0.11153025581832282,0.6665494301502896
401,smooth_plume,0.0,-0.5,0.5,0.06468105036284072,0.561562711037925
401,smooth_plume,0.0,0.0,0.0,0.059636029024562665,0.5363030060846542
401,smooth_plume,0.0,0.5,-0.5,0.06131962542885702,0.5430803972787455
401,smooth_plume,0.0,1.0,-1.0,0.07058805104501384,0.5920869709985511
401,smooth_plume,0.0,1.5,-1.5,0.08442515599094635,0.6590699198560512
401,smooth_plume,0.0,2.0,-2.0,0.10184175260413326,0.715747483697208
401,smooth_plume,0.0,2.5,-2.5,0.12541777676395996,0.759667484398422
401,wrinkled_density_interface,0.0,-0.5,0.5,0.1292844554944682,0.7564524013448152
401,wrinkled_density_interface,0.0,0.0,0.0,0.12658285877798284,0.7314049954666972
401,wrinkled_density_interface,0.0,0.5,-0.5,0.1352268453648012,0.7257024379639863
401,wrinkled_density_interface,0.0,1.0,-1.0,0.15108964306611716,0.7420523838621602
401,wrinkled_density_interface,0.0,1.5,-1.5,0.17722497856439112,0.7848080734874603
401,wrinkled_density_interface,0.0,2.0,-2.0,0.21266632331291305,0.8182660053911649
401,wrinkled_density_interface,0.0,2.5,-2.5,0.24258649506740215,0.8264591038719568
401,shock_expansion_pair,0.0,-0.5,0.5,0.11258368939398627,0.6562550407171385
401,shock_expansion_pair,0.0,0.0,0.0,0.11108573491213393,0.6400704980190834
401,shock_expansion_pair,0.0,0.5,-0.5,0.11191550098224222,0.6358124875859916
401,shock_expansion_pair,0.0,1.0,-1.0,0.11648440303535233,0.6489729425396329
401,shock_expansion_pair,0.0,1.5,-1.5,0.12634748043191152,0.6787116127916853
401,shock_expansion_pair,0.0,2.0,-2.0,0.1357633468117261,0.6921295702179909
401,shock_expansion_pair,0.0,2.5,-2.5,0.1445358394595836,0.6855606468710881
401,smooth_plume,0.5,-0.5,1.0,0.07604321080952564,0.6045856903998565
401,smooth_plume,0.5,0.0,0.5,0.06468113639169014,0.5616114838581756
