rig_id,block_id,method,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,kappa,mean_validation_mse,median_effective_lambda,selected,selected_by_any_fold_score_deletion,validation_views,fold_0_validation_mse,fold_1_validation_mse,fold_2_validation_mse,fold_3_validation_mse
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.04,0.001,88.23656239335828,0.8673918025163534,False,True,1|2|3,173.84349103263912,44.14231971887614,46.72387642855963,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,3e-06,5824.425441797034,0.002399653924151114,False,False,1|2|3,12931.022106676952,2389.7516010916684,2152.502617622483,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,1e-05,2751.346778725448,0.007998846413837047,False,False,1|2|3,6601.67426384002,856.5302040214771,795.8358683148465,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,3e-05,1183.6680404502292,0.02399653924151114,False,False,1|2|3,2941.9024306303663,279.3771551269301,329.7245355933913,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,0.0001,435.20367636731413,0.07998846413837046,False,False,1|2|3,1060.0140392557078,109.1057246339103,136.49126521232438,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,0.0003,198.177902783664,0.2399653924151114,False,False,1|2|3,454.26160839867725,68.9518521598533,71.32024779246152,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.08,0.001,94.18451856047257,0.7998846413837046,False,False,1|2|3,189.99898093153521,47.39501592950834,45.15955882037417,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,3e-06,6716.192964830111,0.0021351444665186677,False,False,1|2|3,15030.490945509464,2522.1326395066135,2595.955309474257,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,1e-05,3127.927136897791,0.007117148221728892,False,False,1|2|3,7428.35187056157,916.8835565712698,1038.545983560533,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,3e-05,1307.1859804321275,0.021351444665186677,False,False,1|2|3,3232.7645642451935,301.748536727211,387.0448403239777,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,0.0001,499.62497507671264,0.07117148221728893,False,False,1|2|3,1238.276187749142,127.68034867370275,132.91838880729296,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,0.0003,240.27578459424512,0.21351444665186675,False,False,1|2|3,572.5804839206003,83.16887082984695,65.07799903228812,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.12,0.001,115.6019454411301,0.7117148221728893,False,False,1|2|3,249.2764143998653,55.51708820951012,42.012333714014886,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,3e-06,9945.86514983026,0.0018387819605443691,False,False,1|2|3,23492.248692578854,3295.937550121924,3049.4092067900015,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,1e-05,4325.059353459175,0.006129273201814564,False,False,1|2|3,10330.419336762594,1084.302011399632,1560.4567122152998,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,3e-05,1695.6804180776207,0.01838781960544369,False,False,1|2|3,4108.8122141731055,386.2605232352513,591.9685168245047,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,0.0001,641.5908679201685,0.06129273201814564,False,False,1|2|3,1565.8657756564874,190.95034210123214,167.95648600278605,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,0.0003,325.10974782146303,0.1838781960544369,False,False,1|2|3,778.1116131148784,128.84979883756392,68.36783151194678,
development_rig_b,development_rig_b:radius=0.05500,camera_delete_4,0.055,0.041,0.16,0.001,161.71200464113593,0.6129273201814563,False,False,1|2|3,359.047178650067,85.83158198087068,40.257253292470146,
development_rig_b,development_rig_b:radius=0.05500,radius_kappa,0.055,0.041,0.0,3e-06,5665.863236718356,0.005287374080575729,False,False,1|2|3|4,9223.40676174367,772.717315538157,1103.3341724016618,11563.994697189935
