case_id,split,family,base_seed,geometry_cluster_id,observation_rms,solve_forward_calls,solve_adjoint_calls,evaluator_forward_calls,projection_closure_relative_l2,oracle,status,primal_objective,dual_objective,signed_primal_dual_gap,relative_primal_dual_gap,primal_residual,dual_residual,iterations,solve_seconds,weight_sum_error,minimum_weight,maximum_ray_violation,maximum_ray_violation_over_observation_rms,violating_ray_count,active_ray_count,minimum_soc_ray_scale,maximum_soc_ray_scale,active_weight_count,nontrivial_mixture,truth_conditioned,deployable
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.42676696416369714,12,12,1,4.42531314765757e-15,unconstrained,Solved,0.26980661407690526,0.2698066140288474,4.805783548889053e-11,4.805783548889053e-11,6.357105383118711e-14,8.092565439979733e-14,9,3.6498e-05,2.220446049250313e-16,2.2777647125015814e-09,,,,,,,2,True,True,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.42676696416369714,12,12,1,4.42531314765757e-15,tail_safe,Solved,0.28778929442462553,0.2877892943516916,7.293393666785164e-11,7.293393666785164e-11,4.313307094740149e-12,3.963765933156696e-12,16,0.000980375,4.440892098500626e-15,3.4898565158514324e-12,1.911769353935e-13,4.4796563803417855e-13,0,3,0.0013950414576783267,0.23032658479350526,5,True,True,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.44239688243083325,12,12,1,4.563025423899889e-13,unconstrained,Solved,0.29463134654248535,0.2946313465340563,8.429035247559113e-12,8.429035247559113e-12,7.446991516133536e-14,9.980130025371489e-14,9,3.6914e-05,1.1102230246251565e-16,1.2278813347639464e-10,,,,,,,4,True,True,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,0.44239688243083325,12,12,1,4.563025423899889e-13,tail_safe,Solved,0.2958762996069965,0.2958762995577343,4.92622054260039e-11,4.92622054260039e-11,7.713482355696656e-13,1.2896208001165163e-12,16,0.000957083,4.525269048372138e-13,2.671864525326067e-10,-1.785441586243941e-12,-4.0358367274956706e-12,0,3,0.003137027865453251,0.19076419003162812,6,True,True,False
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4304495482092712,12,12,1,1.6225913560284105e-16,unconstrained,Solved,0.28254999803726155,0.2825499979647551,7.250644529221972e-11,7.250644529221972e-11,4.754646113048927e-15,1.0628505499132995e-13,10,3.5832e-05,6.8833827526759706e-15,1.6267984965429253e-08,,,,,,,2,True,True,False
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4304495482092712,12,12,1,1.6225913560284105e-16,tail_safe,Solved,0.28260922835188435,0.2826092283410253,1.0859035892707425e-11,1.0859035892707425e-11,2.5992260779140904e-14,4.523551444200292e-13,11,0.000673501,0.0,8.420939971108306e-11,-1.7076062786003376e-12,-3.967030017116321e-12,0,1,0.006931402603738391,0.1125563277166546,3,True,True,False
4f9030a93c5588825996,ood,single_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.6155415679385993,12,12,1,4.55543473864806e-16,unconstrained,Solved,0.2632621606449567,0.2632621606161934,2.8763325055081168e-11,2.8763325055081168e-11,1.7612302720923575e-14,2.3657149627116872e-14,9,3.4836e-05,5.551115123125783e-16,9.968879201779984e-10,,,,,,,2,True,True,False
4f9030a93c5588825996,ood,single_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.6155415679385993,12,12,1,4.55543473864806e-16,tail_safe,Solved,0.2634127988004634,0.2634127987509629,4.950051479823969e-11,4.950051479823969e-11,6.887272700720095e-14,4.061907377182345e-13,11,0.000644874,4.440892098500626e-16,3.0182007539879563e-10,-2.7122106643906463e-12,-4.40621853285007e-12,0,2,0.005048810564237198,0.3291217175830084,3,True,True,False
b8ea97acd56019fc17c6,ood,two_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4551784247661341,12,12,1,1.3093674466792741e-15,unconstrained,Solved,0.30280202079832114,0.30280202079601226,2.308875313161707e-12,2.308875313161707e-12,3.752307370270203e-15,5.622526377863557e-15,9,3.5959e-05,2.220446049250313e-16,1.6677590036411475e-10,,,,,,,4,True,True,False
b8ea97acd56019fc17c6,ood,two_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,0.4551784247661341,12,12,1,1.3093674466792741e-15,tail_safe,Solved,0.30353498583054556,0.30353498578975546,4.079009352508933e-11,4.079009352508933e-11,2.8410965006037688e-14,5.037638875244292e-13,13,0.000745456,1.3322676295501878e-15,1.1029741972683818e-10,-6.168308051834881e-13,-1.355140691258399e-12,0,2,0.002303198034961834,0.16565428490956938,5,True,True,False
84f5cff833ac4146c0eb,ood,smooth_no_interface,307,95cd8ad079f1acb20db6b9aebf0bae3f14e7e8d92d648c8e338233cef257b2a9,0.46119008947348455,12,12,1,1.0081548233915514e-15,unconstrained,Solved,0.2907344051668718,0.2907344051634484,3.4234282075829015e-12,3.4234282075829015e-12,2.77297335270354e-16,6.3922570161310246e-15,10,3.5252e-05,2.220446049250313e-16,5.200034966016347e-10,,,,,,,3,True,True,False
