stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
out_of_class,3,8,nominal,0.1570316117685742,0.9483698787067675,0.32671602493570867,8,,
out_of_class,3,8,secant,0.1438648024091681,0.9576194172277979,0.2987735120423588,8,,
out_of_class,3,8,channel_gate,0.12006291304849441,0.9732835788043934,0.23398617071794495,8,,
out_of_class,3,8,full_srco,0.10868125936304177,0.971215093795882,0.23864151179661114,8,,
out_of_class,3,8,df_gated_srco,0.10868135109099178,0.971216197535971,0.23863694025733084,8,0.9997845572669047,4.475770867202587e-15
out_of_class,3,16,nominal,0.1570316117685742,0.9573842678498596,0.2941620850026392,16,,
out_of_class,3,16,secant,0.1338131367869538,0.9642089983419695,0.26826442538310413,16,,
out_of_class,3,16,channel_gate,0.11720572678998097,0.9822893888174169,0.19592464493880468,16,,
out_of_class,3,16,full_srco,0.09838232506429002,0.9838429013397194,0.18047105857076287,16,,
out_of_class,3,16,df_gated_srco,0.09838284743964762,0.9838425562740144,0.18047740161328873,16,0.9997232033886182,3.061014510404592e-15
out_of_class,3,32,nominal,0.1570316117685742,0.9452751999415481,0.3422608361540179,32,,
out_of_class,3,32,secant,0.10859841901635685,0.973463488922226,0.23128108554884869,32,,
out_of_class,3,32,channel_gate,0.11672733688462775,0.9714232870399162,0.24865861845136972,32,,
out_of_class,3,32,full_srco,0.07909865648578039,0.9836510510931217,0.18717179455927388,32,,
out_of_class,3,32,df_gated_srco,0.07909754256030885,0.9836506439833672,0.18717481371388237,32,0.9997604006965024,6.149276717695532e-15
out_of_class,4,4,nominal,0.16322201747293544,0.937949401415872,0.3642927557742272,4,,
out_of_class,4,4,secant,0.1599769078624058,0.9393285072215731,0.35658402570671555,4,,
out_of_class,4,4,channel_gate,0.1276608972913119,0.9577537712245605,0.2974000815503508,4,,
out_of_class,4,4,full_srco,0.1266734007863405,0.962802948888889,0.28449878386025584,4,,
out_of_class,4,4,df_gated_srco,0.12667276915843315,0.9628028533408333,0.28450061218885314,4,0.9997099351762314,7.36721082653701e-15
out_of_class,4,8,nominal,0.16322201747293544,0.9485125856764381,0.32555417273207093,8,,
out_of_class,4,8,secant,0.1517568642711082,0.9530184560968809,0.3172375949666292,8,,
out_of_class,4,8,channel_gate,0.12614644424173713,0.969528696805108,0.24759961244813605,8,,
out_of_class,4,8,full_srco,0.11832451028743288,0.9710268082210713,0.24287335746243344,8,,
out_of_class,4,8,df_gated_srco,0.11832445247671618,0.9710250745842356,0.24287503364548674,8,0.9996862492444571,9.410789520784867e-15
out_of_class,4,16,nominal,0.16322201747293544,0.9362785285020307,0.3895313429461976,16,,
out_of_class,4,16,secant,0.13877342388041297,0.9550721580716217,0.304174019339215,16,,
out_of_class,4,16,channel_gate,0.12516732313573375,0.963603791273134,0.27447275026599793,16,,
out_of_class,4,16,full_srco,0.10783333949800787,0.974723132812606,0.2268213179069985,16,,
out_of_class,4,16,df_gated_srco,0.1078334712407688,0.974723437337669,0.22681977642288415,16,0.9997462139837654,1.0453789821402181e-14
out_of_class,4,32,nominal,0.16322201747293544,0.9482064601218609,0.3537581013450318,32,,
out_of_class,4,32,secant,0.1164611646149653,0.9742365894220921,0.23579246696350148,32,,
out_of_class,4,32,channel_gate,0.12437852194628506,0.9577143242128832,0.29656258128741175,32,,
out_of_class,4,32,full_srco,0.08857018272161891,0.9804480114048799,0.20077115474468019,32,,
