cell_id,family,dynamics,noise_level,view_count,seed,rank,is_full_rank,field_rel_l2,paper_l2_squared,temporal_gradient_rel_l2,mass_trace_rmse,clean_heldout_reprojection_rel_l2,support_residual,heldout_residual,rank_fraction,rank_fraction_squared,log_rank,spectral_energy,spectral_tail,spectral_gap,log_support_residual,temporal_gradient_ratio,temporal_curvature_ratio,mass_curvature,negative_fraction,observation_temporal_noise_proxy,view_fraction,rank_x_noise_proxy,rank_x_spectral_tail,log_heldout_residual,log_heldout_support_ratio,full_rank_field_rel_l2,field_error_ratio_to_full,target_log_error_ratio,oracle_rank,oracle_field_rel_l2,oracle_regret_pct
f-blobs_sheet_d-chirp_v-7_n-0.14_s-20260725,blobs_sheet,chirp,0.14,7,20260725,18,1,0.2997022565868504,0.0898214426032503,0.7746392970877128,0.12869898162055224,0.22849121782602572,0.31292479642557547,0.2647393325835057,1.0,1.0,2.9444389791664403,0.9999999999999962,0.0,0.0,-1.1617923843184716,0.9999999999967959,0.9999999999973355,1.5207604493628102,0.565991512345679,1.2030755049226263,0.7777777777777778,1.2030755049226263,0.0,-1.3290095877221815,-0.16721720340370966,0.2997022565868504,0.9999999999966634,0.0,5,0.2874171643837057,4.274307078856717
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,1,0,0.3589881650391289,0.12887250263816083,0.7862226571652683,0.12187571306028186,0.3461047158987491,0.46235251251445475,0.42356279328312013,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.3929585970058261,0.7791286177481681,0.06217702841077915,-0.7714276647449543,0.4714351917489585,0.24803352334858872,1.0957194118727875,0.5858603395061729,1.4375893424722064,0.7777777777777778,0.07986607458178924,0.04328492320823156,-0.8590535036637459,-0.08762583891879158,0.3493788054093536,1.027504128699189,0.027132685581689363,3,0.3008917477534878,19.308079307327752
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,2,0,0.3060785145692627,0.09368405708092638,0.6616846539712222,0.13235442113774734,0.23307763067045092,0.3982329780876026,0.34471651374668427,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.6880745847026175,0.558502833741584,0.34056751055256557,-0.9207180728791885,0.5673317580780999,0.2962487052302288,0.91121612799141,0.5762442129629629,1.4375893424722064,0.7777777777777778,0.15973214916357847,0.06205587041573156,-1.0650328990127553,-0.14431482613356691,0.3493788054093536,0.8760649181617252,-0.13231508329774913,3,0.3008917477534878,1.7237982943975707
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,3,0,0.3008917477534878,0.09053584386614852,0.6250121970283418,0.13452602162357774,0.2408247754361915,0.38750877718067134,0.3493031987520701,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.7495721208758102,0.500427696200147,0.1280997453750684,-0.9480167796538508,0.6230193017776912,0.3744241344035742,1.266448912634935,0.5726080246913581,1.4375893424722064,0.7777777777777778,0.2395982237453677,0.08340461603335783,-1.051814969601576,-0.10379818994772519,0.3493788054093536,0.8612192356662374,-0.14940617785063806,3,0.3008917477534878,0.0
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,5,0,0.3094371243444731,0.09575133392257691,0.7490662077715255,0.13462450672772497,0.2629937353886748,0.3919160703328092,0.3617334671115317,0.2777777777777778,0.0771604938271605,1.791759469228055,0.8093264562471327,0.4366618185196228,0.017047022433681128,-0.9367075684070019,0.7163911054664867,0.5309865634606197,1.853552883532187,0.5607253086419753,1.4375893424722064,0.7777777777777778,0.39933037290894624,0.12129494958878412,-1.0168476170373086,-0.08014004863030671,0.3493788054093536,0.885678007803112,-0.12140181677184611,3,0.3008917477534878,2.840016934581369
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,8,0,0.32282791878493144,0.1042178651470103,0.9552306530696327,0.14013421724968222,0.2892764357922298,0.3974010544710182,0.37917731812254957,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.8723165573808932,0.35732820014533384,0.011774697998238794,-0.9228092954406178,0.8332455948165565,0.7525811055475795,1.405993483464731,0.550144675925926,1.4375893424722064,0.7777777777777778,0.6389285966543139,0.15881253339792614,-0.9697513254652909,-0.046942030024673016,0.3493788054093536,0.9240054456244491,-0.07903731382176858,3,0.3008917477534878,7.290386391501311
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,12,0,0.3365536946107638,0.11326838935615524,1.123728994304025,0.14496661101922434,0.30646713356007876,0.3989008956742238,0.39139742064198585,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.936143667334544,0.25269810578129176,0.008015941941019698,-0.9190422747104897,0.9341172541779417,0.9057226531853116,1.5240587463770425,0.5418016975308642,1.4375893424722064,0.7777777777777778,0.9583928949814708,0.1684654038541945,-0.9380318141211149,-0.01898953941062522,0.3493788054093536,0.9632916748211832,-0.03739903160611161,3,0.3008917477534878,11.852085384001388
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260720,blobs_sheet,chirp,0.28,7,20260720,18,1,0.3493788054093536,0.12206554966926698,1.2250615669864204,0.15027667346273108,0.32070898359043837,0.39975743110582773,0.4016813925588488,1.0,1.0,2.9444389791664403,0.9999999999999971,0.0,0.0,-0.9168973380554187,0.9999999999975967,0.9999999999983367,1.501992934619337,0.5341628086419753,1.4375893424722064,0.7777777777777778,1.4375893424722064,0.0,-0.9120960604227978,0.004801277632621032,0.3493788054093536,0.9999999999971378,0.0,3,0.3008917477534878,16.11445246262744
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,1,0,0.3584882274288839,0.1285138092051032,0.7839405676877307,0.12420548940311747,0.3518495620301923,0.463889447475847,0.43378762041510727,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.3857270956561097,0.7837556407094545,0.05336942002305618,-0.7681090148924196,0.47231503004707376,0.25285748960319415,0.9753458779618608,0.5815297067901235,1.4413186767617325,0.7777777777777778,0.08007325982009625,0.04354198003941413,-0.8352002185343551,-0.06709120364193552,0.35151815833616423,1.0198284752192923,0.019634451608516897,3,0.30202537674677704,18.694737273437557
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,2,0,0.307964087286401,0.09484187905814602,0.6668494258346072,0.13417831411127704,0.241175226072406,0.4014042495553002,0.36016454744000087,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.687403475053895,0.5591033222456313,0.3526994379910762,-0.9127862558391179,0.569962553723759,0.3094380768096938,0.6798188074518987,0.5692418981481482,1.4413186767617325,0.7777777777777778,0.1601465196401925,0.0621225913606257,-1.0211942757344972,-0.10840801989537911,0.35151815833616423,0.8760972370338046,-0.13227819302253147,3,0.30202537674677704,1.966295217829798
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,3,0,0.30202537674677704,0.0912193281990326,0.6264579965444161,0.13548324943188636,0.24595778455310438,0.3895300491268373,0.3642552464782629,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.7468521845168363,0.5031379686360002,0.13667443531198492,-0.9428142686937152,0.6231935079102335,0.37442877586742457,0.9705394174633878,0.5664930555555555,1.4413186767617325,0.7777777777777778,0.24021977946028875,0.08385632810600004,-1.009900430498506,-0.06708616180479077,0.35151815833616423,0.8592027739775668,-0.1517503266708171,3,0.30202537674677704,0.0
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,5,0,0.31059066349833603,0.09646656025233662,0.777152716504625,0.1356564480109046,0.2678061669595349,0.393533900649122,0.3776671942411788,0.2777777777777778,0.0771604938271605,1.791759469228055,0.8048695583532693,0.44173571470589484,0.025810092970761537,-0.932588063246894,0.7268253167407952,0.5691333600926921,1.5360146010914248,0.5572916666666666,1.4413186767617325,0.7777777777777778,0.40036629910048127,0.12270436519608191,-0.9737419096889387,-0.04115384644204473,0.35151815833616423,0.8835693295833329,-0.1237855187830866,3,0.30202537674677704,2.835949364186011
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,8,0,0.32551720633056314,0.10596145161725443,0.9626303048134032,0.142490890416331,0.29903338471310087,0.40003490136911857,0.3956059240359849,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.8712265164057067,0.35885022445902187,0.04021642085241024,-0.9162034822552174,0.8292287830714684,0.7411067249590367,1.2538363341537944,0.544897762345679,1.4413186767617325,0.7777777777777778,0.64058607856077,0.15948898864845415,-0.9273367045302695,-0.01113322227505216,0.35151815833616423,0.9260324071746477,-0.07684604799640099,3,0.30202537674677704,7.778097932282108
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,12,0,0.3392849989046862,0.11511431048175291,1.1198022543430959,0.14769611276761882,0.3162438451558822,0.40213318319435765,0.40926415900896673,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.9360797690710456,0.2528245061874968,0.014584730101128627,-0.9109719437503443,0.9235683693003869,0.890165009870098,1.421045662728442,0.5364390432098766,1.4413186767617325,0.7777777777777778,0.960879117841155,0.16854967079166452,-0.8933944658706864,0.017577477879657917,0.35151815833616423,0.9651990682633688,-0.035420910558898414,3,0.30202537674677704,12.336586600477906
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260721,blobs_sheet,chirp,0.28,7,20260721,18,1,0.35151815833616423,0.12356501564004861,1.234768123371247,0.1524029428137446,0.3274769198430377,0.4006671700244694,0.41791256146866423,1.0,1.0,2.9444389791664403,0.9999999999999971,0.0,0.0,-0.9146241962527148,0.9999999999976069,0.9999999999983472,1.5282357436003646,0.5293402777777778,1.4413186767617325,0.7777777777777778,1.4413186767617325,0.0,-0.872483051426142,0.04214114482657286,0.35151815833616423,0.9999999999971553,0.0,3,0.30202537674677704,16.38696129521556
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,1,0,0.35998126647127293,0.12958651221026163,0.782904104999963,0.12552900658661756,0.3528350446019259,0.4627288611631419,0.4354923448527154,0.05555555555555555,0.0030864197530864196,0.6931471805599453,0.388496998900686,0.7819865734776468,0.05829989589273994,-0.7706140094706012,0.46944220401274855,0.24987638845897947,1.0471961847894504,0.581568287037037,1.4393119570498998,0.7777777777777778,0.07996177539166109,0.04344369852653593,-0.8312780606771016,-0.06066405120650045,0.35184559547838434,1.0231228444988885,0.022859562362038156,3,0.3032162991552314,18.72094853541944
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,2,0,0.3085854855016423,0.09522500186228428,0.663987201561094,0.13499655277050193,0.2416001047595804,0.40006655644308814,0.3564826968032952,0.1111111111111111,0.012345679012345678,1.0986122886681098,0.6855184917050454,0.5607865086598924,0.33459796071467524,-0.9161243546054002,0.5610065750859724,0.2943980102814732,0.703309544508612,0.5724247685185185,1.4393119570498998,0.7777777777777778,0.15992355078332218,0.06230961207332138,-1.031469576619049,-0.1153452220136487,0.35184559547838434,0.8770480275053585,-0.13119352470211643,3,0.3032162991552314,1.7707446338972732
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,3,0,0.3032162991552314,0.0919401240733948,0.6355284375280185,0.13693026287670435,0.24703822667935266,0.38781375077563135,0.35889456849898893,0.16666666666666666,0.027777777777777776,1.3862943611198906,0.7491382412483687,0.5008610174006641,0.15864981191976973,-0.9472300783787257,0.6252135506075266,0.37739336744632457,1.234589806444349,0.5663001543209877,1.4393119570498998,0.7777777777777778,0.2398853261749833,0.08347683623344401,-1.024726614685112,-0.07749653630638628,0.35184559547838434,0.8617879633880418,-0.14874602072216037,3,0.3032162991552314,0.0
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,5,0,0.31123162601258686,0.09686512503043873,0.7889785440846531,0.136765760160722,0.26778880505886266,0.39043859258814595,0.37184759987343174,0.2777777777777778,0.0771604938271605,1.791759469228055,0.8060862104107449,0.44035643470858027,0.02499710859734866,-0.940484575360832,0.7326509717927016,0.5777884233263798,1.6609988980590815,0.5548611111111111,1.4393119570498998,0.7777777777777778,0.3998088769583055,0.12232123186349453,-0.9892711864067533,-0.04878661104592138,0.35184559547838434,0.8845687711069353,-0.12265501700876281,3,0.3032162991552314,2.6434353561005564
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,8,0,0.32453246484818565,0.10532132074043886,0.9545838343485082,0.14141894370429797,0.2970844413016425,0.3962879414635473,0.3926274036816449,0.4444444444444444,0.19753086419753085,2.1972245773362196,0.869265087449589,0.3615728315988469,0.006154207510970762,-0.925614207044425,0.8294923380924079,0.7459327104873892,1.8482989331932607,0.5445216049382716,1.4393119570498998,0.7777777777777778,0.6396942031332887,0.16069903626615417,-0.9348941990595578,-0.00927999201513289,0.35184559547838434,0.9223718273523221,-0.08080685325699265,3,0.3032162991552314,7.030019742431837
f-blobs_sheet_d-chirp_v-7_n-0.28_s-20260722,blobs_sheet,chirp,0.28,7,20260722,12,0,0.33892916188658445,0.11487297677714259,1.1075128034030137,0.14733497744842247,0.31671610080672713,0.40004958366392857,0.4078425166747079,0.6666666666666666,0.4444444444444444,2.5649493574615367,0.9357232288753923,0.25352863965359973,0.0055899302428335605,-0.9161667803941358,0.9186181889328493,0.8867540700469982,1.6667805614233042,0.5361786265432099,1.4393119570498998,0.7777777777777778,0.9595413046999332,0.16901909310239982,-0.8968741676306582,0.019292612763477584,0.35184559547838434,0.9632894833450979,-0.037401306595769915,3,0.3032162991552314,11.778015506004209
