method,split,sample_index,family_id,view_count,noise_level,rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,heldout_reprojection_rel_l2,mass_relative_error,centroid_error,squared_rel_l2
unet,test_iid,87,1,7,0.05,0.25824013352394104,0.4634694457054138,0.17625905573368073,0.36468252539634705,0.07393987476825714,0.04681082557011283,0.0666879665624629
unet,test_iid,88,0,5,0.02,0.19267037510871887,0.38737204670906067,0.18485940992832184,0.2109512835741043,0.009681405499577522,0.02888538285184147,0.03712187344453444
unet,test_iid,89,0,5,0.05,0.17041710019111633,0.34902870655059814,0.16500315070152283,0.1809571534395218,0.08869995921850204,0.03370961498904033,0.029041988037548983
unet,test_iid,90,0,7,0.02,0.22675096988677979,0.3950924873352051,0.19440823793411255,0.31101828813552856,0.19788551330566406,0.08963324047567789,0.05141600234459531
unet,test_iid,91,0,7,0.05,0.17351092398166656,0.33765432238578796,0.1547369807958603,0.23044878244400024,0.012709591537714005,0.04516536760282832,0.030106040740971673
unet,test_iid,92,1,5,0.02,0.5045915842056274,0.778670608997345,0.3054456114768982,0.5379178524017334,0.44857820868492126,0.022973737610141275,0.2546126668511448
unet,test_iid,93,1,5,0.05,0.5282776951789856,0.7816376686096191,0.3033287227153778,0.5509240627288818,0.3956090211868286,0.035760644771330195,0.2790773232236212
unet,test_iid,94,1,7,0.02,0.3319251537322998,0.5815536975860596,0.19272007048130035,0.4842895269393921,0.19519449770450592,0.00413572153196988,0.11017430768021086
unet,test_iid,95,1,7,0.05,0.3506428301334381,0.5841032266616821,0.2301178127527237,0.38775765895843506,0.16261854767799377,0.012311427456081228,0.12295039432398713
unet,test_iid,96,0,5,0.02,0.23338937759399414,0.3729020357131958,0.20970837771892548,0.18860341608524323,0.2677744925022125,0.10359734226003657,0.054470601573711974
unet,test_iid,97,0,5,0.05,0.17739221453666687,0.3638344407081604,0.1628323197364807,0.16694989800453186,0.013934547081589699,0.031029373767004098,0.031467997778222845
unet,test_iid,98,0,7,0.02,0.16915814578533173,0.3000943660736084,0.13391809165477753,0.18827977776527405,0.2260885089635849,0.03448879779816922,0.02861447828553154
unet,test_iid,99,0,7,0.05,0.23030421137809753,0.3822425901889801,0.18047219514846802,0.29844751954078674,0.23035944998264313,0.08112720834959104,0.05304002977848743
unet,test_view_ood,100,0,3,0.02,0.5545358657836914,0.7608820199966431,0.7046388983726501,0.4319866895675659,0.22966298460960388,0.02485386956545496,0.3075100264404682
unet,test_view_ood,101,0,3,0.05,0.5517196655273438,0.765284538269043,0.6314045190811157,0.5116105079650879,0.37080466747283936,0.0353777502796684,0.30439458932960406
unet,test_view_ood,102,1,3,0.02,0.6158729195594788,0.9130519032478333,0.6974068284034729,0.6131263971328735,0.13936960697174072,0.03454578918771223,0.3792994530467162
unet,test_view_ood,103,1,3,0.05,0.6442859768867493,0.9128789305686951,0.5911526083946228,0.7092523574829102,0.18458275496959686,0.04199618680526183,0.4151044200129128
unet,test_view_ood,104,0,3,0.02,0.5282836556434631,0.7101607322692871,0.5803875923156738,0.4811845123767853,0.30498746037483215,0.02307343915527263,0.27908362082002114
unet,test_view_ood,105,0,3,0.05,0.5056291222572327,0.7257348895072937,0.5732830166816711,0.4359264373779297,0.09966064989566803,0.03468902868645882,0.25566080927461954
unet,test_view_ood,106,1,3,0.02,0.5904068946838379,0.8524059653282166,0.6329933404922485,0.5228446125984192,0.2495337724685669,0.015828400734829794,0.34858030129021245
unet,test_view_ood,107,1,3,0.05,0.6567491888999939,0.8947439193725586,0.6209445595741272,0.6445098519325256,0.17758502066135406,0.04179222167771945,0.43131949712079987
unet,test_view_ood,108,0,3,0.02,0.47175148129463196,0.6676973104476929,0.5308837294578552,0.4236718416213989,0.19833046197891235,0.03927262646364297,0.2225494601036795
unet,test_view_ood,109,0,3,0.05,0.4664907157421112,0.679837703704834,0.5013226270675659,0.44812360405921936,0.19822564721107483,0.06006959975362097,0.2176135878735872
unet,test_view_ood,110,1,3,0.02,0.620894730091095,0.847197413444519,0.6375141143798828,0.5994547605514526,0.32193171977996826,0.02775402093297253,0.3855102658548937
unet,test_view_ood,111,1,3,0.05,0.6499642729759216,0.9123968482017517,0.5851407051086426,0.7062163352966309,0.22404025495052338,0.030194671614257183,0.42245355614511837
unet,test_view_ood,112,0,3,0.02,0.6640676856040955,0.8772040605545044,0.846071720123291,0.5632846355438232,0.6445117592811584,0.069966263192347,0.44098589106357977
unet,test_view_ood,113,0,3,0.05,0.5567159652709961,0.8055156469345093,0.7179739475250244,0.4843364357948303,0.21414294838905334,0.05574742330286195,0.30993266598761693
unet,test_view_ood,114,1,3,0.02,0.5880520939826965,0.873080849647522,0.6691427230834961,0.4724937379360199,0.160035640001297,0.03057370684497298,0.34580526523743416
unet,test_view_ood,115,1,3,0.05,0.652233362197876,0.9091109037399292,0.4900347888469696,0.6981165409088135,0.3394918143749237,0.05460598049407822,0.42540835876394567
unet,test_noise_ood,116,0,5,0.1,0.1972653865814209,0.42923638224601746,0.18124258518218994,0.2074449360370636,0.02917996048927307,0.030019287312922558,0.03891363274311743
unet,test_noise_ood,117,0,7,0.1,0.18919429183006287,0.37829887866973877,0.16705167293548584,0.22889059782028198,0.008958433754742146,0.0075102955575244825,0.03579448006107899
unet,test_noise_ood,118,1,5,0.1,0.3899895250797272,0.7056878805160522,0.25069451332092285,0.4194870591163635,0.14316880702972412,0.010156590430230202,0.15209182967191115
unet,test_noise_ood,119,1,7,0.1,0.22618339955806732,0.4225614070892334,0.17993338406085968,0.3420782685279846,0.09083253145217896,0.03825851468205663,0.05115893023564433
unet,test_noise_ood,120,0,5,0.1,0.18467938899993896,0.4108368456363678,0.21532964706420898,0.19705675542354584,0.01576707512140274,0.022809094149333114,0.03410647672139078
unet,test_noise_ood,121,0,7,0.1,0.219631627202034,0.41043174266815186,0.1862463355064392,0.2378789633512497,0.0983242318034172,0.09129760321318259,0.04823805166741324
unet,test_noise_ood,122,1,5,0.1,0.49017518758773804,0.7827047109603882,0.3100568950176239,0.5977451205253601,0.27876973152160645,0.05710771288374659,0.24027171452667417
unet,test_noise_ood,123,1,7,0.1,0.22713588178157806,0.44150543212890625,0.19052161276340485,0.3509769141674042,0.07429402321577072,0.008926316145341968,0.051590708792695006
unet,test_noise_ood,124,0,5,0.1,0.28296712040901184,0.49942710995674133,0.256379097700119,0.35094794631004333,0.038184743374586105,0.028656640941081075,0.0800703912325682
unet,test_noise_ood,125,0,7,0.1,0.27120232582092285,0.4435821771621704,0.23751291632652283,0.35300421714782715,0.06965386122465134,0.029843869246717114,0.073550701530678
unet,test_noise_ood,126,1,5,0.1,0.4507320523262024,0.6854113936424255,0.2723921835422516,0.5318825244903564,0.16989578306674957,0.05402911381028676,0.20315938299419045
unet,test_noise_ood,127,1,7,0.1,0.38454169034957886,0.6313506960868835,0.26089394092559814,0.5906828045845032,0.11090868711471558,0.05166540162940282,0.1478723116169114
unet,test_noise_ood,128,0,5,0.1,0.2213859260082245,0.4617612361907959,0.2299129217863083,0.2236131876707077,0.006240051239728928,0.03156474555556416,0.04901172823451905
unet,test_noise_ood,129,0,7,0.1,0.2185627967119217,0.4136132597923279,0.1915789246559143,0.3143447935581207,0.2345646470785141,0.07479798154353451,0.04776969610653681
unet,test_noise_ood,130,1,5,0.1,0.5228922367095947,0.8523251414299011,0.3585212528705597,0.5448502898216248,0.20319439470767975,0.0503489507882145,0.27341629121116284
unet,test_noise_ood,131,1,7,0.1,0.41018378734588623,0.7090211510658264,0.24943768978118896,0.5271522998809814,0.216253399848938,0.041853109634915855,0.16825073940141522
unet,test_joint_ood,132,0,3,0.1,0.48306944966316223,0.7290950417518616,0.4988780617713928,0.44090089201927185,0.10604098439216614,0.022502987244799134,0.23335609319787043
unet,test_joint_ood,133,1,3,0.1,0.613828182220459,0.9630212783813477,0.6803115010261536,0.570644199848175,0.24563366174697876,0.0632856071099138,0.376785037288073
unet,test_joint_ood,134,0,3,0.1,0.5421710014343262,0.7875480651855469,0.6270615458488464,0.49204355478286743,0.4301176369190216,0.06170141922214728,0.2939493947963001
unet,test_joint_ood,135,1,3,0.1,0.6372847557067871,0.8804146647453308,0.654634952545166,0.5514728426933289,0.2163981944322586,0.06608073260695235,0.4061318598562593
unet,test_joint_ood,136,0,3,0.1,0.4879894256591797,0.7274011373519897,0.5539134740829468,0.43089577555656433,0.0755048617720604,0.021361050610276214,0.23813367955517606
unet,test_joint_ood,137,1,3,0.1,0.6905471086502075,1.0074448585510254,0.6895594000816345,0.6814030408859253,0.15469574928283691,0.051283077529853276,0.4768553092651615
unet,test_joint_ood,138,0,3,0.1,0.5228618383407593,0.7527486681938171,0.6301048994064331,0.49017030000686646,0.3549867868423462,0.12630055931588827,0.2733845019930783
unet,test_joint_ood,139,1,3,0.1,0.7191662788391113,0.9564911127090454,0.7365482449531555,0.7053300738334656,0.27946212887763977,0.032425389043026644,0.5172001366192944
unet,test_joint_ood,140,0,3,0.1,0.514560878276825,0.7547687292098999,0.5452888011932373,0.49727025628089905,0.20228104293346405,0.11867269879741135,0.26477289745301746
unet,test_joint_ood,141,1,3,0.1,0.7215926647186279,0.9581601023674011,0.713080883026123,0.7169461846351624,0.3341236710548401,0.05979457583930403,0.5206959737757302
unet,test_joint_ood,142,0,3,0.1,0.4900686740875244,0.744938313961029,0.5366114974021912,0.442931592464447,0.33400189876556396,0.12853162098459905,0.24016730532190422
unet,test_joint_ood,143,1,3,0.1,0.6321905851364136,0.8963794708251953,0.6427186131477356,0.6221930980682373,0.18677885830402374,0.022277526165113044,0.399664935935121
unet,test_joint_ood,144,0,3,0.1,0.44431814551353455,0.6512699127197266,0.47613123059272766,0.39418935775756836,0.10115271806716919,0.08960192358917347,0.19741861443258646
unet,test_joint_ood,145,1,3,0.1,0.666427731513977,0.8915606141090393,0.691016435623169,0.6322653293609619,0.29890576004981995,0.036800546676457546,0.4441259213308655
unet,test_joint_ood,146,0,3,0.1,0.4953742027282715,0.7460988163948059,0.5899160504341125,0.4324577748775482,0.28160443902015686,0.101685493887478,0.24539560072867062
unet,test_joint_ood,147,1,3,0.1,0.6931912899017334,0.9438145756721497,0.654692530632019,0.6512519717216492,0.2838130593299866,0.029626616830124422,0.480514164395629
unet,test_family_ood,148,2,5,0.02,0.7099430561065674,0.9220121502876282,0.5757596492767334,0.7447136640548706,0.48805221915245056,0.04457593814525023,0.5040191429139327
unet,test_family_ood,149,2,5,0.05,0.7063573598861694,0.9256236553192139,0.5899349451065063,0.7445657849311829,0.32767578959465027,0.03769687816041136,0.4989407198653595
unet,test_family_ood,150,2,7,0.02,0.6710143685340881,0.8933689594268799,0.4786754846572876,0.7833254337310791,0.3262503147125244,0.02724911967850241,0.45026028277920105
unet,test_family_ood,151,2,7,0.05,0.6972943544387817,0.8974319696426392,0.5338653922080994,0.7771363258361816,0.19315281510353088,0.07160958562251994,0.4862194167321974
unet,test_family_ood,152,2,5,0.02,0.6878761053085327,0.9115234613418579,0.5624655485153198,0.7508750557899475,0.39312344789505005,0.023358620020759294,0.4731735362544356
unet,test_family_ood,153,2,5,0.05,0.7006245851516724,0.9255269169807434,0.6092414855957031,0.77045738697052,0.3681703507900238,0.028274545000067736,0.490874809318953
unet,test_family_ood,154,2,7,0.02,0.6064152121543884,0.8498131632804871,0.4479321837425232,0.7282746434211731,0.2936396598815918,0.028479240466356692,0.3677394095322519
