geometry_id,partition,source_index,sample_seed,source_split,family_id,noise_level,field_rel_l2,observed_reprojection_rel_l2,audit_reprojection_rel_l2
g_011010111,validation,192,30360853,val,1,0.02,0.42386871576309204,0.3147391215583352,0.6002774245226314
g_011010111,validation,193,30360854,val,1,0.05,0.31403103470802307,0.24014722818809064,0.3478335341900709
g_011010111,validation,194,30360855,val,1,0.02,0.41604161262512207,0.2780541831241405,0.5003987769655093
g_011010111,validation,195,30360856,val,1,0.05,0.30163243412971497,0.2708708536303263,0.3713591253961173
g_011010111,validation,196,30360857,val,0,0.02,0.3966171145439148,0.3752022000569322,0.38077872546511593
g_011010111,validation,197,30360858,val,0,0.05,0.29535335302352905,0.2695602386690549,0.25814697733138103
g_011010111,validation,198,30360859,val,0,0.02,0.3575652539730072,0.33084491806426325,0.3408029352543679
g_011010111,validation,199,30360860,val,0,0.05,0.37011367082595825,0.3476268316815458,0.3283108226945708
g_011011011,train,160,30360821,val,0,0.02,0.38011816143989563,0.3552993457551286,0.3661119063618835
g_011011011,train,161,30360822,val,0,0.05,0.44013720750808716,0.4120610721225056,0.4179790104192856
g_011011011,train,162,30360823,val,0,0.02,0.32677024602890015,0.2963361582408689,0.3125401811786752
g_011011011,train,163,30360824,val,0,0.05,0.32840389013290405,0.2988280562778575,0.33783847027021946
g_011011011,train,164,30360825,val,0,0.02,0.3399668037891388,0.3108636260471767,0.29811678191476887
g_011011011,train,165,30360826,val,0,0.05,0.37517938017845154,0.345411321867049,0.34434527292846645
g_011011011,train,166,30360827,val,1,0.02,0.3069186210632324,0.20874843771937668,0.4244988863852349
g_011011011,train,167,30360828,val,1,0.05,0.3845825493335724,0.27854428852113994,0.5612379741157192
g_011011011,train,168,30360829,val,1,0.02,0.33034953474998474,0.22901286051929176,0.4733765674346273
g_011011011,train,169,30360830,val,1,0.05,0.3646302819252014,0.25993232531603294,0.4205766751061191
g_011011011,train,170,30360831,val,1,0.02,0.36531519889831543,0.281968018070439,0.5242739433627678
g_011011011,train,171,30360832,val,1,0.05,0.3826158046722412,0.26604956785018047,0.4629684974869443
g_011011011,train,172,30360833,val,0,0.02,0.4016730785369873,0.3707394322398932,0.4349369896323466
g_011011011,train,173,30360834,val,0,0.05,0.45168301463127136,0.41908922663850245,0.4595285256488206
g_011011011,train,174,30360835,val,0,0.02,0.3408930003643036,0.30927660073105817,0.29858423172096543
g_011011011,train,175,30360836,val,0,0.05,0.39940518140792847,0.3714053843445259,0.3849629247153552
