method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_geometry,FNO + fixed Landweber,test_iid,32,4,0.14017404056936875,0.10009385047812877,0.23931721027036465,0.21173327082924995,0.026297362322866856,0.027439703640433744,0.1903158133262502,0.0,0.0
fno_quadratic,FNO + quadratic step,test_iid,32,4,0.13800853707108235,0.0991095644147395,0.23530342007896707,0.20581142363760652,0.025480324580994126,0.026856615817073968,0.19435511140535341,0.0,0.0
fno_pbb_strict,FNO + projected BB (strict),test_iid,32,4,0.14017404056936877,0.10009385047812877,0.23931721027036462,0.21173327082924998,0.02629736232286686,0.027439703640433747,0.19031581332625025,0.0,0.0
fno_pbb_wide,FNO + projected BB (wide),test_iid,32,4,0.13275580632994283,0.10042892636758437,0.21794474164871971,0.18361626522225316,0.023758979235021828,0.02611752198160907,0.21053822015738394,0.0,0.0
feasible_ridge,Ridge + hard support,test_iid,32,4,0.3565504794085936,0.3518651441072379,0.4314085406277312,0.4472103333129093,0.2844712170839149,0.28313946164451576,0.0,0.0,0.0
ridge_geometry,Ridge + fixed Landweber,test_iid,32,4,0.13976549575057778,0.09785428346968252,0.2406806817672768,0.21456013684953645,0.02612007974953867,0.02731381341866498,0.439214463753261,0.0,0.0
ridge_quadratic,Ridge + quadratic step,test_iid,32,4,0.1374653025126299,0.09717925727992173,0.23589438292144504,0.20807067539147722,0.02531506598036389,0.026751720910998103,0.4427257731910129,0.0,0.0
ridge_pbb_strict,Ridge + projected BB (strict),test_iid,32,4,0.13976549575057778,0.09785428346968252,0.2406806817672768,0.21456013684953645,0.02612007974953867,0.02731381341866498,0.439214463753261,0.0,0.0
ridge_pbb_wide,Ridge + projected BB (wide),test_iid,32,4,0.1328001621089066,0.10146217312826841,0.22036717363271474,0.18675293957751513,0.02374775978812486,0.026119637829578733,0.4552635561121281,0.0,0.0
feasible_fno,FNO + hard support,test_joint_ood,32,4,0.5955741837879216,0.5925259052491009,0.6478047383513648,0.7572278486937778,0.29309545615224275,0.2856538567638133,0.0,0.0,0.0
