experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t,gate_alpha_mean,gate_alpha_seed_std,gate_alpha_seed_ci95_t
quality_channel_residual,test_iid,3,43387.0,5.977927985678737,0.25017396273712317,0.04600292213235248,0.11427759371969069,0.41072084580858553,0.05640202859958086,0.14011040626343946,0.19853185998896758,0.02077414401241785,0.0516058345705795,0.2912966211636861,0.05766612343046757,0.1432505919040738,0.14438451768752808,0.04801954092869261,0.11928715252190378,0.03971908000258081,0.014330080826406279,0.035597894193306175,1.0,0.0,0.0
quality_channel_residual,test_view_ood,3,43387.0,5.977927985678737,0.5425598273674647,0.10067212580083847,0.25008342422393626,0.7338485370079676,0.05775239332358208,0.14346489819894823,0.5470637691517671,0.060972913369473095,0.151465113496394,0.5292213621238867,0.039922124341375105,0.09917205460959572,0.07895432394191933,0.007630565747159895,0.018955376134510232,0.03662342633370527,0.007640972546745283,0.018981228057818923,1.0,0.0,0.0
quality_channel_residual,test_noise_ood,3,43387.0,5.977927985678737,0.277372851036489,0.047050308124007324,0.11687944476031953,0.4699206557124853,0.061490540385008945,0.15275097028630738,0.22511613741517067,0.019044695951547837,0.047309647422058815,0.3281371671085556,0.06935033608549204,0.17227578519253056,0.10784682171652094,0.027058738699220052,0.0672176332351306,0.04475915313721541,0.003873551449452074,0.009622435233989049,1.0,0.0,0.0
quality_channel_residual,test_joint_ood,3,43387.0,5.977927985678737,0.5475577047715584,0.11611401721261333,0.2884432090206797,0.7428383640944958,0.07531801272570988,0.1871003157860272,0.5451703853905201,0.09932563162372167,0.24673854725990815,0.532667176797986,0.04346552476862088,0.10797434923874917,0.08513442918289608,0.0333465071541469,0.0828373159767685,0.0669187384352627,0.012471611454987616,0.03098120034163214,1.0,0.0,0.0
quality_channel_residual,test_family_ood,3,43387.0,5.977927985678737,0.6929396688938141,0.04191347182734562,0.10411883599669428,0.8979593137900034,0.034071150237409434,0.08463742918745999,0.534068675339222,0.0365505315098136,0.09079655370804669,0.7208737333615621,0.09990251514682812,0.2481716053749443,0.0956789495035385,0.05185011135273869,0.1288028169697921,0.029223379759886814,0.004576130382137673,0.011367738056154642,1.0,0.0,0.0
residual_reference,test_iid,3,43363.0,5.91011440268873,0.21868020594120027,0.01143188955565791,0.028398387961774536,0.3731652167936166,0.011780681719393173,0.029264835729272298,0.18387655032177766,0.0095025449690397,0.023605630315194893,0.25071698588629565,0.008300827244019418,0.020620397995593197,0.11169822853989901,0.02015825935224395,0.05007589226015298,0.03222033749035449,0.003315254194073052,0.008235547967535317,1.0,0.0,0.0
residual_reference,test_view_ood,3,43363.0,5.91011440268873,0.4875575502713521,0.010305079945241631,0.025599237714576766,0.7117438490192095,0.025019299593841908,0.0621513856426424,0.5233559496700764,0.03854210212347971,0.09574388937506842,0.520401610682408,0.009216168223869703,0.022894231042749787,0.21400795046550533,0.057716931767840984,0.14337680681101445,0.03930443558699916,0.009372095453133574,0.023281575753252914,1.0,0.0,0.0
residual_reference,test_noise_ood,3,43363.0,5.91011440268873,0.2523017536538343,0.01090569943043027,0.027091259228145925,0.4332299390807748,0.009616286653695478,0.023888180323446324,0.20573671689877907,0.010949299396408483,0.027199567547863443,0.2915616291575134,0.01041212998935353,0.025865164766199666,0.09029709878571641,0.016110788109714527,0.040021416309360666,0.039162156960640904,0.014533522766154147,0.03610327198798549,1.0,0.0,0.0
residual_reference,test_joint_ood,3,43363.0,5.91011440268873,0.4921716811756293,0.019349834221047538,0.04806765290462126,0.7084221467375755,0.024320057986388047,0.06041437319594135,0.5058419605096182,0.04212573565099467,0.10464612856586121,0.5205253567546606,0.01124345767506927,0.02793029722110826,0.2586232411946791,0.10677367851994032,0.2652405214336899,0.06346508247255704,0.005585565875800513,0.013875314833541813,1.0,0.0,0.0
residual_reference,test_family_ood,3,43363.0,5.91011440268873,0.6665663023789724,0.011139515526331169,0.02767209060958758,0.8784648835659027,0.00974160819100297,0.02419949628036639,0.5100818951924643,0.010377552450506847,0.025779269397971108,0.6726578205823898,0.0213023798357624,0.052918045100047176,0.18872468986858926,0.04168740094803178,0.1035572447998622,0.027524462978945927,0.0027588135962277036,0.006853272894078787,1.0,0.0,0.0
