experiment,label,seed,split,input_variant,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,gate_alpha_mean,gate_alpha_std,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
learned_metadata_gate,Learned metadata gate,20260711,test_noise_ood,base,43396,30,30,0.250053059309721,5.967473542084917,0.5536754727363586,0.018654409795999527,0.24625249905511737,0.4281648900359869,0.21049310080707073,0.2917827172204852,0.0705853373510763,0.025088257547350876
learned_metadata_gate,Learned metadata gate,20260711,test_joint_ood,base,43396,30,30,0.250053059309721,5.967473542084917,0.6091195344924927,0.0,0.48740773275494576,0.6970063038170338,0.47810915671288967,0.5257363207638264,0.37905777618288994,0.06440290713599123
learned_metadata_gate,Learned metadata gate,20260711,test_family_ood,base,43396,30,30,0.250053059309721,5.967473542084917,0.6509097814559937,0.02971293218433857,0.6555785238742828,0.8695849269628525,0.5007115244865418,0.6512313514947892,0.128162262076512,0.02411289134999654
learned_metadata_gate,Learned metadata gate,20260712,test_iid,base,43396,30,30,0.26709120720624924,5.99370645894669,0.7748175263404846,0.021093033254146576,0.23202022835612296,0.38491230756044387,0.19409373365342616,0.263494111225009,0.13132947944104673,0.03256091113973451
learned_metadata_gate,Learned metadata gate,20260712,test_view_ood,base,43396,30,30,0.26709120720624924,5.99370645894669,0.8007543087005615,0.01836354285478592,0.4785550143569708,0.6800524033606052,0.5039002858102322,0.505904033780098,0.17769304080866277,0.036865709903789526
learned_metadata_gate,Learned metadata gate,20260712,test_noise_ood,base,43396,30,30,0.26709120720624924,5.99370645894669,0.6849162578582764,0.009804937057197094,0.27911714743822813,0.4461916359141469,0.2320891059935093,0.32012591790407896,0.08764840268122498,0.03570839124830031
learned_metadata_gate,Learned metadata gate,20260712,test_joint_ood,base,43396,30,30,0.26709120720624924,5.99370645894669,0.7131863832473755,0.0,0.45347117818892,0.6529277823865414,0.41956452652812004,0.5084578171372414,0.11482031433843076,0.06269917423274954
learned_metadata_gate,Learned metadata gate,20260712,test_family_ood,base,43396,30,30,0.26709120720624924,5.99370645894669,0.7748175263404846,0.021093033254146576,0.6762214243412018,0.8875768542289734,0.5175092160701752,0.6927033454179764,0.19678807482123375,0.025111843083061254
quality_channel_residual,Residual FNO + observed residual,20260710,test_iid,observable_quality,43387,30,30,0.3370779752731323,6.010338749969378,1.0,0.0,0.30325834900140763,0.4758285090327263,0.22222148329019548,0.35749794766306875,0.19956574141979216,0.055882889894392905
quality_channel_residual,Residual FNO + observed residual,20260710,test_view_ood,observable_quality,43387,30,30,0.3370779752731323,6.010338749969378,1.0,0.0,0.6586938165128231,0.7988517582416534,0.6163462586700916,0.5752555597573519,0.08750062383478507,0.03769152019824282
quality_channel_residual,Residual FNO + observed residual,20260710,test_noise_ood,observable_quality,43387,30,30,0.3370779752731323,6.010338749969378,1.0,0.0,0.3316886965185404,0.5407185032963753,0.24710623733699322,0.40736049972474575,0.13809832150582224,0.049064807004034934
quality_channel_residual,Residual FNO + observed residual,20260710,test_joint_ood,observable_quality,43387,30,30,0.3370779752731323,6.010338749969378,1.0,0.0,0.6814324669539928,0.8284592591226101,0.6542959995567799,0.5826906971633434,0.09471923357341439,0.0668555650280716
quality_channel_residual,Residual FNO + observed residual,20260710,test_family_ood,observable_quality,43387,30,30,0.3370779752731323,6.010338749969378,1.0,0.0,0.7412374019622803,0.9370406150817872,0.5762377798557281,0.8358994096517562,0.1507444754242897,0.025978931650872616
quality_channel_residual,Residual FNO + observed residual,20260711,test_iid,observable_quality,43387,30,30,0.26331334188580513,5.921884916024283,1.0,0.0,0.22530652210116386,0.3767767004668713,0.189952989295125,0.2519975654780865,0.12150036112871021,0.03470306054497256
quality_channel_residual,Residual FNO + observed residual,20260711,test_view_ood,observable_quality,43387,30,30,0.26331334188580513,5.921884916024283,1.0,0.0,0.48007136955857277,0.6884521655738354,0.5015759281814098,0.5041029546409845,0.07282480597496033,0.02850460233928642
