challenger,baseline,split,seed_count,field_rel_l2_delta_mean,field_rel_l2_delta_seed_std,field_rel_l2_delta_ci95_t,field_rel_l2_better_seed_fraction,gradient_rel_l2_delta_mean,gradient_rel_l2_delta_seed_std,gradient_rel_l2_delta_ci95_t,gradient_rel_l2_better_seed_fraction,observed_reprojection_rel_l2_delta_mean,observed_reprojection_rel_l2_delta_seed_std,observed_reprojection_rel_l2_delta_ci95_t,observed_reprojection_rel_l2_better_seed_fraction,heldout_reprojection_rel_l2_delta_mean,heldout_reprojection_rel_l2_delta_seed_std,heldout_reprojection_rel_l2_delta_ci95_t,heldout_reprojection_rel_l2_better_seed_fraction,mass_relative_error_delta_mean,mass_relative_error_delta_seed_std,mass_relative_error_delta_ci95_t,mass_relative_error_better_seed_fraction,centroid_error_delta_mean,centroid_error_delta_seed_std,centroid_error_delta_ci95_t,centroid_error_better_seed_fraction
learned_metadata_gate,residual_reference,test_iid,3,0.0007743070522944114,0.0009227197854833346,0.0022921630164973263,0.3333333333333333,-0.0016454664369424294,0.00169394398251908,0.004207990128568188,0.6666666666666666,-0.0010814550022284302,0.0022488591035177644,0.005586475707461518,0.6666666666666666,0.002320474758744251,0.0009928569857114646,0.0024663934805806077,0.0,0.004587259481195358,0.0012525895832219344,0.003111605021027236,0.0,-0.003037532855085144,0.0001454891136324094,0.0003614149938233972,1.0
learned_metadata_gate,residual_reference,test_view_ood,3,0.002156297986706098,0.0037621781622246774,0.009345768651105873,0.3333333333333333,-0.0037418355544408164,0.0023462596292481985,0.005828432026572798,1.0,0.015576261406143507,0.009689235538308324,0.024069395398743216,0.0,-0.009902749210596085,0.004017646453455191,0.009980387067508006,1.0,0.028171451296657324,0.024487300118571163,0.060829825683490955,0.0,-0.0017362858478077333,0.003678815994377643,0.009138685546223794,0.3333333333333333
learned_metadata_gate,residual_reference,test_noise_ood,3,0.01080196164548397,0.005608236249398494,0.013931631163536028,0.0,0.00023320472488800684,0.004443968241175833,0.011039429097725675,0.3333333333333333,0.01284560343871514,0.0017135372940332194,0.004256662612598534,0.0,0.011584473308175802,0.0049430905079797215,0.01227931754346752,0.0,-0.011833792576605143,0.01806273889030805,0.044870330854913536,0.6666666666666666,-0.011869043262357474,0.0070271519657486015,0.017456413204316564,1.0
learned_metadata_gate,residual_reference,test_joint_ood,3,-0.022200180838505428,0.012065192210231494,0.029971598968952372,1.0,-0.02914242073893547,0.007065210116419616,0.017550954891637906,1.0,-0.050187148774663605,0.023687671967407273,0.05884343923780754,1.0,-0.005295634890596072,0.00335117130527517,0.008324771017969627,1.0,-0.04800854343920946,0.039560740959301434,0.09827432852178662,1.0,-0.004137230974785767,0.002177743360174539,0.005409814407523454,1.0
learned_metadata_gate,residual_reference,test_family_ood,3,-0.0019034256537755108,0.0025064679119091737,0.006226411463265682,0.6666666666666666,-0.0021507551272709944,0.0027276124621707504,0.006775764980318531,0.6666666666666666,-0.001309126615524292,0.0019583776275664787,0.004864879718486033,0.6666666666666666,-0.0007659296194712321,0.0034390072368786803,0.00854296756811263,0.3333333333333333,-0.0262682860561957,0.020558766189674685,0.05107080639882853,1.0,-0.0013887140313828597,0.00012059128318039723,0.0002995653542567881,1.0
learned_observable_gate,residual_reference,test_iid,3,0.026070249825716024,0.047145536621047084,0.11711600546104929,0.3333333333333333,0.032542621344327914,0.05862052522349933,0.14562145739030613,0.3333333333333333,0.012309584269920987,0.0274389139101587,0.06816204081369594,0.3333333333333333,0.03360980103413266,0.05679827486371797,0.14109473655132265,0.3333333333333333,0.022899687786897018,0.03852616995336188,0.09570431167044871,0.3333333333333333,0.006361999343500426,0.014639301410852231,0.03636604070837784,0.3333333333333333
learned_observable_gate,residual_reference,test_view_ood,3,0.01777705115576585,0.04718748630881199,0.11722021426242225,0.6666666666666666,-0.018667555103699367,0.006527029930397359,0.016214041195823214,1.0,-0.0635713692754507,0.07493635941593957,0.18615223640641243,0.6666666666666666,0.0064462025960286455,0.04000155989380785,0.09936938346104762,0.3333333333333333,-0.11609683669909525,0.09632536088520961,0.23928546157290936,1.0,0.002014533541676818,0.016519521785032385,0.04103676704628008,0.3333333333333333
learned_observable_gate,residual_reference,test_noise_ood,3,0.02294827826942007,0.043240186805839034,0.1074145787075138,0.3333333333333333,0.027713921231528122,0.05644482178290675,0.14021671042394518,0.3333333333333333,0.02039085716630022,0.02321390021712486,0.05766652496616903,0.3333333333333333,0.03920319816097617,0.07098919862891741,0.17634694544102855,0.3333333333333333,-0.006398753808753099,0.03311417630683839,0.08226017415736651,0.6666666666666666,0.0014467044061981724,0.024743206407969176,0.06146553214765865,0.3333333333333333
learned_observable_gate,residual_reference,test_joint_ood,3,0.003060863042871157,0.05234434815261212,0.1300305692428925,0.6666666666666666,-0.02811926230788231,0.006887219363657748,0.01710880135035932,1.0,-0.09685700759291649,0.0701569833695855,0.17427960813102808,1.0,0.006013007834553719,0.04198661544740168,0.10430053482164947,0.6666666666666666,-0.15813159317379663,0.1369010344617088,0.3400810224839623,1.0,0.0029763688774180203,0.013085970087936105,0.03250735179027886,0.3333333333333333
learned_observable_gate,residual_reference,test_family_ood,3,0.02576847970485685,0.03641844989763112,0.09046844479419541,0.3333333333333333,0.012814942995707216,0.03459320058673673,0.08593427414765636,0.3333333333333333,0.026398834586143487,0.01998990380367865,0.0496576738929795,0.0,0.04656357765197753,0.0840690158055723,0.2088390125523567,0.3333333333333333,-0.11091704105492682,0.032690214245056096,0.0812069940113417,1.0,0.0056081436805763595,0.006375814846956675,0.015838402104462735,0.0
