replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,whitened_data_objective,objective_unit,objective_scale_to_physical,physical_equivalent_whitened_objective,trajectory_elapsed_seconds,source
0,0,plume,view_block_a_only_pdhg,16,16,16,0.998305082321167,0.9982587695121765,0.4829268157482147,0.4933968782424927,normalized_b0_per_sample,1261817.0874317754,622576.6118518724,0.1446131250122562,gate_b_production_factor_pipeline
0,0,plume,view_block_a_only_pdhg,32,32,32,0.9945276975631714,0.9944066405296326,0.4853658676147461,0.4788496196269989,normalized_b0_per_sample,1261817.0874317754,604220.6323555532,0.1446131250122562,gate_b_production_factor_pipeline
0,0,plume,voxel_factor_a_only_pdhg,4,4,4,0.9994691610336304,0.9994334578514099,0.20243901014328003,0.49807921051979065,normalized_b0_per_sample,1261817.0874317754,628484.8587284003,0.14592183398781344,gate_b_production_factor_pipeline
0,0,plume,voxel_factor_a_only_pdhg,8,8,8,0.9981921315193176,0.9980832934379578,0.20243901014328003,0.493444561958313,normalized_b0_per_sample,1261817.0874317754,622636.7799792867,0.14592183398781344,gate_b_production_factor_pipeline
0,0,plume,voxel_factor_a_only_pdhg,16,16,16,0.9939144849777222,0.9936993718147278,0.19756096601486206,0.47779735922813416,normalized_b0_per_sample,1261817.0874317754,602892.872203838,0.14592183398781344,gate_b_production_factor_pipeline
0,0,plume,voxel_factor_a_only_pdhg,32,32,32,0.981432318687439,0.9823020696640015,0.1926829218864441,0.4310542047023773,normalized_b0_per_sample,1261817.0874317754,543911.5611027741,0.14592183398781344,gate_b_production_factor_pipeline
0,1,wavy_front,scalar_a_only_pdhg,4,4,4,0.9998730421066284,0.9998220205307007,0.28780487179756165,0.4994155764579773,normalized_b0_per_sample,342923.3079822734,171261.24153684356,0.13936162501340732,gate_b_production_factor_pipeline
0,1,wavy_front,scalar_a_only_pdhg,8,8,8,0.9995772242546082,0.9994073510169983,0.28780487179756165,0.4980548918247223,normalized_b0_per_sample,342923.3079822734,170794.6310612871,0.13936162501340732,gate_b_production_factor_pipeline
0,1,wavy_front,scalar_a_only_pdhg,16,16,16,0.9986215829849243,0.9980716109275818,0.28780487179756165,0.49367451667785645,normalized_b0_per_sample,342923.3079822734,169292.49832572055,0.13936162501340732,gate_b_production_factor_pipeline
0,1,wavy_front,scalar_a_only_pdhg,32,32,32,0.9958905577659607,0.9942846894264221,0.29024389386177063,0.4812852442264557,normalized_b0_per_sample,342923.3079822734,165043.92803319253,0.13936162501340732,gate_b_production_factor_pipeline
0,1,wavy_front,view_block_a_only_pdhg,4,4,4,0.9998428821563721,0.9997787475585938,0.2926829159259796,0.49928951263427734,normalized_b0_per_sample,342923.3079822734,171218.01131340346,0.14253670803736895,gate_b_production_factor_pipeline
0,1,wavy_front,view_block_a_only_pdhg,8,8,8,0.9994876980781555,0.9992793202400208,0.29024389386177063,0.4976806640625,normalized_b0_per_sample,342923.3079822734,170666.29963912704,0.14253670803736895,gate_b_production_factor_pipeline
0,1,wavy_front,view_block_a_only_pdhg,16,16,16,0.9983878135681152,0.9977388381958008,0.28780487179756165,0.49270057678222656,normalized_b0_per_sample,342923.3079822734,168958.51163493522,0.14253670803736895,gate_b_production_factor_pipeline
0,1,wavy_front,view_block_a_only_pdhg,32,32,32,0.9954285621643066,0.9936347007751465,0.28780487179756165,0.4793875515460968,normalized_b0_per_sample,342923.3079822734,164393.1649817101,0.14253670803736895,gate_b_production_factor_pipeline
0,1,wavy_front,voxel_factor_a_only_pdhg,4,4,4,0.9996189475059509,0.9993473887443542,0.10487804561853409,0.49776262044906616,normalized_b0_per_sample,342923.3079822734,170694.40439431858,0.14045687502948567,gate_b_production_factor_pipeline
0,1,wavy_front,voxel_factor_a_only_pdhg,8,8,8,0.9987717270851135,0.9979132413864136,0.10000000894069672,0.4927230775356293,normalized_b0_per_sample,342923.3079822734,168966.22766772416,0.14045687502948567,gate_b_production_factor_pipeline
0,1,wavy_front,voxel_factor_a_only_pdhg,16,16,16,0.9962620735168457,0.9938275814056396,0.09756096452474594,0.47734686732292175,normalized_b0_per_sample,342923.3079822734,163693.3667973517,0.14045687502948567,gate_b_production_factor_pipeline
0,1,wavy_front,voxel_factor_a_only_pdhg,32,32,32,0.9902821183204651,0.985407292842865,0.1024390235543251,0.4379405975341797,normalized_b0_per_sample,342923.3079822734,150180.03840615434,0.14045687502948567,gate_b_production_factor_pipeline
0,2,thin_front,scalar_a_only_pdhg,4,4,4,0.9998887181282043,0.9999005198478699,0.31463414430618286,0.49957793951034546,normalized_b0_per_sample,1181041.7239192799,590022.3909113401,0.13501929200720042,gate_b_production_factor_pipeline
0,2,thin_front,scalar_a_only_pdhg,8,8,8,0.9996150135993958,0.9996559619903564,0.31463414430618286,0.49854129552841187,normalized_b0_per_sample,1181041.7239192799,588798.0711158267,0.13501929200720042,gate_b_production_factor_pipeline
0,2,thin_front,scalar_a_only_pdhg,16,16,16,0.9986550807952881,0.998799741268158,0.31463414430618286,0.4949166774749756,normalized_b0_per_sample,1181041.7239192799,584517.2459614474,0.13501929200720042,gate_b_production_factor_pipeline
0,2,thin_front,scalar_a_only_pdhg,32,32,32,0.9955069422721863,0.9960111975669861,0.31463414430618286,0.48316219449043274,normalized_b0_per_sample,1181041.7239192799,570634.7111136031,0.13501929200720042,gate_b_production_factor_pipeline
0,2,thin_front,view_block_a_only_pdhg,4,4,4,0.9998582601547241,0.999870240688324,0.32926830649375916,0.49948325753211975,normalized_b0_per_sample,1181041.7239192799,589910.5675445524,0.24325837497599423,gate_b_production_factor_pipeline
