base_seed,trial,amplitude_multiplier,noise_multiplier,replicate_count,numerical_success_count,numerical_failure_count,one_step_q_relative_l2_median,one_step_q_relative_l2_p90,one_step_q_relative_l2_max,iterative_q_relative_l2_median,iterative_q_relative_l2_p90,iterative_q_relative_l2_max,paired_q_improvement_fraction,median_q_reduction_fraction,one_step_field_relative_l2_median,iterative_field_relative_l2_median,one_step_sequence_relative_l2_median,iterative_sequence_relative_l2_median,objective_monotone_fraction_all,trust_hit_fraction_all,one_step_boundary_hit_fraction,iterative_local_boundary_hit_fraction,one_step_wall_seconds_median,iterative_wall_seconds_median
811,2,2.0,0.015625,16,16,0,0.06524750862630026,0.1082058389413326,0.14856885894616242,0.06166743413907202,0.11999281123186317,0.13442007195818784,0.5625,0.0548691369617317,0.026215130738753825,0.026970606041550278,0.016191548716924048,0.01660044565680735,1.0,1.0,0.0,0.0,0.00703070848248899,0.044984833511989564
907,0,0.5,0.0078125,16,16,0,0.13510906700973777,0.2698393514006324,0.5554520233783549,0.15537218122783703,0.2886124029749622,0.4899620440983742,0.5,-0.14997597619883518,0.016282032705318777,0.016183904674033713,0.010526143138840512,0.01039188621295043,1.0,0.625,0.0,0.0,0.007086146040819585,0.0362044585053809
907,0,0.5,0.015625,16,16,0,0.23688959286090994,0.5234096908564154,0.6200777468296637,0.24216757590489674,0.5430252096259796,0.7077504053662877,0.4375,-0.022280350015569387,0.03255969565604121,0.032062053955544935,0.020795883379233687,0.020563964995557522,1.0,0.75,0.0,0.0,0.007045042002573609,0.036069645546376705
907,0,1.0,0.0078125,16,16,0,0.08376836415638281,0.1308689121061984,0.1527745448550526,0.10912266617432907,0.1557075049209199,0.16630922162979694,0.25,-0.3026715666861255,0.015591024357341662,0.016306287136610552,0.010111984441307946,0.010588148165246973,1.0,1.0,0.0,0.0,0.007165791525039822,0.0382926250458695
907,0,1.0,0.015625,16,16,0,0.14892659045834145,0.30304801292663675,0.3660898008655937,0.14022448945551896,0.30017132395538665,0.3449764955432538,0.6875,0.05843215087406893,0.033038589757083514,0.03311204569711226,0.02109593080813204,0.02112116629847194,1.0,1.0,0.0,0.0,0.006904291512910277,0.045681499934289604
907,0,2.0,0.0078125,16,16,0,0.05097528781404724,0.08815982746521435,0.1155950743584668,0.04318824735763873,0.08485131613355529,0.09060235921726427,0.625,0.15276108856540166,0.01758636603741645,0.017729546457397105,0.01131264449852504,0.011460469206153283,1.0,1.0,0.0,0.0,0.007036833500023931,0.05372852104483172
907,0,2.0,0.015625,16,16,0,0.12212001572534854,0.15852843948189427,0.16874202042637898,0.11110673256026907,0.1574028874497832,0.15897557291733552,0.6875,0.0901840955363834,0.02770675762501364,0.028218892421983305,0.017955704755117236,0.018236485130561163,1.0,1.0,0.0,0.0,0.006973291514441371,0.054493853996973485
907,1,0.5,0.0078125,16,16,0,0.15292986853592977,0.275158949342309,0.30114161863286243,0.16783956306822684,0.24830226110897707,0.3674924944697692,0.375,-0.09749367259015294,0.017944432605504594,0.018236624604328778,0.011562533097370813,0.011662658467457808,1.0,0.3125,0.0,0.0,0.007082479016389698,0.03624360449612141
907,1,0.5,0.015625,16,16,0,0.2664633178982313,0.5230140742399565,0.7348636021507948,0.27960957569532324,0.4671411541136107,0.6924543586696682,0.4375,-0.04933608836212425,0.031001265239765746,0.031207368600870262,0.01996456382972642,0.02010246773948445,1.0,0.5625,0.0,0.0,0.007023937476333231,0.036258374981116503
907,1,1.0,0.0078125,16,16,0,0.1170675396805208,0.19349400732918348,0.22106246630834192,0.11297456953900767,0.17028808845573862,0.2225031186255862,0.625,0.03496246826988008,0.014531546607090152,0.01526080368339806,0.009536309154131017,0.010050429265659265,1.0,1.0,0.0,0.0,0.007147812459152192,0.04661977099021897
907,1,1.0,0.015625,16,16,0,0.18979176521207583,0.26966688346480444,0.32609759665492466,0.14330175348737384,0.29137205815640665,0.3845316234326829,0.4375,0.24495273371188384,0.03006315810790283,0.03008735333633176,0.01942125588296839,0.01986904794318281,1.0,1.0,0.0,0.0,0.007008791493717581,0.04600404150551185
907,1,2.0,0.0078125,16,16,0,0.08629413067333624,0.11565008098444299,0.13328393386366472,0.03637361091894657,0.05768130002173292,0.06684945383914384,1.0,0.5784926432987922,0.019823386539929294,0.01619722345503388,0.012985332554009205,0.010073356844300024,1.0,1.0,0.0,0.0,0.007037812494672835,0.05492181301815435
907,1,2.0,0.015625,16,16,0,0.0982323929193176,0.15459258488324779,0.22596194349665297,0.08074163615253552,0.13885609683550237,0.15464132320468868,0.5625,0.17805487830422673,0.031390845650372506,0.03069446810003504,0.020474465390847667,0.019626587941932505,1.0,1.0,0.0,0.0,0.007023624435532838,0.05402422900078818
907,2,0.5,0.0078125,16,16,0,0.1417661124212703,0.21562858377531643,0.26248640356565384,0.17866577059426791,0.2550885043452359,0.28609823957583885,0.3125,-0.260285462744066,0.014870230705588211,0.014747068000465225,0.009384205179235959,0.009587448196434655,1.0,0.75,0.0,0.0,0.007027979067061096,0.03660283295903355
907,2,0.5,0.015625,16,16,0,0.2980489992856765,0.49890178372405003,0.6117779862794624,0.3046705937869969,0.5278549513906816,0.619634583152982,0.5,-0.022216462786958265,0.02952534120851464,0.029572301947785762,0.01913921010680861,0.019136540691586632,1.0,0.75,0.0,0.0,0.007311000081244856,0.036762708507012576
907,2,1.0,0.0078125,16,16,0,0.08409766822911638,0.14419331085683607,0.19596219835956827,0.06453342446114536,0.10982059472166772,0.1468077196167395,0.5625,0.2326371727057881,0.014472521762756776,0.015276373870657275,0.009423273984043322,0.009944335514031106,1.0,1.0,0.0,0.0,0.006919687031768262,0.046326791460160166
