method,base_seed,trial,amplitude_multiplier,q_true_norm,noise_multiplier,replicate_count,valid_count,numerical_failure_count,coverage_count,coverage_fraction,coverage_cp95_lower,coverage_cp95_upper,coverage_cell_passed,qref_error_mean,qref_error_median,qref_error_p90,qref_error_p95,qref_error_max,relative_l2_median,relative_l2_p90,bias_norm_over_qref,nis_pass_fraction_diagnostic,authorization_fraction,false_accept_fraction_all,authorized_qref_error_p90,field_relative_l2_median,sequence_relative_l2_median,bias_yaw,bias_pitch,bias_roll,bias_shift_u,bias_shift_v
one_step_plugin,709,0,1.0,0.04,1.0,500,500,0,469,0.938,0.9131474025208987,0.9574889387036145,True,8.077630156663268,7.475916540984945,12.725538097150391,14.635609865790572,22.534502365558758,7.475916540984945,12.725538097150391,0.5144929099090042,0.99,0.0,0.0,,2.319200367135596,1.4820417761031148,-0.0019660552912987087,0.006191139050312738,-0.017792311257832462,-0.008046303310340668,0.00014076202710111216
teacher_linear,709,0,2.0,0.08,0.0078125,500,500,0,478,0.956,0.9341389996764051,0.9722232327144282,True,0.0651357390804442,0.06207939112598426,0.10239711910065515,0.11560085118391056,0.18960919625347938,0.03103969556299213,0.05119855955032757,0.004536282449972287,0.996,0.996,0.0,0.10249329745851753,,,-3.42004495959454e-05,-7.2095614384593e-06,0.0001670278825844987,6.077765709714897e-05,-1.0520829525426621e-05
one_step_plugin,709,0,2.0,0.08,0.0078125,500,500,0,424,0.848,0.8134830183357472,0.8783336561186245,False,0.07424520206728073,0.07115221375296205,0.11469168226563269,0.12854835886723817,0.2002484663822138,0.03557610687648102,0.05734584113281634,0.03803201850232281,0.992,0.992,0.0,0.11501196297883268,0.19505266546086744,0.1283968442585047,-0.00021979631951402762,-0.0008879756798379698,-0.001065041819499818,0.0005678329398198477,0.00014399838642876854
teacher_linear,709,0,2.0,0.08,0.015625,500,500,0,474,0.948,0.9247336289693778,0.9657543019172321,True,0.12870119270822744,0.11870134635392968,0.2038170387027299,0.24157265764515634,0.42021129420815284,0.05935067317696484,0.10190851935136495,0.004413880014564941,0.99,0.0,0.0,,,,4.444584022225695e-05,-3.632438477410571e-06,0.0001650581718662808,4.4003439240922204e-05,1.6151673407098152e-06
one_step_plugin,709,0,2.0,0.08,0.015625,500,500,0,467,0.934,0.9085571013891337,0.9541366428894122,True,0.13406716050874445,0.1249987241149828,0.2117455850034764,0.2405323743483503,0.44169280278031264,0.0624993620574914,0.1058727925017382,0.03796099570370674,0.988,0.0,0.0,,0.19809414226536126,0.13048368580035408,-0.00013825643791480838,-0.0008826369155243083,-0.001088388192162823,0.0005465696602757371,0.00015546541114472377
teacher_linear,709,0,2.0,0.08,0.03125,500,500,0,477,0.954,0.9317745721187621,0.9706198246075972,True,0.26954755786029183,0.24604212746329518,0.43329472867471086,0.5040248355977269,0.742398745744963,0.12302106373164759,0.21664736433735543,0.012761440948049586,0.996,0.0,0.0,,,,0.0001336049779611416,1.7557276429318314e-05,0.0004864367380126994,-7.56795580376321e-05,-7.768939958014212e-06
one_step_plugin,709,0,2.0,0.08,0.03125,500,500,0,473,0.946,0.9224025315050628,0.9641157402780663,True,0.27285361715221634,0.246691172271273,0.4293862857921746,0.523831609615668,0.7547284586024856,0.1233455861356365,0.2146931428960873,0.03062229916457284,0.996,0.0,0.0,,0.20685564988165683,0.13620750106892515,-6.060002137441012e-05,-0.0008449465942252724,-0.0007398083979941669,0.00046289235417795727,0.00014549028426937873
teacher_linear,709,0,2.0,0.08,0.0625,500,500,0,472,0.944,0.9200786993956399,0.9624695555249778,True,0.5341641696598669,0.48860866625030375,0.8569153546315614,0.9562861628832886,1.5370037307079445,0.24430433312515187,0.4284576773157807,0.022904250074386744,0.998,0.0,0.0,,,,0.0003447565038857403,0.00025785150048903555,0.0007891834125266436,-0.00016979233673725808,-4.8817362220933413e-05
one_step_plugin,709,0,2.0,0.08,0.0625,500,500,0,470,0.94,0.9154514462923999,0.9591558182372231,True,0.5360473230627772,0.4875812873242881,0.8504053680266528,0.9576287806517947,1.4753199015849126,0.24379064366214406,0.4252026840133264,0.02060195904709972,0.998,0.0,0.0,,0.24177556079764245,0.15731887904122013,0.00012792709710076136,-0.0005653214622252309,-0.0004328487365961725,0.00038195714326755975,9.950960071410022e-05
teacher_linear,709,0,2.0,0.08,1.0,500,500,0,471,0.942,0.9177617791061647,0.9608161312028122,True,8.445259687613696,7.732540029541921,14.363039858588818,15.995581179521805,25.4117031421793,3.8662700147709606,7.181519929294409,0.3377204528617775,0.988,0.0,0.0,,,,0.005568532503127277,0.0036844627812192554,0.010175722616899141,-0.005819635806879997,0.0007006103942243129
one_step_plugin,709,0,2.0,0.08,1.0,500,500,0,476,0.952,0.9294192037426702,0.9690068312064947,True,7.803387337431292,7.3548175286668105,13.127986117712375,14.621935669258077,23.6442903925024,3.6774087643334052,6.5639930588561874,0.5794744117812348,0.988,0.0,0.0,,2.353244109357643,1.4982220038981708,-0.002149410612840087,0.015420786224938393,0.01682198307040033,0.0033062808420916863,-0.0009662965638332112
teacher_linear,709,1,0.0,0.0,0.0078125,500,500,0,476,0.952,0.9294192037426702,0.9690068312064947,True,0.064850863913271,0.06076696713875626,0.10055078005113414,0.11614921097976556,0.20527492631380118,,,0.003716371455697617,0.986,0.006,0.0,0.15008088773661274,,,7.892537614343257e-05,2.734752343219498e-05,-0.00011483428907665102,-4.388369847699209e-05,2.9106524598891626e-06
one_step_plugin,709,1,0.0,0.0,0.0078125,500,500,0,476,0.952,0.9294192037426702,0.9690068312064947,True,0.06484993248753555,0.06082888944128635,0.10035745005116295,0.11633264423089842,0.20528857316291477,,,0.003713202323657901,0.986,0.006,0.0,0.1503988760856286,0.020303717839392187,0.013026579569418648,7.881823613613677e-05,2.7431065536754973e-05,-0.00011471434799741474,-4.390901815117369e-05,2.9039935784817973e-06
