feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
16,17,0,1,1,0.0007293811509101718
16,18,1,-1,-1,0.0006312877669241363
16,19,1,-1,0,0.0001235350844016106
16,20,1,-1,1,0.0005021585989633842
16,21,1,0,-1,-0.00029327324611372747
16,22,1,0,0,-0.0029906287393914794
16,23,1,0,1,0.0001290604408761074
16,24,1,1,-1,-0.0005930746215690463
16,25,1,1,0,-0.00015209429780115255
16,26,1,1,1,-0.000966211761312966
17,0,-1,-1,-1,-0.0013817867302894893
17,1,-1,-1,0,0.00046676366665572024
17,2,-1,-1,1,-0.0026401287389535896
17,3,-1,0,-1,0.0011372392742580177
17,4,-1,0,0,-0.0014266574485250765
17,5,-1,0,1,0.002367669032941312
17,6,-1,1,-1,0.003114994985910266
17,7,-1,1,0,-9.480736982852612e-05
17,8,-1,1,1,0.0022732172086015923
17,9,0,-1,-1,0.00751731639334868
17,10,0,-1,0,-0.003949330792426214
17,11,0,-1,1,0.0024599083121502165
17,12,0,0,-1,-0.0038241893865573417
17,13,0,0,0,-0.00762739701043985
17,14,0,0,1,0.0015809616955930114
17,15,0,1,-1,0.012281462399910091
17,16,0,1,0,-0.010520150919396148
17,17,0,1,1,0.005672249157846937
17,18,1,-1,-1,-0.0020842314438910318
17,19,1,-1,0,-4.420437068379563e-05
17,20,1,-1,1,-0.002427445851861676
17,21,1,0,-1,0.0014497573809067559
