case_id,phantom_family,phantom_seed,dimensionless_stress_multiplier,refractivity_scale,method_id,ray_count,step_count,correction_applied,all_primary_gates_pass,matched_residual_prediction_relative_l2,corrected_residual_variance_ratio,per_ray_risk_spearman,valid_ray_fraction,candidate_to_high_reference_relative_l2,high_execution_to_high_reference_relative_l2,candidate_reference_error_to_high_execution_reference_error_ratio,candidate_q95_reference_error,high_execution_q95_reference_error,candidate_q95_reference_error_to_high_execution_q95_ratio,candidate_q95_reference_error_normalized_by_high256_rms,base_output_relative_l2,matched_residual_gate_met,residual_variance_gate_met,risk_spearman_gate_met,valid_fraction_gate_met,absolute_reference_gate_met,reference_no_harm_gate_met,q95_reference_no_harm_gate_met,base_output_consistency_gate_met
wrinkled_wide_aperture,wrinkled_density_interface,2718,10.0,0.0029999999999999996,picard_2,64,128,True,False,0.00029340034990919757,4.0359103892241685e-07,0.9999084249084248,1.0,0.0002722498663362739,0.0002731392939197978,0.9967436849866609,6.937676720931388e-07,6.952399715828668e-07,0.9978823146684502,0.0007225896681682053,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,1.0,0.0003,continuous_affine_n1,64,128,True,False,0.051406583209147726,0.002951413135278123,0.9931776556776557,1.0,0.0009532972681884562,0.000951848106931771,1.0015224711234196,1.979003694549291e-07,1.9720455474777495e-07,1.0035283906502266,0.001882745964187862,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,1.0,0.0003,operator_consistent_homotopy,64,128,True,True,0.0008707567365710735,4.5039747066705765e-07,0.9999542124542123,1.0,0.0009518727855369466,0.000951848106931771,1.0000259270412957,1.97211918778038e-07,1.9720455474777495e-07,1.0000373420901585,0.00187619631631692,1.2278140069520827e-16,True,True,True,True,True,True,True,True
smooth_wide_aperture,smooth_plume,1729,1.0,0.0003,picard_1,64,128,True,False,0.0004694942684882825,1.9811345047270226e-07,0.9999999999999998,1.0,0.0009519410894109968,0.000951848106931771,1.0000976862574487,1.9722155028917077e-07,1.9720455474777495e-07,1.0000861822964362,0.0018762879467103559,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,1.0,0.0003,picard_2,64,128,True,False,0.000427606725567777,1.739094626099966e-07,0.9999999999999998,1.0,0.0009519409215400861,0.000951848106931771,1.0000975098943194,1.9722175852310596e-07,1.9720455474777495e-07,1.0000872382250654,0.0018762899277657836,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,3.0,0.0009,continuous_affine_n1,64,128,True,False,0.05144400712107832,0.0029507078429920636,0.9938186813186812,1.0,0.0009523155513985152,0.0009471473008522784,1.0054566491839085,5.94332884850525e-07,5.907591399276868e-07,1.0060494111411897,0.0018843501475187072,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,3.0,0.0009,operator_consistent_homotopy,64,128,True,True,0.0025497574612565626,3.6934796163759675e-06,0.9997710622710622,1.0,0.0009473810507710164,0.0009471473008522784,1.0002467936281163,5.907999506986966e-07,5.907591399276868e-07,1.0000690819121558,0.0018731488743604062,1.0385034254544929e-16,True,True,True,True,True,True,True,True
smooth_wide_aperture,smooth_plume,1729,3.0,0.0009,picard_1,64,128,True,False,0.0006726659370629162,3.4326091947557614e-07,0.9998168498168497,1.0,0.0009474266304463605,0.0009471473008522784,1.0002949167398045,5.909173590589505e-07,5.907591399276868e-07,1.000267823416635,0.0018735211210702952,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,3.0,0.0009,picard_2,64,128,True,False,0.00042846205327011933,1.748071614287558e-07,0.9999084249084248,1.0,0.0009474250310076795,0.0009471473008522784,1.000293228049271,5.90920133697406e-07,5.907591399276868e-07,1.0002725201504945,0.0018735299181443191,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,10.0,0.0029999999999999996,continuous_affine_n1,64,128,True,False,0.05196136008680052,0.0029575495075880825,0.9929945054945054,1.0,0.00095697619333348,0.0009300117086415029,1.0289937045323494,1.9830700056646545e-06,1.962893613590402e-06,1.0102789025011636,0.001884831952535004,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,10.0,0.0029999999999999996,operator_consistent_homotopy,64,128,True,True,0.008474029755831553,4.077264595900154e-05,0.9986721611721611,1.0,0.0009327727037427245,0.0009300117086415029,1.0029687745601124,1.9639414903185876e-06,1.962893613590402e-06,1.0005338428536983,0.0018666510326351344,1.214000204568629e-16,True,True,True,True,True,True,True,True
smooth_wide_aperture,smooth_plume,1729,10.0,0.0029999999999999996,picard_1,64,128,True,False,0.0017091774596397962,1.8773788098992793e-06,0.9999999999999998,1.0,0.0009309554076970996,0.0009300117086415029,1.0010147173920803,1.9645826346050544e-06,1.962893613590402e-06,1.0008604750675014,0.001867260415679538,,,,,,,,,
smooth_wide_aperture,smooth_plume,1729,10.0,0.0029999999999999996,picard_2,64,128,True,False,0.00043166984854782936,1.7810264811755643e-07,0.9999999999999998,1.0,0.0009309287799071424,0.0009300117086415029,1.000986085720339,1.964676659046706e-06,1.962893613590402e-06,1.0009083760036501,0.0018673497823037308,,,,,,,,,
