source_split,method,source_seed,field_relative_l2,forward_calls,adjoint_calls
layout_ood,prewhitened_pg4,20762007,0.775445818901062,4,4
layout_ood,prewhitened_pg4,20762008,0.7886371612548828,4,4
layout_ood,prewhitened_pg4,20762009,0.7333783507347107,4,4
layout_ood,prewhitened_pg4,20762010,0.7429506778717041,4,4
layout_ood,prewhitened_pg4,20762011,0.6840261816978455,4,4
layout_ood,prewhitened_pg4,20762012,0.8504253029823303,4,4
layout_ood,prewhitened_pg4,20762013,0.750717282295227,4,4
layout_ood,prewhitened_pg4,20762014,0.674595296382904,4,4
layout_ood,prewhitened_pg4,20762015,0.7398476600646973,4,4
layout_ood,prewhitened_pg4,20762016,0.8882348537445068,4,4
layout_ood,prewhitened_pg4,20762017,0.8320414423942566,4,4
layout_ood,prewhitened_pg4,20762018,0.805761456489563,4,4
layout_ood,prewhitened_pg4,20762019,0.7334650158882141,4,4
layout_ood,prewhitened_pg4,20762020,0.8363658785820007,4,4
layout_ood,prewhitened_pg4,20762021,0.7602423429489136,4,4
layout_ood,prewhitened_pg4,20762022,0.7466732263565063,4,4
layout_ood,prewhitened_pg4,20762023,0.7919060587882996,4,4
layout_ood,prewhitened_pg4,20762024,0.7764284014701843,4,4
layout_ood,prewhitened_pg4,20762025,0.8248267769813538,4,4
layout_ood,prewhitened_pg4,20762026,0.6443556547164917,4,4
layout_ood,prewhitened_pg4,20762027,0.8269277215003967,4,4
layout_ood,prewhitened_pg4,20762028,0.7570551037788391,4,4
layout_ood,prewhitened_pg4,20762029,0.8481972813606262,4,4
layout_ood,prewhitened_pg4,20762030,0.7621874213218689,4,4
layout_ood,prewhitened_pg4,20762031,0.825663149356842,4,4
layout_ood,prewhitened_pg4,20762032,0.7372779250144958,4,4
layout_ood,cg_unrolled4,20762001,0.1956287920475006,4,4
layout_ood,cg_unrolled4,20762002,0.6995338201522827,4,4
layout_ood,cg_unrolled4,20762003,0.4768834412097931,4,4
layout_ood,cg_unrolled4,20762004,0.17281785607337952,4,4
layout_ood,cg_unrolled4,20762005,0.3475256562232971,4,4
layout_ood,cg_unrolled4,20762006,0.1740337312221527,4,4
layout_ood,cg_unrolled4,20762007,0.2588210105895996,4,4
layout_ood,cg_unrolled4,20762008,0.35940083861351013,4,4
layout_ood,cg_unrolled4,20762009,0.15402983129024506,4,4
layout_ood,cg_unrolled4,20762010,0.38724246621131897,4,4
layout_ood,cg_unrolled4,20762011,0.17506597936153412,4,4
layout_ood,cg_unrolled4,20762012,0.5830860137939453,4,4
layout_ood,cg_unrolled4,20762013,0.20406264066696167,4,4
layout_ood,cg_unrolled4,20762014,0.2905051112174988,4,4
layout_ood,cg_unrolled4,20762015,0.22230952978134155,4,4
layout_ood,cg_unrolled4,20762016,0.5788730382919312,4,4
layout_ood,cg_unrolled4,20762017,0.294192373752594,4,4
layout_ood,cg_unrolled4,20762018,0.34526529908180237,4,4
layout_ood,cg_unrolled4,20762019,0.4143942892551422,4,4
layout_ood,cg_unrolled4,20762020,0.5157629251480103,4,4
layout_ood,cg_unrolled4,20762021,0.3069137930870056,4,4
layout_ood,cg_unrolled4,20762022,0.21965621411800385,4,4
layout_ood,cg_unrolled4,20762023,0.3845871686935425,4,4
layout_ood,cg_unrolled4,20762024,0.3054676353931427,4,4
