field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-a:pulsed_toroidal_plume:13,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.010505601727205494,-0.0022098027042956048,0.06310607336383434
fresh-budget-rig-a:pulsed_toroidal_plume:14,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.0001820736360118591,0.014683581021328718,0.001428563546147621
fresh-budget-rig-a:pulsed_toroidal_plume:15,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.004899840382458942,0.0184204478218688,0.06297235703673787
fresh-budget-rig-a:pulsed_toroidal_plume:16,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.021607484604813765,-0.017935182706602104,0.0623663971329127
fresh-budget-rig-a:pulsed_toroidal_plume:17,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.00044870840748290064,0.0471409888072748,0.04087550728959677
fresh-budget-rig-a:pulsed_toroidal_plume:18,fresh-budget-rig-a,pulsed_toroidal_plume,3,-0.015067128326015311,-0.06627469195455826,0.030911116532743366
fresh-budget-rig-a:pulsed_toroidal_plume:19,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.01790104856200181,0.006576794867431679,0.0551171413530821
fresh-budget-rig-b:triple_jet_merger:0,fresh-budget-rig-b,triple_jet_merger,2,-0.022829179045570802,-0.037203296530700536,-0.06712397044796581
fresh-budget-rig-b:triple_jet_merger:1,fresh-budget-rig-b,triple_jet_merger,2,-0.004101005833163196,0.006187511330830953,-0.014806479016346907
fresh-budget-rig-b:triple_jet_merger:2,fresh-budget-rig-b,triple_jet_merger,2,-0.017870111490565943,0.0035708312270080755,-0.02848906670983342
fresh-budget-rig-b:triple_jet_merger:3,fresh-budget-rig-b,triple_jet_merger,2,0.0025123355023305427,0.02644104453115137,-0.033888566365680495
fresh-budget-rig-b:triple_jet_merger:4,fresh-budget-rig-b,triple_jet_merger,2,-0.03276263209857766,-0.012995456950851025,-0.09860559779198419
fresh-budget-rig-b:triple_jet_merger:5,fresh-budget-rig-b,triple_jet_merger,2,-0.006140309854592685,0.00017646025196815796,-0.029668318860128995
fresh-budget-rig-b:triple_jet_merger:6,fresh-budget-rig-b,triple_jet_merger,2,-0.009484391753505239,-0.014874956921495874,-0.020262001533696283
fresh-budget-rig-b:triple_jet_merger:7,fresh-budget-rig-b,triple_jet_merger,2,-0.002220974405367615,-0.017355925187846788,0.0068374911445229225
fresh-budget-rig-b:triple_jet_merger:8,fresh-budget-rig-b,triple_jet_merger,2,-0.01280712197615097,-0.0013679812326312657,-0.07959330012706056
fresh-budget-rig-b:triple_jet_merger:9,fresh-budget-rig-b,triple_jet_merger,2,-0.003154663533032398,-0.012276003676543912,0.0025891444679921882
fresh-budget-rig-b:triple_jet_merger:10,fresh-budget-rig-b,triple_jet_merger,2,-0.0025042235935761603,0.008290529344910813,-0.0007079669786160814
fresh-budget-rig-b:triple_jet_merger:11,fresh-budget-rig-b,triple_jet_merger,2,0.0010882390030656497,0.02648723719711832,0.017369991954949038
fresh-budget-rig-b:triple_jet_merger:12,fresh-budget-rig-b,triple_jet_merger,2,-0.009281659328475245,0.054857203125826315,-0.003928213700923333
fresh-budget-rig-b:triple_jet_merger:13,fresh-budget-rig-b,triple_jet_merger,2,-0.012863895540568882,-0.01575975372745586,-0.02780418274929941
fresh-budget-rig-b:triple_jet_merger:14,fresh-budget-rig-b,triple_jet_merger,2,-0.00046494310379596726,0.008066549707036796,-0.0064665092158240345
fresh-budget-rig-b:triple_jet_merger:15,fresh-budget-rig-b,triple_jet_merger,2,-0.015579120276494551,-0.041242949700901255,-0.042216589875347044
fresh-budget-rig-b:triple_jet_merger:16,fresh-budget-rig-b,triple_jet_merger,2,-0.053195553147134644,-0.03589121166659037,-0.057846060732221316
fresh-budget-rig-b:triple_jet_merger:17,fresh-budget-rig-b,triple_jet_merger,2,-0.004340160164826523,0.025595957166849925,0.0019351881982162533
fresh-budget-rig-b:triple_jet_merger:18,fresh-budget-rig-b,triple_jet_merger,2,-0.01774722949403129,-0.01469567177847364,-0.009630944002544828
fresh-budget-rig-b:triple_jet_merger:19,fresh-budget-rig-b,triple_jet_merger,2,-0.004680973526368426,0.033554726916868005,-0.009819662494394699
fresh-budget-rig-b:tilted_flame_brush:0,fresh-budget-rig-b,tilted_flame_brush,2,0.024380197109790558,0.030122409960196994,0.03768973113464158
fresh-budget-rig-b:tilted_flame_brush:1,fresh-budget-rig-b,tilted_flame_brush,2,0.015824768180820348,0.06626948770227092,0.05986283271024573
fresh-budget-rig-b:tilted_flame_brush:2,fresh-budget-rig-b,tilted_flame_brush,2,0.011695000157543989,0.018237888454694318,0.023980941835192504
fresh-budget-rig-b:tilted_flame_brush:3,fresh-budget-rig-b,tilted_flame_brush,2,-0.0026909116660762677,0.030355953859167784,-0.00832873698743164
fresh-budget-rig-b:tilted_flame_brush:4,fresh-budget-rig-b,tilted_flame_brush,2,-0.002600017385663289,0.07200345223868876,0.06202761837323567
