cell_id,geometry,family,dynamics,noise_level,view_count,seed,mode,selected_rank,oracle_rank,selected_regret_pct,full_rank_regret_pct,rank3_regret_pct,prediction_std,vote_entropy,rank_vote_count,rank_votes,prediction_margin,inverse_margin,predicted_risk,prediction_std_percentile,vote_entropy_percentile,inverse_margin_percentile,predicted_risk_percentile,combined_uncertainty
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260732,jittered,jet_filaments,smooth,0.28,7,20260732,no_holdout,5,5,0.0,4.605321585407399,0.7076328271755026,0.003933542056512018,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0025611544267545444,-0.0025611544267545444,-0.033535904180524136,0.6898954703832753,0.39547038327526135,0.554006968641115,0.18466898954703834,0.45601045296167253
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260732,jittered,jet_filaments,smooth,0.28,7,20260732,with_holdout,5,5,0.0,4.605321585407399,0.7076328271755026,0.004594219141588409,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0028930033074918426,-0.0028930033074918426,-0.0306372164459085,0.8222996515679443,0.3832752613240418,0.47735191637630664,0.20209059233449478,0.47125435540069693
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260733,jittered,jet_filaments,smooth,0.28,7,20260733,no_holdout,5,5,0.0,4.3309649327982465,0.6890120700921267,0.003993333056316786,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.004650248758821186,-0.004650248758821186,-0.033639493606432515,0.7003484320557491,0.39547038327526135,0.28222996515679444,0.18118466898954705,0.38980836236933797
g-jittered_f-jet_filaments_d-smooth_v-7_n-0.28_s-20260733,jittered,jet_filaments,smooth,0.28,7,20260733,with_holdout,5,5,0.0,4.3309649327982465,0.6890120700921267,0.004660306281257973,-6.213901715968123e-13,1,"[5,5,5,5,5]",0.0049377732613334925,-0.0049377732613334925,-0.03088304658864428,0.8292682926829268,0.3832752613240418,0.23693379790940766,0.1951219512195122,0.41114982578397213
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260730,jittered,jet_filaments,transient,0.0,5,20260730,no_holdout,18,18,0.0,0.0,1.2252439224563485,0.003015051947989843,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002238224438867715,-0.002238224438867715,-0.004405404621021768,0.4686411149825784,0.39547038327526135,0.5940766550522648,0.789198606271777,0.5618466898954704
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260730,jittered,jet_filaments,transient,0.0,5,20260730,with_holdout,18,18,0.0,0.0,1.2252439224563485,0.002628539058464681,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002174235433208007,-0.002174235433208007,-0.00017229198341317306,0.4094076655052265,0.3832752613240418,0.5836236933797909,0.8484320557491289,0.5561846689895471
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260731,jittered,jet_filaments,transient,0.0,5,20260731,no_holdout,18,18,0.0,0.0,1.2252439224563485,0.003015051947989843,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002238224438867715,-0.002238224438867715,-0.004405404621021768,0.4686411149825784,0.39547038327526135,0.5940766550522648,0.789198606271777,0.5618466898954704
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260731,jittered,jet_filaments,transient,0.0,5,20260731,with_holdout,18,18,0.0,0.0,1.2252439224563485,0.002628539058464681,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002174235433208007,-0.002174235433208007,-0.00017229198341317306,0.4094076655052265,0.3832752613240418,0.5836236933797909,0.8484320557491289,0.5561846689895471
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260732,jittered,jet_filaments,transient,0.0,5,20260732,no_holdout,18,18,0.0,0.0,1.2252439224563485,0.003015051947989843,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002238224438867715,-0.002238224438867715,-0.004405404621021768,0.4686411149825784,0.39547038327526135,0.5940766550522648,0.789198606271777,0.5618466898954704
g-jittered_f-jet_filaments_d-transient_v-5_n-0.00_s-20260732,jittered,jet_filaments,transient,0.0,5,20260732,with_holdout,18,18,0.0,0.0,1.2252439224563485,0.002628539058464681,-6.213901715968123e-13,1,"[18,18,18,18,18]",0.002174235433208007,-0.002174235433208007,-0.00017229198341317306,0.4094076655052265,0.3832752613240418,0.5836236933797909,0.8484320557491289,0.5561846689895471
