training_arm,method,model_seed,epoch,learning_rate,train_total_loss,validation_field_cluster_rel_l2
m4_counterfactual,geometry_only,20261401,23,1.70370868554659e-05,0.001887646151953959,0.2337194079067558
m4_counterfactual,geometry_only,20261401,24,4.277569313094809e-06,0.0018865950951294508,0.23376348461024463
m4_counterfactual,shuffled_pairing,20261401,1,0.001,0.0021393826624262146,0.24903442156501115
m4_counterfactual,shuffled_pairing,20261401,2,0.0009957224306869053,0.0020890477957436816,0.2477123445831239
m4_counterfactual,shuffled_pairing,20261401,3,0.0009829629131445341,0.0020613816632248927,0.24566647205501796
m4_counterfactual,shuffled_pairing,20261401,4,0.0009619397662556433,0.002026657763781259,0.2429759014863521
m4_counterfactual,shuffled_pairing,20261401,5,0.0009330127018922194,0.0019836641957226677,0.24000053196214138
m4_counterfactual,shuffled_pairing,20261401,6,0.0008966766701456175,0.0019478088528558147,0.2386899772565812
m4_counterfactual,shuffled_pairing,20261401,7,0.0008535533905932737,0.0019244728187914006,0.23604725203476845
m4_counterfactual,shuffled_pairing,20261401,8,0.0008043807145043603,0.0019014395824342501,0.23535975450649857
m4_counterfactual,shuffled_pairing,20261401,9,0.00075,0.0018929605837911367,0.2343208715785295
m4_counterfactual,shuffled_pairing,20261401,10,0.000691341716182545,0.0018864175035560038,0.23393883937969803
m4_counterfactual,shuffled_pairing,20261401,11,0.0006294095225512604,0.0018857411916542333,0.23343618018552661
m4_counterfactual,shuffled_pairing,20261401,12,0.000565263096110026,0.0018765250832075253,0.2333337891381234
m4_counterfactual,shuffled_pairing,20261401,13,0.0005,0.0018727351387497037,0.23314621886238457
m4_counterfactual,shuffled_pairing,20261401,14,0.00043473690388997423,0.0018707204795646248,0.23282745354808868
m4_counterfactual,shuffled_pairing,20261401,15,0.0003705904774487397,0.0018682168149098289,0.23232064642943442
m4_counterfactual,shuffled_pairing,20261401,16,0.0003086582838174552,0.001863821691222256,0.23264370406977833
m4_counterfactual,shuffled_pairing,20261401,17,0.0002500000000000001,0.0018614107691973913,0.23228821442462505
m4_counterfactual,shuffled_pairing,20261401,18,0.00019561928549563967,0.001860512647544965,0.23210889999754727
