training_arm,method,model_seed,source_split,pair_index,source_index,sample_seed,geometry_id,geometry_partition,family_id,noise_level,field_rel_l2,audit_reprojection_rel_l2
m1_repeat,locked_fno,20261401,val,98,182,30360843,g_111001110,validation,1,0.02,0.4352605640888214,0.5604389309883118
m1_repeat,locked_fno,20261401,val,99,182,30360843,g_111010110,validation,1,0.02,0.4558221995830536,0.4919551908969879
m1_repeat,locked_fno,20261401,val,100,181,30360842,g_011010111,validation,1,0.05,0.4228067398071289,0.6444002389907837
m1_repeat,locked_fno,20261401,val,101,181,30360842,g_101011110,validation,1,0.05,0.2906429171562195,0.5265277624130249
m1_repeat,locked_fno,20261401,val,102,181,30360842,g_111001110,validation,1,0.05,0.39904794096946716,0.6099976301193237
m1_repeat,locked_fno,20261401,val,103,181,30360842,g_111010110,validation,1,0.05,0.4308369755744934,0.6560370326042175
m1_repeat,locked_fno,20261401,val,104,188,30360849,g_011010111,validation,0,0.02,0.18751701712608337,0.17580421268939972
m1_repeat,locked_fno,20261401,val,105,188,30360849,g_101011110,validation,0,0.02,0.12175922095775604,0.07991985976696014
m1_repeat,locked_fno,20261401,val,106,188,30360849,g_111001110,validation,0,0.02,0.2010752111673355,0.3269833028316498
m1_repeat,locked_fno,20261401,val,107,188,30360849,g_111010110,validation,0,0.02,0.16388343274593353,0.14097318053245544
m1_repeat,locked_fno,20261401,val,108,194,30360855,g_011010111,validation,1,0.02,0.3745124638080597,0.4803629517555237
m1_repeat,locked_fno,20261401,val,109,194,30360855,g_101011110,validation,1,0.02,0.2535196840763092,0.4841168522834778
m1_repeat,locked_fno,20261401,val,110,194,30360855,g_111001110,validation,1,0.02,0.41485199332237244,0.6784491539001465
m1_repeat,locked_fno,20261401,val,111,194,30360855,g_111010110,validation,1,0.02,0.3765849471092224,0.48666468262672424
m1_repeat,locked_fno,20261401,val,112,163,30360824,g_011010111,validation,0,0.05,0.20192594826221466,0.2325621098279953
m1_repeat,locked_fno,20261401,val,113,163,30360824,g_101011110,validation,0,0.05,0.1825556457042694,0.245149627327919
m1_repeat,locked_fno,20261401,val,114,163,30360824,g_111001110,validation,0,0.05,0.23481421172618866,0.3705967664718628
m1_repeat,locked_fno,20261401,val,115,163,30360824,g_111010110,validation,0,0.05,0.2070113867521286,0.1917283982038498
m1_repeat,locked_fno,20261401,val,116,192,30360853,g_011010111,validation,1,0.02,0.35791847109794617,0.5146502256393433
m1_repeat,locked_fno,20261401,val,117,192,30360853,g_101011110,validation,1,0.02,0.18600501120090485,0.3120962381362915
m1_repeat,locked_fno,20261401,val,118,192,30360853,g_111001110,validation,1,0.02,0.2761118710041046,0.4589824974536896
m1_repeat,locked_fno,20261401,val,119,192,30360853,g_111010110,validation,1,0.02,0.36615055799484253,0.5445790886878967
m1_repeat,locked_fno,20261401,val,120,187,30360848,g_011010111,validation,0,0.05,0.19555485248565674,0.1567169725894928
m1_repeat,locked_fno,20261401,val,121,187,30360848,g_101011110,validation,0,0.05,0.13487941026687622,0.10521672666072845
m1_repeat,locked_fno,20261401,val,122,187,30360848,g_111001110,validation,0,0.05,0.17523176968097687,0.20803944766521454
m1_repeat,locked_fno,20261401,val,123,187,30360848,g_111010110,validation,0,0.05,0.16040843725204468,0.12220355868339539
m1_repeat,locked_fno,20261401,val,124,161,30360822,g_011010111,validation,0,0.05,0.2835940420627594,0.26540929079055786
m1_repeat,locked_fno,20261401,val,125,161,30360822,g_101011110,validation,0,0.05,0.2213369607925415,0.13240377604961395
m1_repeat,locked_fno,20261401,val,126,161,30360822,g_111001110,validation,0,0.05,0.2319767028093338,0.22534531354904175
m1_repeat,locked_fno,20261401,val,127,161,30360822,g_111010110,validation,0,0.05,0.23911209404468536,0.21142101287841797
m1_repeat,locked_fno,20261401,val,128,191,30360852,g_011010111,validation,1,0.05,0.4002525806427002,0.5775620341300964
m1_repeat,locked_fno,20261401,val,129,191,30360852,g_101011110,validation,1,0.05,0.32089170813560486,0.5465922355651855
m1_repeat,locked_fno,20261401,val,130,191,30360852,g_111001110,validation,1,0.05,0.46308887004852295,0.6366696357727051
m1_repeat,locked_fno,20261401,val,131,191,30360852,g_111010110,validation,1,0.05,0.40220940113067627,0.583946168422699
m1_repeat,locked_fno,20261401,val,132,195,30360856,g_011010111,validation,1,0.05,0.20578832924365997,0.24742133915424347
m1_repeat,locked_fno,20261401,val,133,195,30360856,g_101011110,validation,1,0.05,0.1450643688440323,0.22765497863292694
m1_repeat,locked_fno,20261401,val,134,195,30360856,g_111001110,validation,1,0.05,0.4400276243686676,0.6558220982551575
m1_repeat,locked_fno,20261401,val,135,195,30360856,g_111010110,validation,1,0.05,0.2055933028459549,0.23731893301010132
m1_repeat,locked_fno,20261401,val,136,172,30360833,g_011010111,validation,0,0.02,0.22720648348331451,0.24908041954040527
m1_repeat,locked_fno,20261401,val,137,172,30360833,g_101011110,validation,0,0.02,0.19840671122074127,0.262958824634552
m1_repeat,locked_fno,20261401,val,138,172,30360833,g_111001110,validation,0,0.02,0.21027608215808868,0.31076332926750183
m1_repeat,locked_fno,20261401,val,139,172,30360833,g_111010110,validation,0,0.02,0.21334347128868103,0.21304263174533844
m1_repeat,locked_fno,20261401,val,140,179,30360840,g_011010111,validation,1,0.05,0.2445986419916153,0.37990787625312805
m1_repeat,locked_fno,20261401,val,141,179,30360840,g_101011110,validation,1,0.05,0.21492670476436615,0.3633951246738434
m1_repeat,locked_fno,20261401,val,142,179,30360840,g_111001110,validation,1,0.05,0.5023230314254761,0.7000726461410522
m1_repeat,locked_fno,20261401,val,143,179,30360840,g_111010110,validation,1,0.05,0.23787792026996613,0.36864230036735535
m1_repeat,locked_fno,20261401,val,144,162,30360823,g_011010111,validation,0,0.02,0.15438546240329742,0.1426912248134613
m1_repeat,locked_fno,20261401,val,145,162,30360823,g_101011110,validation,0,0.02,0.1021743044257164,0.06551256775856018
m1_repeat,locked_fno,20261401,val,146,162,30360823,g_111001110,validation,0,0.02,0.1949702352285385,0.3490055501461029
m1_repeat,locked_fno,20261401,val,147,162,30360823,g_111010110,validation,0,0.02,0.13790805637836456,0.10989002138376236
m1_repeat,locked_fno,20261401,val,148,198,30360859,g_011010111,validation,0,0.02,0.18845735490322113,0.17472583055496216
m1_repeat,locked_fno,20261401,val,149,198,30360859,g_101011110,validation,0,0.02,0.14841920137405396,0.10797760635614395
m1_repeat,locked_fno,20261401,val,150,198,30360859,g_111001110,validation,0,0.02,0.1799694299697876,0.255799263715744
m1_repeat,locked_fno,20261401,val,151,198,30360859,g_111010110,validation,0,0.02,0.161111980676651,0.13124793767929077
m1_repeat,locked_fno,20261401,val,152,189,30360850,g_011010111,validation,0,0.05,0.19742797315120697,0.20981520414352417
m1_repeat,locked_fno,20261401,val,153,189,30360850,g_101011110,validation,0,0.05,0.13833282887935638,0.10685931146144867
m1_repeat,locked_fno,20261401,val,154,189,30360850,g_111001110,validation,0,0.05,0.18197010457515717,0.2871812582015991
m1_repeat,locked_fno,20261401,val,155,189,30360850,g_111010110,validation,0,0.05,0.16400885581970215,0.1651037186384201
m1_repeat,locked_fno,20261401,val,156,184,30360845,g_011010111,validation,0,0.02,0.19014489650726318,0.20625251531600952
m1_repeat,locked_fno,20261401,val,157,184,30360845,g_101011110,validation,0,0.02,0.1271514743566513,0.10561040043830872
m1_repeat,locked_fno,20261401,val,158,184,30360845,g_111001110,validation,0,0.02,0.2102063149213791,0.34752511978149414
m1_repeat,locked_fno,20261401,val,159,184,30360845,g_111010110,validation,0,0.02,0.1644299477338791,0.174059197306633
m1_repeat,static,20261401,val,0,180,30360841,g_011010111,validation,1,0.02,0.39911726117134094,0.6025587320327759
m1_repeat,static,20261401,val,1,180,30360841,g_101011110,validation,1,0.02,0.3284316658973694,0.5603641867637634
m1_repeat,static,20261401,val,2,180,30360841,g_111001110,validation,1,0.02,0.5343942046165466,0.7217434048652649
m1_repeat,static,20261401,val,3,180,30360841,g_111010110,validation,1,0.02,0.4027246832847595,0.6013010144233704
m1_repeat,static,20261401,val,4,171,30360832,g_011010111,validation,1,0.05,0.377939373254776,0.4168354570865631
m1_repeat,static,20261401,val,5,171,30360832,g_101011110,validation,1,0.05,0.21291983127593994,0.3168899416923523
m1_repeat,static,20261401,val,6,171,30360832,g_111001110,validation,1,0.05,0.3171195685863495,0.516082227230072
m1_repeat,static,20261401,val,7,171,30360832,g_111010110,validation,1,0.05,0.38300082087516785,0.4237944185733795
m1_repeat,static,20261401,val,8,160,30360821,g_011010111,validation,0,0.02,0.20330777764320374,0.2248586118221283
m1_repeat,static,20261401,val,9,160,30360821,g_101011110,validation,0,0.02,0.17419686913490295,0.18792542815208435
m1_repeat,static,20261401,val,10,160,30360821,g_111001110,validation,0,0.02,0.17339907586574554,0.22917619347572327
m1_repeat,static,20261401,val,11,160,30360821,g_111010110,validation,0,0.02,0.17773309350013733,0.1970396488904953
m1_repeat,static,20261401,val,12,196,30360857,g_011010111,validation,0,0.02,0.19110283255577087,0.18935100734233856
m1_repeat,static,20261401,val,13,196,30360857,g_101011110,validation,0,0.02,0.156407430768013,0.1542293280363083
m1_repeat,static,20261401,val,14,196,30360857,g_111001110,validation,0,0.02,0.2007513791322708,0.330361008644104
m1_repeat,static,20261401,val,15,196,30360857,g_111010110,validation,0,0.02,0.1748485118150711,0.1864672601222992
m1_repeat,static,20261401,val,16,174,30360835,g_011010111,validation,0,0.02,0.15978269279003143,0.13743071258068085
m1_repeat,static,20261401,val,17,174,30360835,g_101011110,validation,0,0.02,0.11776542663574219,0.12903688848018646
m1_repeat,static,20261401,val,18,174,30360835,g_111001110,validation,0,0.02,0.17470689117908478,0.28504541516304016
m1_repeat,static,20261401,val,19,174,30360835,g_111010110,validation,0,0.02,0.14006178081035614,0.13229092955589294
m1_repeat,static,20261401,val,20,178,30360839,g_011010111,validation,1,0.02,0.23836442828178406,0.35425233840942383
m1_repeat,static,20261401,val,21,178,30360839,g_101011110,validation,1,0.02,0.16849341988563538,0.28615236282348633
m1_repeat,static,20261401,val,22,178,30360839,g_111001110,validation,1,0.02,0.4541245698928833,0.60646653175354
m1_repeat,static,20261401,val,23,178,30360839,g_111010110,validation,1,0.02,0.24463529884815216,0.3723200559616089
m1_repeat,static,20261401,val,24,173,30360834,g_011010111,validation,0,0.05,0.29095458984375,0.361092209815979
m1_repeat,static,20261401,val,25,173,30360834,g_101011110,validation,0,0.05,0.2208402156829834,0.2645963728427887
m1_repeat,static,20261401,val,26,173,30360834,g_111001110,validation,0,0.05,0.24614542722702026,0.374798446893692
m1_repeat,static,20261401,val,27,173,30360834,g_111010110,validation,0,0.05,0.2540498971939087,0.3097395598888397
m1_repeat,static,20261401,val,28,167,30360828,g_011010111,validation,1,0.05,0.3117152452468872,0.4794104993343353
m1_repeat,static,20261401,val,29,167,30360828,g_101011110,validation,1,0.05,0.2828066051006317,0.47134438157081604
m1_repeat,static,20261401,val,30,167,30360828,g_111001110,validation,1,0.05,0.5013476610183716,0.7261173725128174
m1_repeat,static,20261401,val,31,167,30360828,g_111010110,validation,1,0.05,0.30921420454978943,0.4720710515975952
m1_repeat,static,20261401,val,32,166,30360827,g_011010111,validation,1,0.02,0.2728511691093445,0.304485559463501
m1_repeat,static,20261401,val,33,166,30360827,g_101011110,validation,1,0.02,0.24630607664585114,0.30492085218429565
m1_repeat,static,20261401,val,34,166,30360827,g_111001110,validation,1,0.02,0.5853042006492615,0.6757495403289795
