reference_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
raw_learned,b65d04062647ff4a96cf,ood,smooth_no_interface,3121,jacru_m2,29,0.34406302112559056,0.03372196352746401,0.04060964816663152,0.004555469039773972,0.5961441802836163,0.22240324363896985,0.2221603388963582,0.8574690818786621,0.0461855176610268,13,13,1,1,0.010896624997258186
raw_learned,92c050cb6b32ffd7819e,ood,single_interface,3121,jacru_m2,29,0.4522130069168551,0.05141960186398331,0.05196854735309472,0.002222535358103129,0.6857304735271943,0.20506871196777282,0.20584776242314953,0.859693169593811,0.06230171468567731,13,13,1,1,0.010295208950992674
raw_learned,d2bd02757c7386060fa0,ood,two_interface,3121,jacru_m2,29,0.4960598242912798,0.025283639467361778,0.06788275954537898,-0.008774579036630856,0.772168197547256,0.3192419674942495,0.32032240746199314,0.8542690873146057,0.030688800040691994,13,13,1,1,0.00909683300415054
raw_learned,efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,jacru_m2,29,0.3595347780167014,0.026819877049614936,0.035500881329225555,0.0011837560895978346,0.5939401351646711,0.2824677805009529,0.2839006952351742,0.8556745648384094,0.03791604329363147,13,13,1,1,0.010901791043579578
raw_learned,59d5c6804bd39f12f83e,ood,single_interface,3137,jacru_m2,29,0.4861851324965231,0.05338743202671764,0.05682711308955617,-0.001583548943409412,0.7436321749476886,0.2142273363805549,0.2191987578000257,0.8595848679542542,0.06162936701864745,13,13,1,1,0.008808957994915545
raw_learned,73a367367e8a2588b8c2,ood,two_interface,3137,jacru_m2,29,0.49435882431321604,0.027285614815620175,0.0715112067911485,-0.008888678394622903,0.7861667063818352,0.2947709623555342,0.29411541271676434,0.8544666767120361,0.03259411287528843,13,13,1,1,0.010176040988881141
raw_learned,9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,jacru_m2,29,0.3512355068825882,0.03712216948808388,0.04012803377903834,0.007177528820230602,0.6178538740031904,0.21718185612707008,0.21676880626104028,0.8580331802368164,0.04707840831658819,13,13,1,1,0.010891459009144455
raw_learned,35d22c1380baf6593b39,ood,single_interface,3163,jacru_m2,29,0.6375335019885063,0.0768741398888813,0.07520424922367193,0.0001335568081160864,0.9243482027271315,0.18590859400999088,0.1853048684894929,0.8615155816078186,0.06795470902329649,13,13,1,1,0.01250004197936505
raw_learned,f0363cd7bec7fc07695b,ood,two_interface,3163,jacru_m2,29,0.45819082846011255,0.027721554194886016,0.06062403665289059,-0.009261222891061172,0.7408769263785218,0.27061627402970717,0.27086679131530844,0.8550205230712891,0.03616226754539045,13,13,1,1,0.010705250024329871
raw_learned,e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,jacru_m2,29,0.3808265783064545,0.0386948190846503,0.036862491121552834,0.0035929439032781393,0.6094180430670953,0.25788797895649435,0.25738779512093785,0.8575894236564636,0.04835911273556237,13,13,1,1,0.010659167019184679
raw_learned,3362d0532ed7c2a38730,ood,single_interface,3181,jacru_m2,29,0.45943073332877216,0.05978468489027378,0.05417667159957862,0.0033549027149076096,0.7392343696624176,0.20142943224612223,0.19673059927694514,0.8603296279907227,0.0632475049187918,13,13,1,1,0.011074375011958182
