case_id,split,family,base_seed,geometry_digest,mode,payload_digest,fit_repeats,threshold_calibration_repeats,audit_repeats,discrepancy_quantile,iid_noise_std,camera_bias_std,estimated_condition_number,estimated_minimum_eigenvalue,estimated_maximum_eigenvalue,mean_error_relative_iid,covariance_relative_frobenius_error,empirical_threshold,empirical_selection_score_mean,empirical_selection_score_maximum,empirical_audit_coverage,empirical_audit_score_mean,exact_threshold,exact_selection_score_mean,exact_audit_coverage,exact_audit_score_mean
59d5c6804bd39f12f83e,ood,single_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,unpaired_distribution,f22fe1ce7d5f28d0ca64c1a72ee338ced0f84f697f601cee0bdd4c254de0dfaa,64,64,64,0.95,0.005890421341030226,0.011780842682060451,121.22781696945394,3.397063555831936e-05,0.004118185989799963,0.0,0.16822947643856534,184.75976577651633,151.9158058926495,214.50350591277228,0.96875,151.46427390697414,182.8715252878804,150.635760436864,0.96875,150.06187251308415
73a367367e8a2588b8c2,ood,two_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,paired_static,fa1429f07d8eea42ff8052e2e68f1a3ffaec92ddbb604ce8a013f8200807d520,64,64,64,0.95,0.0023976919502843776,0.004795383900568755,1.4497312031187708,5.5897394708769055e-06,8.103619728234857e-06,0.02758610698579454,0.0450314419457487,174.08175264980278,150.68144461526776,181.3388755943937,0.90625,150.95335539639547,175.50536336521884,151.98436271473633,0.90625,152.117077274287
73a367367e8a2588b8c2,ood,two_interface,3137,ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,unpaired_distribution,88078ccc646659462fbad65b4a700652e3716b8d26a673d112ad38c2c0e43f91,64,64,64,0.95,0.0023976919502843776,0.004795383900568755,122.30204522073872,5.572240342452911e-06,0.0006814963903435005,0.0,0.11375483044589409,177.55678863018628,146.6351148119534,189.2644458193188,0.921875,151.0207448830888,176.5820707103418,146.03226863195425,0.921875,150.5354105251061
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,paired_static,fffb30b09f5ab8e73fe7d75640f7cc336d26a2668e7af4fea59482493c001a09,64,64,64,0.95,0.005597348668950964,0.011194697337901929,1.2666040042104505,3.105587606524823e-05,3.93354969785069e-05,0.029192318679070753,0.03832615511859412,171.15704202856784,148.3308931684761,187.75444160904811,0.921875,145.40219497526303,174.0524725338729,151.23536326678766,0.921875,148.367338584321
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,unpaired_distribution,9d8cb4fa7a02f279ab6c4475aa8cdfe67ac1a90f7840935652b45d6332dda1e9,64,64,64,0.95,0.005597348668950964,0.011194697337901929,126.26509822400843,3.0171706556552147e-05,0.003809633491949016,0.0,0.11544805077951356,172.0347514321142,148.12994991248434,181.65581840844058,0.9375,149.013044914232,170.61299130128373,146.71083032730343,0.9375,147.63150089358678
35d22c1380baf6593b39,ood,single_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,paired_static,8ea9a5a39c703d37c597103a0e427f47c5b7e9721f62529ef3e36e6cd47a7ba2,64,64,64,0.95,0.007273129041469498,0.014546258082938995,1.2640428035202045,5.025688501057959e-05,6.352685382496557e-05,0.007687037683983351,0.03853975733674025,181.06745779252415,155.68641507642263,214.3633678445687,0.9375,154.0373677361341,177.60065667364086,151.42881272112686,0.9375,149.78768995804464
35d22c1380baf6593b39,ood,single_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,unpaired_distribution,d87d0b8c2c7fffe704180c433912ff73468dd7b4db3a2dc474e1ab7361e5b908,64,64,64,0.95,0.007273129041469498,0.014546258082938995,127.88824245730936,5.04237470777825e-05,0.006448604391889492,0.0,0.13140696648568434,177.46630981230174,148.1828505205558,194.78500615661443,0.984375,150.24936039253305,178.71402596968878,149.00497041019133,0.984375,151.1271770372191
f0363cd7bec7fc07695b,ood,two_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,paired_static,cbe937cc75ab747b5bca2b5be31010a10f91d40bb30f18a4e5368a95e33bdb8e,64,64,64,0.95,0.002745132353556864,0.005490264707113728,1.123494028292902,7.182659669565534e-06,8.069675246017147e-06,0.03081307576938426,0.03530400546433878,183.1930160159194,150.76898547114126,196.5298985851293,0.984375,146.38054389596346,183.7075883170943,151.01598987901818,0.984375,146.65176701956636
f0363cd7bec7fc07695b,ood,two_interface,3163,ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,unpaired_distribution,10b0be7efb8a5607aa795eba7a793872574dc84459ea8600495c11cc020f0ea7,64,64,64,0.95,0.002745132353556864,0.005490264707113728,132.90133548107002,7.197559752764217e-06,0.0009565653033471646,0.0,0.16100549083218593,175.1101885677856,148.31185074412411,196.16124864445263,0.953125,149.27115057203218,177.18274123165781,150.38131471888897,0.953125,151.2982355477749
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,paired_static,bc46d17d393e004dd5ba644828a53fdcd898ed1f0c3e5cdeddc2c493de73f2fd,64,64,64,0.95,0.005589853662162246,0.011179707324324491,1.2078907918189707,3.078124191970819e-05,3.718037867556762e-05,0.016791454012116385,0.028879252165922128,179.3447757198582,144.81741392991944,181.57102102048583,0.984375,148.10550131376422,179.53795349585994,145.5101486680407,0.96875,148.7841151426113
