split_role,rig_id,view_index,depth_offset,detector_offset,coefficient
train_oracle,dco-rig-001,0,2,-1,0.0001476555945449148
train_oracle,dco-rig-001,0,2,0,0.00026322273564830775
train_oracle,dco-rig-001,0,2,1,7.350857132574214e-05
train_oracle,dco-rig-001,0,2,2,-0.00012072390801103096
train_oracle,dco-rig-001,1,-2,-2,-3.566426178553231e-05
train_oracle,dco-rig-001,1,-2,-1,0.00017244447562879376
train_oracle,dco-rig-001,1,-2,0,0.00023009074077489944
train_oracle,dco-rig-001,1,-2,1,-9.835434124664141e-06
train_oracle,dco-rig-001,1,-2,2,0.00010716181130246332
train_oracle,dco-rig-001,1,-1,-2,-0.0011416234756202385
train_oracle,dco-rig-001,1,-1,-1,0.0005320112501448481
train_oracle,dco-rig-001,1,-1,0,0.01850572510501187
train_oracle,dco-rig-001,1,-1,1,-0.0019651242273561716
train_oracle,dco-rig-001,1,-1,2,-0.0007101892961655776
train_oracle,dco-rig-001,1,0,-2,-0.00931700863862924
train_oracle,dco-rig-001,1,0,-1,-0.007836535543948045
train_oracle,dco-rig-001,1,0,0,0.9771863469821542
train_oracle,dco-rig-001,1,0,1,0.0167627029747276
train_oracle,dco-rig-001,1,0,2,-0.01339387332017727
train_oracle,dco-rig-001,1,1,-2,0.0001807242655796178
train_oracle,dco-rig-001,1,1,-1,-0.0019873741783079935
train_oracle,dco-rig-001,1,1,0,-0.021981698411092918
train_oracle,dco-rig-001,1,1,1,-6.937039256625546e-05
train_oracle,dco-rig-001,1,1,2,-0.0009825417993189443
train_oracle,dco-rig-001,1,2,-2,-3.0253423416485345e-05
train_oracle,dco-rig-001,1,2,-1,0.0002013758774853248
train_oracle,dco-rig-001,1,2,0,0.0005011800111158739
train_oracle,dco-rig-001,1,2,1,0.00010774305872201271
train_oracle,dco-rig-001,1,2,2,1.815791736721705e-05
train_oracle,dco-rig-001,2,-2,-2,5.980643846067595e-05
train_oracle,dco-rig-001,2,-2,-1,-0.00011284874609173198
train_oracle,dco-rig-001,2,-2,0,0.00018302859897829132
train_oracle,dco-rig-001,2,-2,1,-5.583617870892986e-05
train_oracle,dco-rig-001,2,-2,2,-4.038918419759135e-05
train_oracle,dco-rig-001,2,-1,-2,-0.0024633087496448874
train_oracle,dco-rig-001,2,-1,-1,0.003899209441979962
train_oracle,dco-rig-001,2,-1,0,0.019392681048927985
train_oracle,dco-rig-001,2,-1,1,-0.0003944486765081135
train_oracle,dco-rig-001,2,-1,2,0.0005720112470580327
train_oracle,dco-rig-001,2,0,-2,-0.01129974338241162
train_oracle,dco-rig-001,2,0,-1,0.0016873850428528578
train_oracle,dco-rig-001,2,0,0,0.9897043673452807
train_oracle,dco-rig-001,2,0,1,0.020407677260790912
train_oracle,dco-rig-001,2,0,2,-0.008396537289059747
train_oracle,dco-rig-001,2,1,-2,-0.0007374456987370153
train_oracle,dco-rig-001,2,1,-1,0.0007144669539919958
train_oracle,dco-rig-001,2,1,0,-0.01987807533690002
train_oracle,dco-rig-001,2,1,1,0.0009787950814617308
train_oracle,dco-rig-001,2,1,2,0.00039463866926346095
train_oracle,dco-rig-001,2,2,-2,-2.6735114280619494e-05
train_oracle,dco-rig-001,2,2,-1,3.6726033903235796e-05
train_oracle,dco-rig-001,2,2,0,0.0002941486990872097
train_oracle,dco-rig-001,2,2,1,-4.1479178947128796e-05
train_oracle,dco-rig-001,2,2,2,-6.438666822499837e-05
train_oracle,dco-rig-001,3,-2,-2,3.08647497707482e-05
train_oracle,dco-rig-001,3,-2,-1,-1.8184124420110042e-05
train_oracle,dco-rig-001,3,-2,0,0.0005058415666673619
train_oracle,dco-rig-001,3,-2,1,-0.00011275017236658467
train_oracle,dco-rig-001,3,-2,2,3.662595501850648e-05
train_oracle,dco-rig-001,3,-1,-2,5.285190979119686e-05
train_oracle,dco-rig-001,3,-1,-1,0.0009794184945606204
train_oracle,dco-rig-001,3,-1,0,0.021049202625388334
train_oracle,dco-rig-001,3,-1,1,0.00047132714607365855
train_oracle,dco-rig-001,3,-1,2,-0.00032958759671953045
train_oracle,dco-rig-001,3,0,-2,-0.0018170485589958211
train_oracle,dco-rig-001,3,0,-1,-0.00860660186090968
train_oracle,dco-rig-001,3,0,0,1.0384127832528356
train_oracle,dco-rig-001,3,0,1,0.010694773313350255
train_oracle,dco-rig-001,3,0,2,0.004140827797943863
train_oracle,dco-rig-001,3,1,-2,0.0002160946212567697
train_oracle,dco-rig-001,3,1,-1,-0.0010733064096154937
train_oracle,dco-rig-001,3,1,0,-0.021001390410969507
train_oracle,dco-rig-001,3,1,1,0.000693489026556904
train_oracle,dco-rig-001,3,1,2,0.0004754204986698679
train_oracle,dco-rig-001,3,2,-2,-6.744616403423889e-05
train_oracle,dco-rig-001,3,2,-1,0.00012107034429435571
train_oracle,dco-rig-001,3,2,0,0.0004672137991552394
train_oracle,dco-rig-001,3,2,1,4.482935413876781e-05
train_oracle,dco-rig-001,3,2,2,-8.042434882423157e-05
train_oracle,dco-rig-001,4,-2,-2,1.9970488764981044e-05
train_oracle,dco-rig-001,4,-2,-1,-2.6126241329344695e-05
train_oracle,dco-rig-001,4,-2,0,6.503855094795995e-05
train_oracle,dco-rig-001,4,-2,1,-7.147191015326019e-05
train_oracle,dco-rig-001,4,-2,2,5.5326212508789386e-05
train_oracle,dco-rig-001,4,-1,-2,-0.0012705621285878748
train_oracle,dco-rig-001,4,-1,-1,0.0019460036818529582
train_oracle,dco-rig-001,4,-1,0,0.021199392475063673
train_oracle,dco-rig-001,4,-1,1,-0.0010944803736884893
train_oracle,dco-rig-001,4,-1,2,-0.00020451222936639817
train_oracle,dco-rig-001,4,0,-2,0.00023059194519679623
train_oracle,dco-rig-001,4,0,-1,-0.01879125242266803
train_oracle,dco-rig-001,4,0,0,0.9748609736401127
train_oracle,dco-rig-001,4,0,1,0.02258208867982749
train_oracle,dco-rig-001,4,0,2,-0.019473469641456076
train_oracle,dco-rig-001,4,1,-2,0.00017998146951186093
train_oracle,dco-rig-001,4,1,-1,-0.0006916378764424343
train_oracle,dco-rig-001,4,1,0,-0.01976686340515384
train_oracle,dco-rig-001,4,1,1,0.0010856155905732843
train_oracle,dco-rig-001,4,1,2,-0.0005090210996194355
train_oracle,dco-rig-001,4,2,-2,-8.044220506263042e-06
train_oracle,dco-rig-001,4,2,-1,4.952077353042002e-05
train_oracle,dco-rig-001,4,2,0,0.00039139795307490153
train_oracle,dco-rig-001,4,2,1,4.80766119264089e-05
train_oracle,dco-rig-001,4,2,2,-1.3581928529360985e-05
train_oracle,dco-rig-001,5,-2,-2,9.944372213273665e-05
train_oracle,dco-rig-001,5,-2,-1,-1.5849370202102433e-05
train_oracle,dco-rig-001,5,-2,0,0.00045410153142547973
train_oracle,dco-rig-001,5,-2,1,-3.48951700102964e-05
train_oracle,dco-rig-001,5,-2,2,0.0001104241019293569
train_oracle,dco-rig-001,5,-1,-2,-0.0018200766442551357
train_oracle,dco-rig-001,5,-1,-1,0.0011998035479925523
train_oracle,dco-rig-001,5,-1,0,0.01916293446392907
train_oracle,dco-rig-001,5,-1,1,-0.000883111914835122
train_oracle,dco-rig-001,5,-1,2,-0.0008394708478549609
train_oracle,dco-rig-001,5,0,-2,-0.0034583467386535113
train_oracle,dco-rig-001,5,0,-1,-0.0081435682354922
train_oracle,dco-rig-001,5,0,0,0.9939001064751952
train_oracle,dco-rig-001,5,0,1,0.03321825778765357
train_oracle,dco-rig-001,5,0,2,-0.01840963780828577
train_oracle,dco-rig-001,5,1,-2,-0.0010129057419650525
train_oracle,dco-rig-001,5,1,-1,-0.0011828262177490398
train_oracle,dco-rig-001,5,1,0,-0.022649227423356712
train_oracle,dco-rig-001,5,1,1,-8.119226171397398e-05
train_oracle,dco-rig-001,5,1,2,-0.0004146551769416759
train_oracle,dco-rig-001,5,2,-2,5.0289670166604264e-05
train_oracle,dco-rig-001,5,2,-1,6.61335229224245e-05
train_oracle,dco-rig-001,5,2,0,0.0005125935317447267
train_oracle,dco-rig-001,5,2,1,-1.0509547577403996e-06
train_oracle,dco-rig-001,5,2,2,5.941475205012956e-05
train_oracle,dco-rig-001,6,-2,-2,3.887297971588424e-05
train_oracle,dco-rig-001,6,-2,-1,-6.529726653857308e-05
train_oracle,dco-rig-001,6,-2,0,0.000522150213716406
train_oracle,dco-rig-001,6,-2,1,-7.147966673394245e-05
train_oracle,dco-rig-001,6,-2,2,1.9938557382104123e-05
train_oracle,dco-rig-001,6,-1,-2,0.00013844070956321836
train_oracle,dco-rig-001,6,-1,-1,0.0016145346275399102
train_oracle,dco-rig-001,6,-1,0,0.020907887962592374
train_oracle,dco-rig-001,6,-1,1,-8.880806823493812e-05
train_oracle,dco-rig-001,6,-1,2,-9.032466214502739e-05
train_oracle,dco-rig-001,6,0,-2,0.0007275874810791714
train_oracle,dco-rig-001,6,0,-1,-0.012864045598790728
train_oracle,dco-rig-001,6,0,0,1.0455189033431715
train_oracle,dco-rig-001,6,0,1,0.009562847908240779
