adjoint_calls_per_case,bootstrap_mean_field_gain_95_interval_percent,case_count,evaluator_adjoint_calls_per_case,evaluator_forward_calls_per_case,field_harm_over_one_percent_rate,forward_calls_per_case,heldout_b_valid_case_count,maximum_measurement_direction_orthogonality_defect,maximum_residual_increase,mean_a_clean_residual_ratio,mean_a_measured_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_clean_residual_ratio,mean_wall_seconds_per_case,median_field_gain_percent,method,p10_field_gain_percent,split,worst_field_gain_percent
[24],"[-1.3577994096259885e-06, 2.423913983090978e-06]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9999999753060219,0.9999999622595053,5.31368337496326e-07,0.0,-7.118410540156988e-07,1.0000000034849974,0.09642663537912692,0.0,one_point_zero_five_g,0.0,test_geometry_ood,-1.3029086784792711e-05
[24],"[-0.004327499711558408, -0.00020428404742223633]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9998003440780159,0.9997511613633921,-0.0022543661854865344,-0.022632958918545488,-0.0384547069663038,0.9999952524885685,0.09634226560592651,-0.001445104748983756,random_angular_seed_2026072001,-0.009743899835146104,test_geometry_ood,-0.011693740610903456
[24],"[-0.011803729003462137, -0.005922624556534511]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.000109351511842,1.0000708113753871,-0.008850994660308755,-0.010917702537720259,-0.03851141187112588,1.000127430187658,0.0946552290697582,-0.008828999472138242,random_angular_seed_2026072002,-0.019792738369638234,test_geometry_ood,-0.02060552768505991
[24],"[-0.011729305775718304, -0.00838552313559864]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,1.0002351512086984,1.0002012580810498,-0.010043097255986622,0.0012336027766260554,-0.04524280656319016,1.0000359750955607,0.09526552948227618,-0.00989711265157495,random_angular_seed_2026072003,-0.01540204464403312,test_geometry_ood,-0.01982522729623095
[24],"[0.3988995183393737, 0.6844605643704247]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9946680227627486,0.994098626122894,0.5514020930241232,0.18742074283344046,0.4924356458556283,0.9973740166590407,0.09762278648850042,0.5959740747976079,train_fitted_fixed,-0.07009386980046778,test_geometry_ood,-0.2832733630445018
[24],"[0.9629058652509641, 1.081036855964096]",24,[1],[1],0.0,[24],24,2.980232238769531e-07,0.0,0.9927210273232928,0.9918447835402783,1.020991515206173,0.3130507353550781,1.013060870244769,0.9898260190533694,0.10541885421359136,1.0334992450186173,truth_angular_oracle,0.8011174773950959,test_geometry_ood,0.7754292627706703
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09159506940826152,0.0,anchored_delta_zero,0.0,test_iid,-0.0
[24],"[49.244092774915515, 53.719925832636456]",24,[0],[1],0.0,[24],24,,,1.4763535021800482,1.6752088387048711,51.523419021529556,63.48255612887181,51.27147832377088,0.3619115371824691,0.03171985928687112,51.59506722822633,inverse_sobolev5_24,45.24641427526449,test_iid,35.85016754214936
[24],"[0.9693082626440176, 1.0913311753705315]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.991850587977047,0.9911504661598345,1.0302171681466412,0.2661783978867079,0.972858529489706,0.9947052051554852,0.09855636803937766,1.0378330504258437,linear_observable,0.8173149064347797,test_iid,0.7573355317777731
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,0.9999999905910917,1.0000000233465254,0.0,0.0,1.016736858238201e-08,0.9999999950029664,0.0900224963746344,0.0,one_point_zero_five_g,0.0,test_iid,-0.0
