base_seed,family,source,frame_index,mode,selected_step,relative_change,cancellation_ratio
503,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,yaw,0.0125,0.002510674148171299,18658895206.349606
503,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,pitch,0.0125,0.0026470603905897876,8397022950.830135
503,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,roll,0.05,0.0029956690903126496,53876735302.34415
503,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_u,0.05,0.0021218205993520606,86068493482.48248
503,shock_expansion_pair,estimated_field_from_all_camera_pilot,2,shift_v,0.025,0.004953302121574701,22438865854.9802
503,smooth_plume,voxelized_teacher_same_forward_family,0,yaw,0.003125,0.0034948279408745244,772235378.8119457
503,smooth_plume,voxelized_teacher_same_forward_family,0,pitch,0.0125,8.342308012743159e-05,2064693905.377296
503,smooth_plume,voxelized_teacher_same_forward_family,0,roll,0.05,0.003910306367070831,17068857745.178513
503,smooth_plume,voxelized_teacher_same_forward_family,0,shift_u,0.05,0.000887879689372707,102216012239.77405
503,smooth_plume,voxelized_teacher_same_forward_family,0,shift_v,0.05,0.003370083853349912,77576617034.33876
503,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,yaw,0.0125,0.003778919024658692,17355513439.106308
503,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,pitch,0.05,0.0029313481912889754,29909109675.80897
503,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,roll,0.05,0.0033505382679623235,58888290824.76971
503,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_u,0.05,0.001577359073234882,97894654938.32228
503,wrinkled_density_interface,voxelized_teacher_same_forward_family,1,shift_v,0.05,0.0024049030668264635,53605883388.59065
503,shock_expansion_pair,voxelized_teacher_same_forward_family,2,yaw,0.0125,0.004163216056577,13332479939.610586
503,shock_expansion_pair,voxelized_teacher_same_forward_family,2,pitch,0.05,0.0021954624353260565,16404185699.675993
503,shock_expansion_pair,voxelized_teacher_same_forward_family,2,roll,0.0015625,1.1614960157702273e-09,1273657454.1068156
503,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_u,0.05,0.0016070219878696226,89827294521.29498
503,shock_expansion_pair,voxelized_teacher_same_forward_family,2,shift_v,0.05,0.0016218507714092674,50175001145.34032
607,smooth_plume,estimated_field_from_all_camera_pilot,0,yaw,0.003125,2.880257416860647e-08,2429521324.1343164
607,smooth_plume,estimated_field_from_all_camera_pilot,0,pitch,0.05,0.004739387404798411,21376858961.018566
607,smooth_plume,estimated_field_from_all_camera_pilot,0,roll,0.0125,0.0014475145726813474,6826138712.404913
607,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_u,0.0125,0.0006762808351897754,22307411095.263214
607,smooth_plume,estimated_field_from_all_camera_pilot,0,shift_v,0.05,0.004956099483742959,78559635913.08871
607,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,yaw,0.003125,2.0703991036092635e-08,6424454725.941198
607,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,pitch,0.00625,0.004126170946552154,5074985634.066327
607,wrinkled_density_interface,estimated_field_from_all_camera_pilot,1,roll,0.0125,0.001572801712812337,16408840609.253181
