base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
211,0.0001,0;3;5,30.780132981082975,4.780516718977028,5,5,25.523893103041857,-0.2837065643089618,0,5,5,150,150,2.220560327466588e-13
211,0.0001,0;4;5,32.49548998381015,-11.094483971512219,5,5,27.63885107279183,-16.699662388305804,0,5,5,150,150,1.8452670825811555e-15
211,0.0001,1;2;3,31.675791933480763,-10.216280670310654,5,5,27.62485060079949,-15.023268247293785,0,5,5,150,150,3.44056216951173e-15
211,0.0001,1;2;4,32.89123433418335,0.6717344646490333,5,5,28.929543099651138,-3.0864083769675394,0,5,5,150,150,6.402152043574905e-14
211,0.0001,1;2;5,32.720539246984856,-8.929017399898806,5,5,28.268400364960982,-13.724418172233138,0,5,5,150,150,1.084555593927517e-14
211,0.0001,1;3;4,32.47619092300305,0.13202922708509357,5,5,28.042062668577728,-3.54916190880798,0,5,5,150,150,6.776842821377799e-14
211,0.0001,1;3;5,32.230558016475506,-11.890964932189739,5,5,27.48706859878917,-16.60679349369016,0,5,5,150,150,4.643013854983344e-15
211,0.0001,1;4;5,33.56353877162336,0.7037995407084776,5,5,28.92212313368467,-3.102996589285489,0,5,5,150,150,4.898194021849775e-14
211,0.0001,2;3;4,31.857519486230366,-9.978933432221782,5,5,27.75138982722353,-14.165531688794402,0,5,5,150,150,2.3246732629704346e-15
211,0.0001,2;3;5,31.565534698500375,-9.134620080991647,5,5,26.927332179268678,-13.886929361470093,0,5,5,150,150,3.0160828523075055e-15
211,0.0001,2;4;5,32.96540928083881,-9.128291680451508,5,5,28.59013418212922,-13.695467506601071,0,5,5,150,150,5.324399957654642e-15
211,0.0001,3;4;5,32.55531069343887,-10.221360749697237,5,5,27.70651325682418,-14.514323809322423,0,5,5,150,150,1.6516961865434704e-15
211,0.002,0;1;2,31.479468494920262,4.451906913510293,5,5,27.372360836968816,-0.5660480271554253,0,5,5,150,150,2.3172616106421093e-15
211,0.002,0;1;3,30.595789614245444,15.432819636483362,5,5,26.260104877445663,10.644220183296891,0,5,5,150,150,2.043330867412057e-14
211,0.002,0;1;4,32.25014545064161,13.826039404676848,5,5,27.863278573339684,9.980881069390094,0,5,5,150,150,3.216551646416025e-14
211,0.002,0;1;5,32.09705335661703,4.276239675480066,5,5,27.249128505793554,-0.7146922352289846,0,5,5,150,150,2.001218711926884e-15
211,0.002,0;2;3,30.059295853574152,15.28524061544228,5,5,25.79671896979363,10.383296321190414,0,5,5,150,150,2.5625294043196533e-14
211,0.002,0;2;4,31.714258500411965,2.613297722565217,5,5,27.666399174588083,-2.867324748568488,0,5,5,150,150,1.72598235858503e-15
211,0.002,0;2;5,31.491074914847722,5.224001964443322,5,5,26.79802034770178,0.16032418820797423,0,5,5,150,150,5.535841338932982e-15
211,0.002,0;3;4,31.049069210714592,15.504672201749315,5,5,26.15965389865578,10.768909364984955,0,5,5,150,150,3.761398601176848e-14
211,0.002,0;3;5,30.780132981082975,15.318940238831,5,5,25.523893103041857,10.410554361186305,0,5,5,150,150,4.8872413641799024e-14
211,0.002,0;4;5,32.49548998381015,3.773260463000959,5,5,27.63885107279183,-1.808738030558722,0,5,5,150,150,2.0181276103627403e-15
211,0.002,1;2;3,31.675791933480763,4.637633197296644,5,5,27.62485060079949,-0.16895059033178095,0,5,5,150,150,2.2052649560245226e-15
211,0.002,1;2;4,32.89123433418335,14.348185102808191,5,5,28.929543099651138,10.42670472548998,0,5,5,150,150,4.09732999063244e-14
211,0.002,1;2;5,32.720539246984856,5.900989246675053,5,5,28.268400364960982,1.0999190486857133,0,5,5,150,150,6.026246510340457e-15
211,0.002,1;3;4,32.47619092300305,13.840676957237548,5,5,28.042062668577728,9.934905642104134,0,5,5,150,150,4.943958846727536e-14
211,0.002,1;3;5,32.230558016475506,2.98460714637269,5,5,27.48706859878917,-1.7259928275548828,0,5,5,150,150,4.190100890961375e-15
211,0.002,1;4;5,33.56353877162336,14.337523139121949,5,5,28.92212313368467,10.355316429341318,0,5,5,150,150,4.645767696464559e-14
211,0.002,2;3;4,31.857519486230366,4.857995434360566,5,5,27.75138982722353,0.6580345005552827,0,5,5,150,150,1.7646207265493738e-15
211,0.002,2;3;5,31.565534698500375,5.678834790455416,5,5,26.927332179268678,0.9345722144440471,0,5,5,150,150,5.726428783621705e-15
211,0.002,2;4;5,32.96540928083881,5.696993798256139,5,5,28.59013418212922,1.1245245938126969,0,5,5,150,150,4.6751161300291934e-15
