case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,warm_h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-7v-shock,3,oblique_shock,7,0.04,h16_c4_edge_400,4.0,16,4,0.8637680411338806,1.1819572448730469,0.4052487313747406,0.08136486262083054,0.6069087386131287,2.6083305328938877e-06,20,20,1,4,0,0,0.0,7.083211528424727e-08,0.15826658392325044,374784000
dev-8v-vortex,4,vortex_pair,8,0.06,h1_20,,20,0,0.853550136089325,1.1324316263198853,0.47451937198638916,0.05561140924692154,0.6597892642021179,3.3351636830047937e-06,20,20,1,0,0,0,0.0,0.0,0.12524766603019089,374800384
dev-8v-vortex,4,vortex_pair,8,0.06,h19_c1_edge_000,0.0,19,1,0.8586055040359497,1.1391689777374268,0.47390905022621155,0.05587101727724075,0.6656416058540344,3.2301027204084676e-06,20,20,1,0,0,0,0.0,6.739745117556595e-08,0.13301333400886506,374816768
dev-8v-vortex,4,vortex_pair,8,0.06,h19_c1_edge_100,1.0,19,1,0.8581548929214478,1.136460304260254,0.4732987582683563,0.05642537772655487,0.6652136445045471,3.4201764265162637e-06,20,20,1,1,0,0,0.0,0.0,0.13332999998237938,374833152
dev-8v-vortex,4,vortex_pair,8,0.06,h19_c1_edge_200,2.0,19,1,0.8579608798027039,1.1351650953292847,0.4732987582683563,0.05683717876672745,0.6651177406311035,3.5165728604624746e-06,20,20,1,1,0,0,0.0,0.0,0.13345879199914634,374833152
dev-8v-vortex,4,vortex_pair,8,0.06,h19_c1_edge_400,4.0,19,1,0.8579018712043762,1.1345118284225464,0.4732987582683563,0.057311732321977615,0.6652684211730957,3.3076364616135834e-06,20,20,1,1,0,0,0.0,6.73974938081301e-08,0.1356881660176441,374833152
dev-8v-vortex,4,vortex_pair,8,0.06,h18_c2_edge_000,0.0,18,2,0.8637250065803528,1.1456505060195923,0.47451937198638916,0.05747425556182861,0.6714896559715271,3.1311565180658363e-06,20,20,1,0,0,0,0.0,0.0,0.13989454205147922,374833152
dev-8v-vortex,4,vortex_pair,8,0.06,h18_c2_edge_100,1.0,18,2,0.8627779483795166,1.1408036947250366,0.47451937198638916,0.05832595005631447,0.6702772378921509,3.167736167597468e-06,20,20,1,2,0,0,0.0,0.0,0.14191841601859778,374849536
dev-8v-vortex,4,vortex_pair,8,0.06,h18_c2_edge_200,2.0,18,2,0.8620762228965759,1.1377531290054321,0.47482454776763916,0.058795321732759476,0.6693413853645325,3.1017916626296937e-06,20,20,1,2,0,0,0.0,0.0,0.14424399996642023,374865920
dev-8v-vortex,4,vortex_pair,8,0.06,h18_c2_edge_400,4.0,18,2,0.8617627024650574,1.135420560836792,0.47451937198638916,0.059572283178567886,0.669211745262146,3.0645294373243814e-06,20,20,1,2,0,0,0.0,6.742514813140588e-08,0.14250762504525483,374882304
dev-8v-vortex,4,vortex_pair,8,0.06,h16_c4_edge_000,0.0,16,4,0.8735241889953613,1.1563878059387207,0.4705522954463959,0.0630354955792427,0.6832548379898071,2.758321897999849e-06,20,20,1,0,0,0,0.0,0.0,0.20237145805731416,374980608
dev-8v-vortex,4,vortex_pair,8,0.06,h16_c4_edge_100,1.0,16,4,0.871584951877594,1.1476719379425049,0.4720781147480011,0.0642114132642746,0.6805009841918945,2.7311541543895146e-06,20,20,1,4,0,0,0.0,1.2068196042491763e-07,0.18317320907954127,374980608
dev-8v-vortex,4,vortex_pair,8,0.06,h16_c4_edge_200,2.0,16,4,0.8697598576545715,1.141880989074707,0.47421422600746155,0.06473962962627411,0.677919328212738,2.713516778385383e-06,20,20,1,4,0,0,0.0,1.1319728798753204e-07,0.1586186250206083,374980608
dev-8v-vortex,4,vortex_pair,8,0.06,h16_c4_edge_400,4.0,16,4,0.8691009283065796,1.1373398303985596,0.47421422600746155,0.0660850927233696,0.6772833466529846,2.787165612971876e-06,20,20,1,4,0,0,0.0,1.0392989935326113e-07,0.15900324995163828,374980608
dev-9v-multiplume,5,multi_plume,9,0.02,h1_20,,20,0,0.8553162813186646,1.1543422937393188,0.42294782400131226,0.045944273471832275,,4.250958227203228e-06,20,20,1,0,0,0,0.0,0.0,0.12344616698101163,375111680
dev-9v-multiplume,5,multi_plume,9,0.02,h19_c1_edge_000,0.0,19,1,0.8598112463951111,1.160560131072998,0.42233750224113464,0.046525903046131134,,4.121969141124282e-06,20,20,1,0,0,0,0.0,6.1234544546096e-08,0.13142433296889067,375144448
dev-9v-multiplume,5,multi_plume,9,0.02,h19_c1_edge_100,1.0,19,1,0.8593420386314392,1.157563328742981,0.42264264822006226,0.04715341329574585,,4.224212716508191e-06,20,20,1,1,0,0,0.0,1.2246931646586745e-07,0.13433883292600513,375160832
