method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,val_lock,16,4,0.13447870393212435,0.09022093748445599,0.22910061336703924,0.16867564060148016,0.025245718130673542,0.026960805860187766,0.2236562520318769,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,val_lock,16,4,0.13581733820099157,0.09758938491164676,0.2247115414932134,0.16681188976724445,0.02450687321862628,0.027230593062786863,0.22983084243462648,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,val_lock,16,4,0.13447870393212435,0.09022093748445599,0.22910061336703924,0.16867564060148016,0.025245718130673542,0.026960805860187766,0.2236562520318769,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),val_lock,16,4,0.1337173888726997,0.08996544178818958,0.2269629629911053,0.16621178252996033,0.025045241264347227,0.026804683914472285,0.22456301387920286,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),val_lock,16,4,0.13131956303589049,0.08816049781922267,0.22105510612547377,0.15984065589212038,0.024347790239329974,0.026592962005547456,0.22900304699270552,0.0,0.0
feasible_fno,FNO + hard support,val_tune,24,4,0.24311615948865994,0.2058535051281021,0.3854254026751806,0.32969012215426763,0.16936137769645968,0.16747874549705086,0.0,0.0,0.0
fno_geometry,FNO + fixed Landweber,val_tune,24,4,0.149283409053207,0.10395734623778993,0.26360992395613664,0.20527390199655518,0.027495014636363998,0.028806892557929138,0.18974059020354347,0.0,0.0
fno_pbb_fixed64,FNO + fixed PBB-64,val_tune,24,4,0.1403701770267205,0.11110643006894474,0.23363027213181023,0.1790527104866927,0.024537057417541572,0.027196203982430417,0.21197308622827135,0.0,0.0
fno_pbb_discrepancy,FNO + PBB + active discrepancy,val_tune,24,4,0.13804587183252015,0.10404357763378123,0.2369359993911848,0.1816928844774258,0.025566347465998607,0.026948979536627272,0.2053568275254826,0.0,0.0
fno_pbb_camera_discrepancy,FNO + PBB + camera-balanced discrepancy,val_tune,24,4,0.13804587183252015,0.10404357763378123,0.2369359993911848,0.1816928844774258,0.025566347465998607,0.026948979536627272,0.2053568275254826,0.0,0.0
fno_pbb_ncp,FNO + PBB + NCP whiteness,val_tune,24,4,0.1402484263651325,0.11110643006894474,0.23371256783546454,0.18059873068987273,0.024945789326688634,0.02721120015653672,0.20961058252342657,0.0,0.0
fno_pbb_hybrid,FNO + PBB + discrepancy AND NCP,val_tune,24,4,0.13804587183252015,0.10404357763378123,0.2369359993911848,0.1816928844774258,0.025566347465998607,0.026948979536627272,0.2053568275254826,0.0,0.0
fno_pbb_generator_sigma,FNO + PBB + generator-sigma discrepancy (oracle),val_tune,24,4,0.13857546622549355,0.10463655451701248,0.2369424259274427,0.18393010777208252,0.025681132764493044,0.026953344033872367,0.20389543709787994,0.0,0.0
fno_pbb_truth_oracle,FNO + PBB + truth-best stop (oracle),val_tune,24,4,0.13671222494827026,0.10194961171618874,0.23363027213181023,0.17736160364199752,0.025277697873896932,0.026811196010490757,0.20701575346174303,0.0,0.0
