noise_level,view_count,dynamics,best_rank,best_rel_l2_global,rank_1_regret_pct,rank_2_regret_pct,rank_3_regret_pct,rank_5_regret_pct,rank_8_regret_pct
0.07,3,smooth,2,0.5087326252505118,3.1372823735916566,0.0,0.2612627739426614,0.4519341400361343,0.7640362541142542
0.07,3,transient,2,0.5077917514290702,2.9578747857919634,0.0,0.2170809585624375,0.35655218632426977,0.6614338765482873
0.07,5,chirp,5,0.34324553682374215,13.084532330379178,1.8739332571453375,0.266636087171868,0.0,0.37883583814812294
0.07,5,fast,5,0.3501785391482396,12.583257042583844,2.0567983219329076,0.46173293831277673,0.0,0.3681509943643882
0.07,5,smooth,5,0.35008905821214065,12.530034815108424,1.9886545282156394,0.38701028329982773,0.0,0.3617453405987924
0.07,5,transient,5,0.35081527054673034,12.193468704066198,2.210238406439819,0.6361287635524985,0.0,0.3241354267501259
0.07,7,chirp,5,0.28494116101788214,23.950161918814693,5.0262338999289025,1.1150754104288547,0.0,0.3445007306875949
0.07,7,fast,5,0.2892670338832716,23.519360827419895,5.26411197390026,1.4143902267968842,0.0,0.33085131206778917
0.07,7,smooth,5,0.2891418261711567,23.450098995908053,5.181240912865493,1.3300912744397586,0.0,0.3367994931757725
0.07,7,transient,5,0.2902741147694389,23.039739598242527,5.51709594051354,1.776309356122421,0.0,0.2554882993630283
0.07,9,chirp,5,0.27370324682296554,27.284287010124892,5.895426641950218,1.382604762445118,0.0,0.25127120537354447
0.07,9,fast,5,0.276957403921814,27.107663168610575,6.197285732133512,1.7720074753327215,0.0,0.2555230277963229
0.07,9,smooth,5,0.2769183278958305,27.036689534565955,6.118610247337354,1.671590618543549,0.0,0.2593471692955679
0.07,9,transient,5,0.2775358117093929,26.747994627575853,6.532220962539573,2.200439434450582,0.0,0.1738638495273713
0.14,3,chirp,2,0.5009686337698532,3.0352444468029662,0.0,0.5040455741013926,1.1923282158294797,2.130699411373351
0.14,3,fast,2,0.5113522677404637,2.924442103412743,0.0,0.4044233258723389,0.9346547575003118,1.8449506017263777
0.14,3,smooth,2,0.5113453521458389,2.959493669037629,0.0,0.40689573124328693,1.003307390307625,1.8802115824548336
0.14,3,transient,2,0.5104194560630226,2.780027370731435,0.0,0.36389506779731035,0.859103009788723,1.796399613375992
0.14,5,chirp,3,0.3478878161357921,12.080971124071576,1.3317344001704279,0.0,0.4658742681854878,1.7793902934932289
0.14,5,fast,3,0.35564382029009767,11.359158066763126,1.3110455096718558,0.0,0.15619207956781908,1.4728880531433843
0.14,5,smooth,3,0.3551427878090509,11.418140842709583,1.3108407720636854,0.0,0.2434524814542094,1.5629520153334577
0.14,5,transient,5,0.35645380361938667,10.906848719678464,1.3588091975909893,0.07558643600716809,0.0,1.3472520638029977
0.14,7,chirp,5,0.2903504870248269,22.07098757170435,3.8645355193285686,0.38684373629025726,0.0,1.396030473382054
0.14,7,fast,5,0.2947046156292805,21.67582601907002,4.143344324301481,0.6835016323264048,0.0,1.392097286161977
0.14,7,smooth,5,0.2944998260585352,21.614471041400453,4.036526430919685,0.6078174479184092,0.0,1.3693400295899074
