design_id,seed,method,rank,noise_level,view_count,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
d-fast_v-9_n-0.28_s-20260713,20260713,framewise,0,0.28,9,fast,0.21115804195869714,0.0,0.3350416181097582,0.11225288586560504,0.3351587351169464,0.9294929714258535,0.39062446754326435,1.0011238048653914,1.6336104424942899,1.2342535492405025,0.06431784906637461,0.1414851520970488,0.29981087908693177
d-fast_v-9_n-0.28_s-20260713,20260713,lowrank,1,0.28,9,fast,0.21115804195869714,0.17050283297430724,0.35759739613820507,0.12787589772482438,0.3557801567544319,0.9192514142812424,0.17707029854956963,0.8015714553110115,0.9057700359354219,0.6258403888978992,0.05784270452076089,0.12413160770320514,0.3360935350202401
d-fast_v-9_n-0.28_s-20260713,20260713,lowrank,2,0.28,9,fast,0.21115804195869714,0.08477270801085979,0.30353783784744487,0.09213521900510173,0.3030913908884717,0.942517065887405,0.24393199154382555,0.6681555376354424,0.8597693686964554,0.7851575029523831,0.059094988855724506,0.12966208962682974,0.22188994996691147
d-fast_v-9_n-0.28_s-20260713,20260713,lowrank,3,0.28,9,fast,0.21115804195869714,0.11553625005763024,0.29499393542468233,0.08702142193734165,0.29496899074140176,0.9457991285637123,0.2766694574648395,0.5950985170984503,0.7672512914740589,0.890517146544442,0.05963174451667616,0.1305049417564474,0.22076776988167984
d-fast_v-9_n-0.28_s-20260713,20260713,lowrank,5,0.28,9,fast,0.21115804195869714,0.09920600010082126,0.300836648066164,0.09050268881968503,0.3007792356034547,0.9435660731277538,0.3062247047298759,0.6635245801523275,0.9227189885137789,0.9819564686202413,0.06049308431343032,0.1262186212091379,0.2456500454137405
d-fast_v-9_n-0.28_s-20260713,20260713,lowrank,8,0.28,9,fast,0.21115804195869714,0.006945625063963234,0.3122490302458724,0.09749945688948775,0.3117951305240705,0.9390619416493966,0.33507404540880875,0.7855757033936634,1.1951359370529615,1.0720118712299844,0.061226789940096935,0.13083386901354643,0.26792765466430224
d-fast_v-9_n-0.28_s-20260714,20260714,framewise,0,0.28,9,fast,0.21978508296888322,0.0,0.3332531843204741,0.11105768485973591,0.33375008162736486,0.9302718343366855,0.38653028798755235,0.991429584715805,1.614238776192794,1.2227647987656325,0.05501014042756802,0.14226105715608472,0.29899968304968694
d-fast_v-9_n-0.28_s-20260714,20260714,lowrank,1,0.28,9,fast,0.21978508296888322,0.029692832962609828,0.35748959690536714,0.1277988118955619,0.35588783423243353,0.9193022274573572,0.17508660522744468,0.7993776887739841,0.9019674492294432,0.6221537093948761,0.048663068315779844,0.12432748987967387,0.3370106938957605
d-fast_v-9_n-0.28_s-20260714,20260714,lowrank,2,0.28,9,fast,0.21978508296888322,0.007357124937698245,0.3039093579841591,0.09236089787034375,0.3035461570227761,0.942371960612051,0.24277294620238046,0.6673722353800879,0.8575639718387612,0.7835568956788599,0.049248494262154816,0.13120245667179328,0.22467540680474343
d-fast_v-9_n-0.28_s-20260714,20260714,lowrank,3,0.28,9,fast,0.21978508296888322,0.03850850008893758,0.295668291046164,0.08741973833015912,0.29584726105961057,0.9455438960624987,0.27589996805430217,0.6020154510123668,0.7772859228845352,0.8881265282567506,0.04990576782106142,0.13258588473763658,0.224866058624154
