axis,condition,condition_value,seed,method,rank,view_count,frame_count,noise_level,bias,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
frame_count,frames_30,30,20260712,lowrank,3,5,30,0.14,none,smooth,0.19013695896137506,0.02020470902789384,0.35248829210937654,0.12424799607418517,0.3525351755508101,0.921636444471987,0.0926512991530217,0.7217383514618951,1.001778125659845,0.9143380192220515,0.06509657234726479,0.15791133197001292,0.26518588490188116
frame_count,frames_30,30,20260713,framewise,3,5,30,0.14,none,smooth,0.16306624992284924,0.0,0.3694774811941343,0.1365136091095619,0.3702033368384247,0.9135360094306203,0.21209396021918753,1.9516755126575822,7.752350877111646,2.0679533479208834,0.06919417126028499,0.15649955902381527,0.29314370074454715
frame_count,frames_30,30,20260713,lowrank,3,5,30,0.14,none,smooth,0.16306624992284924,0.04545308300293982,0.3526763662809761,0.1243806193331532,0.35275052472995816,0.92154923843039,0.09256151358278399,0.7209758397821062,1.0026037155279917,0.9142240348372026,0.06675747713159207,0.1574710763162845,0.260047418114178
frame_count,frames_30,30,20260714,framewise,3,5,30,0.14,none,smooth,0.19020787498448044,0.0,0.37035607346985844,0.1371636211560112,0.3710311516674405,0.9131047245499629,0.21405689047393295,1.970942266703156,7.866759189232925,2.087552724092275,0.06681513012011414,0.15754391747638846,0.2963129405989571
frame_count,frames_30,30,20260714,lowrank,3,5,30,0.14,none,smooth,0.19020787498448044,0.00942524999845773,0.35318759451953075,0.12474147692249248,0.3532745325940148,0.9213119157775553,0.09315715766730652,0.7204044622117305,0.9963959044025167,0.9194101521974237,0.06448133828404119,0.15811898204997712,0.2625056523222743
frame_count,frames_30,30,20260715,framewise,3,5,30,0.14,none,smooth,0.1935674169799313,0.0,0.3695205320496926,0.13654542360628788,0.3702034156550826,0.9135149051587057,0.21013129959048682,1.9353243843125396,7.681666413315114,2.0492201697077665,0.06810065096193617,0.1572741758879395,0.2982531214881133
frame_count,frames_30,30,20260715,lowrank,3,5,30,0.14,none,smooth,0.1935674169799313,0.0174000000115484,0.3532630417573742,0.12479477667167231,0.35335300919060486,0.921276857327571,0.09231104965082575,0.7208514553694851,1.003539076097715,0.9117105669424869,0.06549724498518085,0.15827649008142705,0.2668487019776438
frame_count,frames_30,30,20260716,framewise,3,5,30,0.14,none,smooth,0.19807599997147918,0.0,0.3695360639860131,0.13655690258627473,0.3702580673310896,0.9135072904123486,0.21022232112239447,1.9326401708517875,7.635180128724657,2.048874876421173,0.06992539506889137,0.15743888965842134,0.28944256013327657
frame_count,frames_30,30,20260716,lowrank,3,5,30,0.14,none,smooth,0.19807599997147918,0.01969887502491474,0.3533214660896197,0.12483605839971829,0.35340400887706197,0.9212497029359018,0.09270936749455551,0.7189759432078342,0.9930241615166204,0.9140872201990665,0.06744125914419756,0.15822993850004818,0.26156357014268183
frame_count,frames_30,30,20260717,framewise,3,5,30,0.14,none,smooth,0.18412370793521404,0.0,0.3695826979011137,0.13659137058786586,0.37021846863157154,0.9134844251866485,0.21058792822800054,1.9353441920584729,7.67895350569094,2.0510769847463743,0.07030231687170835,0.15663881571482857,0.2920263343087036
frame_count,frames_30,30,20260717,lowrank,3,5,30,0.14,none,smooth,0.18412370793521404,0.00996770802885294,0.35318435887853306,0.12473919135644042,0.3532178714863551,0.9213134191019466,0.0930497638995011,0.7221117746513422,1.0008926118359096,0.9175216567923609,0.06831580237531291,0.15759127713729526,0.2620870146286743
view_count,views_3,3,20260710,framewise,3,3,18,0.14,none,smooth,0.10092791600618511,0.0,0.5270581608220641,0.2777903048891369,0.528559207411391,0.8144403522197888,0.2866498157922617,1.5250065482310662,3.703216762628924,1.5602660249084703,0.04952428551075494,0.1932289596557765,0.5102393422688335
view_count,views_3,3,20260710,lowrank,3,3,18,0.14,none,smooth,0.10092791600618511,0.07626154203899205,0.5123233025071846,0.2624751662918682,0.5134012623583015,0.825757418643913,0.16650189765746565,0.9218824125638577,1.038127385682018,0.9211875746472162,0.045856800640993234,0.19800002452605547,0.4910241483015397
view_count,views_3,3,20260711,framewise,3,3,18,0.14,none,smooth,0.08763908303808421,0.0,0.5287555942240378,0.2795824784232153,0.5302824857900338,0.813105737487753,0.29001091849180133,1.5425054532879041,3.771575606617912,1.5775794562931715,0.054067586385462316,0.19370777834710162,0.5151315919629574
view_count,views_3,3,20260711,lowrank,3,3,18,0.14,none,smooth,0.08763908303808421,0.027619291911832988,0.5136159613505311,0.2638013557540303,0.514766783050783,0.8247835768524397,0.16741851658564968,0.9225646348988815,1.0333440744650988,0.9251153557537624,0.050563534723319155,0.19856154293420641,0.4941031061400841
view_count,views_3,3,20260712,framewise,3,3,18,0.14,none,smooth,0.07111845805775374,0.0,0.5285503486607108,0.27936547106935905,0.5301270403171406,0.813267457361763,0.29308580425028424,1.5590372677094038,3.8870509252629137,1.5932915977874902,0.053144106904326444,0.1942778044717638,0.5112494026481347
view_count,views_3,3,20260712,lowrank,3,3,18,0.14,none,smooth,0.07111845805775374,0.008028875105082989,0.5132895091295219,0.2634661201824255,0.5144324233489103,0.8250298541679948,0.16665271545410823,0.9214875331083842,1.0368916355612297,0.9204532769046432,0.049464480088075496,0.19829813137390878,0.4910059585508418
view_count,views_3,3,20260713,framewise,3,3,18,0.14,none,smooth,0.12026670901104808,0.0,0.528737558380694,0.27956340564237786,0.5302824386219916,0.8131199523400647,0.29047260345854725,1.5479202087625148,3.844262761762617,1.5818113694435851,0.050882728041661336,0.19380634559814355,0.506682687757574
view_count,views_3,3,20260713,lowrank,3,3,18,0.14,none,smooth,0.12026670901104808,0.09508512495085597,0.5136736722317116,0.2638606415440119,0.5148238858581398,0.8247400155124455,0.16625964712664387,0.91861734448097,1.0194406985320494,0.9185857344784047,0.04715862089713887,0.19844133588301735,0.48497957300407135
view_count,views_3,3,20260714,framewise,3,3,18,0.14,none,smooth,0.1317474580137059,0.0,0.5281133949330539,0.27890375790771577,0.5296027372135652,0.8136114318094394,0.28859366077839266,1.5362167031705931,3.716778859207612,1.574471861996768,0.05261732650004641,0.19256139741374528,0.511988711250633
