rank,noise_level,view_count,dynamics,seed_count,rel_l2_global_improvement_pct_mean,rel_l2_global_improvement_pct_std,rel_l2_global_improvement_pct_ci95,rel_l2_global_improvement_pct_win_rate,paper_l2_squared_improvement_pct_mean,paper_l2_squared_improvement_pct_std,paper_l2_squared_improvement_pct_ci95,paper_l2_squared_improvement_pct_win_rate,temporal_gradient_rel_l2_improvement_pct_mean,temporal_gradient_rel_l2_improvement_pct_std,temporal_gradient_rel_l2_improvement_pct_ci95,temporal_gradient_rel_l2_improvement_pct_win_rate,temporal_curvature_rel_l2_improvement_pct_mean,temporal_curvature_rel_l2_improvement_pct_std,temporal_curvature_rel_l2_improvement_pct_ci95,temporal_curvature_rel_l2_improvement_pct_win_rate,centroid_rmse_improvement_pct_mean,centroid_rmse_improvement_pct_std,centroid_rmse_improvement_pct_ci95,centroid_rmse_improvement_pct_win_rate,mass_trace_rmse_improvement_pct_mean,mass_trace_rmse_improvement_pct_std,mass_trace_rmse_improvement_pct_ci95,mass_trace_rmse_improvement_pct_win_rate,heldout_reprojection_rel_l2_improvement_pct_mean,heldout_reprojection_rel_l2_improvement_pct_std,heldout_reprojection_rel_l2_improvement_pct_ci95,heldout_reprojection_rel_l2_improvement_pct_win_rate,dynamics_energy_closeness_gain_mean,dynamics_energy_closeness_gain_std,dynamics_energy_closeness_gain_ci95,dynamics_energy_closeness_gain_win_rate,lowrank_rel_l2_global_mean,lowrank_rel_l2_global_std,lowrank_rel_l2_global_ci95,lowrank_temporal_gradient_rel_l2_mean,lowrank_temporal_gradient_rel_l2_std,lowrank_temporal_gradient_rel_l2_ci95,lowrank_mass_trace_rmse_mean,lowrank_mass_trace_rmse_std,lowrank_mass_trace_rmse_ci95,lowrank_heldout_reprojection_rel_l2_mean,lowrank_heldout_reprojection_rel_l2_std,lowrank_heldout_reprojection_rel_l2_ci95
1,0.0,5,smooth,8,-12.951346823687416,0.0,0.0,0.0,-27.580067492705854,0.0,0.0,0.0,-25.78333501370009,0.0,0.0,0.0,-15.774323781470716,0.0,0.0,0.0,-2.0525192649957127,0.0,0.0,0.0,1.5445517440813836,0.0,0.0,1.0,-39.573038463909654,0.0,0.0,0.0,-0.3726317170328357,0.0,0.0,0.0,0.3933854944212637,0.0,0.0,0.8468350791532334,0.0,0.0,0.14732289847079183,0.0,0.0,0.3433167914758133,0.0,0.0
2,0.0,5,smooth,8,-2.257862036939643,0.0,0.0,0.0,-4.566703483633441,0.0,0.0,0.0,-12.046563100998675,0.0,0.0,0.0,-12.651440334015238,0.0,0.0,0.0,-0.13421276168294116,0.0,0.0,0.0,-4.467437592264119,0.0,0.0,0.0,-5.390825044816399,0.0,0.0,0.0,-0.19377743771896438,0.0,0.0,0.0,0.3561423634783617,0.0,0.0,0.7543523959047003,0.0,0.0,0.1563188830536834,0.0,0.0,0.2592365997298032,0.0,0.0
3,0.0,5,smooth,8,-0.5587322394414111,0.0,0.0,0.0,-1.120586296030725,0.0,0.0,0.0,-3.504111074747048,0.0,0.0,0.0,-5.939380077190967,0.0,0.0,0.0,-0.13016066729441803,0.0,0.0,0.0,-4.961531483031677,0.0,0.0,0.0,-4.256095938202818,0.0,0.0,0.0,-0.06853570104071116,0.0,0.0,0.0,0.3502246561267193,0.0,0.0,0.6968404207528718,0.0,0.0,0.15705821587268468,0.0,0.0,0.2564454334675694,0.0,0.0
5,0.0,5,smooth,8,0.0074040031998018445,0.0,0.0,1.0,0.014807458206871387,0.0,0.0,1.0,-0.284025315742908,0.0,0.0,0.0,-1.8574203934517604,0.0,0.0,0.0,-0.021138866363388693,0.0,0.0,0.0,-0.0695071562641805,0.0,0.0,0.0,-0.023242304603067837,0.0,0.0,0.0,-0.009400279982614279,0.0,0.0,0.0,0.34825292412011105,0.0,0.0,0.6751612247106243,0.0,0.0,0.14973808056295002,0.0,0.0,0.24603361078124014,0.0,0.0
8,0.0,5,smooth,8,-0.0016904289137820118,0.0,0.0,0.0,-0.0033808864030715775,0.0,0.0,0.0,-0.19543776146401823,0.0,0.0,0.0,-0.8508292466755809,0.0,0.0,0.0,0.005343872462403402,0.0,0.0,1.0,-0.018550126313902487,0.0,0.0,0.0,-0.005349101427440995,0.0,0.0,0.0,-0.0010936306988597044,0.0,0.0,0.0,0.34828459809102064,0.0,0.0,0.674564809863366,0.0,0.0,0.14966183148295725,0.0,0.0,0.245989597717033,0.0,0.0
1,0.0,5,transient,8,-12.623734799153853,0.0,0.0,0.0,-26.84105640096246,0.0,0.0,0.0,-26.425540576633438,0.0,0.0,0.0,-20.035281844492232,0.0,0.0,0.0,-3.409415879701499,0.0,0.0,0.0,0.14431539102236104,0.0,0.0,1.0,-36.49907015439212,0.0,0.0,0.0,-0.3913754990445686,0.0,0.0,0.0,0.39301815195129564,0.0,0.0,0.8573885504499932,0.0,0.0,0.14903048874487687,0.0,0.0,0.3447684204119491,0.0,0.0
2,0.0,5,transient,8,-2.493096502817601,0.0,0.0,0.0,-5.048348307332011,0.0,0.0,0.0,-14.212827756902772,0.0,0.0,0.0,-17.71814659094907,0.0,0.0,0.0,-0.20857967306360514,0.0,0.0,0.0,-4.990662781721595,0.0,0.0,0.0,-6.351257484313207,0.0,0.0,0.0,-0.21786297931763754,0.0,0.0,0.0,0.3576657038334666,0.0,0.0,0.7745647784983434,0.0,0.0,0.1566942317734299,0.0,0.0,0.26862128079105585,0.0,0.0
3,0.0,5,transient,8,-0.821940778960595,0.0,0.0,0.0,-1.650637424353555,0.0,0.0,0.0,-6.239798927977466,0.0,0.0,0.0,-12.335705588836518,0.0,0.0,0.0,0.03279147268022816,0.0,0.0,1.0,-5.44681039279838,0.0,0.0,0.0,-4.374442012808044,0.0,0.0,0.0,-0.09562969850483227,0.0,0.0,0.0,0.3518339443434615,0.0,0.0,0.7204935552379407,0.0,0.0,0.15737501326008474,0.0,0.0,0.26362825375586924,0.0,0.0
5,0.0,5,transient,8,-0.01087241436498791,0.0,0.0,0.0,-0.02174601082380096,0.0,0.0,0.0,-0.8302838962147194,0.0,0.0,0.0,-3.978490876457619,0.0,0.0,0.0,0.00799130162974397,0.0,0.0,1.0,-0.01992769592881502,0.0,0.0,0.0,-0.15383082301566592,0.0,0.0,0.0,-0.01671775170308254,0.0,0.0,0.0,0.34900359432595585,0.0,0.0,0.6838074850770262,0.0,0.0,0.14927561477467993,0.0,0.0,0.2529678627990953,0.0,0.0
8,0.0,5,transient,8,-0.004364456583053891,0.0,0.0,0.0,-0.008729103650888928,0.0,0.0,0.0,-0.28933246318683986,0.0,0.0,0.0,-1.3365294786211124,0.0,0.0,0.0,0.005752552407451378,0.0,0.0,1.0,-0.0267271941069108,0.0,0.0,0.0,-0.009418589390554961,0.0,0.0,0.0,-0.0017209366201553777,0.0,0.0,0.0,0.34898088378856335,0.0,0.0,0.6801388785366648,0.0,0.0,0.14928576274513025,0.0,0.0,0.2526031073643592,0.0,0.0
