field,view_index,count,sum_prediction_x,sum_prediction_y,sum_prediction_z,sum_observation_x,sum_observation_y,sum_observation_z,sum_prediction_squared_x,sum_prediction_squared_y,sum_prediction_squared_z,sum_observation_squared_x,sum_observation_squared_y,sum_observation_squared_z,sum_product_x,sum_product_y,sum_product_z,prediction_squared_total,observation_squared_total,product_total
support_masked_ground_truth,11,512,-23.22966257650906,88.88546684008712,-0.9158191875957714,-27.475808948170425,86.17824216313338,-15.858703319581174,6104.369803383741,1508.4237892749468,2056.625568495329,5231.2382285576105,1352.14603564661,1743.7698501812126,5605.339949367381,1411.5911761017442,1873.0487136653335,9669.41916115402,8327.154114385437,8889.979839134461
support_masked_ground_truth,12,512,2.2031668058161875,115.22069621743184,12.888279748442226,0.4675379890630573,117.29968844291821,0.1287401198343634,6269.5716904358615,1032.5942889578002,453.4093860281391,5832.17768031289,925.7597272969801,418.73469402324287,6005.784144101549,959.9335441205966,426.5942791788886,7755.575365421802,7176.672101633116,7392.311967401033
released_cgls_tv,1,512,76.57942995025041,22.547081345263173,-14.589807356755845,111.94492881724031,92.11210377837568,0.044685245124128414,5208.577350232591,1204.6066250082722,13.07480490886055,5735.425629451227,1119.2650830670973,3.8999436168035755e-06,5360.146185527731,1137.7108730740772,-0.0012733381211922782,6426.258780149728,6854.690716418272,6497.855785263692
released_cgls_tv,2,512,1.9666253613047566,-8.180823913856814,-4.64893435531901,-7.7461187249004695,56.35062214498428,2.0821135271983877,4583.393267230262,1089.5053937743203,339.0861257051578,4998.958185667067,944.0368556872725,358.89714421611984,4689.284730784266,989.9283484060471,329.87168371063683,6011.984786709738,6301.8921855704575,6009.0847629009495
released_cgls_tv,3,512,-184.5591814589784,66.81195825122722,105.72109469469876,-190.13900875600743,121.30286631022739,109.77703499343943,4130.507033883329,1127.1038609873565,1398.850313401268,4491.516445720059,1018.0095762369745,1497.1592788355647,4227.837442124331,1052.5686766442739,1411.9234699492577,6656.46120827195,7006.685300792602,6692.329588717866
released_cgls_tv,4,512,1.9303644232562032,10.357096011608315,-8.894209855589532,17.496643065985285,72.10188685668797,-17.50060958384911,2862.028623190858,1505.7030516244781,2905.7002130241785,3149.532702357319,1306.4824515117057,3149.505452107753,2945.7532061336133,1377.1903018941705,2968.445745487644,7273.431887839515,7605.520605976776,7291.389253515432
released_cgls_tv,5,512,13.498451160365445,-23.836399131252413,-33.14179405141162,10.396842360444728,43.772300035052226,-18.00597018026326,1143.577977908259,1025.5278502973567,3382.54458310028,1288.9416541014634,921.4590626990906,3866.8262624867884,1177.196895327506,948.8787835474328,3542.100310299563,5551.650411305897,6077.226979287343,5668.1759891745005
released_cgls_tv,6,512,-0.6200681075691648,27.88284452316198,-1.7263767413517344,-5.966527481813621,81.15454529551471,22.274879072488705,434.3339776033893,1490.8356133350028,5819.279998164141,452.2697877571175,1299.1298317839687,6299.417597136366,428.66062258765857,1370.2084861080884,5952.192774506099,7744.449589102533,8050.81721667746,7751.061883201852
released_cgls_tv,7,512,-0.5247631651735133,-15.965796676605171,-29.144851716041998,0.044685245124128414,40.09915357764617,10.39220129374295,20.94535781493362,1555.1888428653237,6043.541230390449,3.8999436168035755e-06,1388.8272476221741,6511.018076474843,-4.5799161460726475e-05,1443.428280822779,6156.573300504009,7619.675431070699,7899.845327996965,7600.001535527626
released_cgls_tv,8,512,-6.404183673558899,-21.55411063191207,7.937500645903558,-4.91197399235754,31.602391794875164,-18.339611308712144,312.39974608009874,1233.1628810623197,4163.809084609794,340.13194819716375,1118.6344947799416,4737.55208730056,309.1530352545532,1155.093336380964,4353.385980436248,5709.37171175221,6196.3185302776665,5817.632352071769
