variant_id,learning_rate,model_seed,training_seed,parameter_count,attempted_epochs,best_checkpoint_epoch,best_validation_rel_l2,endpoint_validation_rel_l2,train_seconds,batch_order_contract_sha256,selected_checkpoint_sha256,selection_scope,mean_validation_rel_l2_for_cell,global_validation_champion
r48_p822,0.001,20260903,20261004,28833,24,21,0.2028358057141304,0.20285084694623948,1.9438064579999264,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,a4a22cc71c12b3498246db1787d8924dba8dcf0dbe3dba95dcbbbaf096b3a255,validation_only,0.20253501037756602,False
r48_p822,0.002,20260901,20261002,28833,24,23,0.20033494681119918,0.20033217072486878,1.9751784169998245,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,48603200ec34d4815741a37ad94a01ed51f1197c7c32f99253cf5945bafbf09a,validation_only,0.19989105115334194,False
r48_p822,0.002,20260902,20261003,28833,24,23,0.1998160034418106,0.1998093083500862,1.9625684590000674,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,c0130309afac1fb3fe6db02d31e3bd8417033643a8ea34813858aa47b5e5f769,validation_only,0.19989105115334194,False
r48_p822,0.002,20260903,20261004,28833,24,21,0.199522203207016,0.19961532354354858,1.9970475420000184,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,12052ba9265d26ba07605d481f03803010ce2310ca6b54cb6b40f60e5912f682,validation_only,0.19989105115334194,False
r48_p822,0.004,20260901,20261002,28833,24,19,0.19776225537061692,0.19777190834283828,1.9601079159997425,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,aab9e44581dbe4bf11b1ef96848fe41abc496ca0bc6cb837aeaf375b4f0c3ade,validation_only,0.196057170132796,False
r48_p822,0.004,20260902,20261003,28833,24,23,0.1952165335416794,0.19523069858551026,1.9342966659996819,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,93ab93b40e50568c7fb3c69e8881eda231edc2bcdb7ce3cd24c761a34e36275f,validation_only,0.196057170132796,False
r48_p822,0.004,20260903,20261004,28833,24,19,0.19519272148609162,0.19551025629043578,1.978248375000021,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,380f1424c06a9238cbaa42b7c8db0a7c8ee16f99d1ee5b87647c977cefc98951,validation_only,0.196057170132796,False
r48_p284,0.001,20260901,20261002,49313,24,23,0.18667769357562064,0.18668498620390891,2.099789249999958,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,b1d60043cb2724e6896f4b0e5fdc1628ed9b1c20f99ce370946e0b4de472fb2b,validation_only,0.18679242928822837,False
r48_p284,0.001,20260902,20261003,49313,24,24,0.18721989467740058,0.18721989467740058,2.139036500000202,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,3ddd03e659e3dca7878386feb0fdf2a7475899e1f11ddd0af7a849fea42f3eda,validation_only,0.18679242928822837,False
r48_p284,0.001,20260903,20261004,49313,24,24,0.18647969961166383,0.18647969961166383,2.1000789580002674,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,520e5fd767c7c16409a85d32327e9a16cd6dd248fdb59ffb8a62bfd0b2bc3802,validation_only,0.18679242928822837,False
r48_p284,0.002,20260901,20261002,49313,24,21,0.18505965024232865,0.18507468774914743,2.0955463330001294,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,2c046b099556ed2af92d6aea4d47cf2f01a3c33dda2478156236d4c4f4dea560,validation_only,0.18521712621053063,False
r48_p284,0.002,20260902,20261003,49313,24,23,0.18565443605184556,0.1856490172445774,2.340822582999863,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,2d2824e91931c5388281cb43de27fbcff15c9bf66e1ec6f7a10dd28311c2485b,validation_only,0.18521712621053063,False
r48_p284,0.002,20260903,20261004,49313,24,21,0.1849372923374176,0.18496600165963173,2.107726791999994,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,32985abc62579c2c4b09f2815d41e2de202c532a16b51f31c99823d59deee980,validation_only,0.18521712621053063,False
r48_p284,0.004,20260901,20261002,49313,24,21,0.1855108618736267,0.18552691116929054,2.178129957999772,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,7f1df2ac95645bf97c095f88e96e403a418f81eb896542ed02e49cf26a84b1b3,validation_only,0.18730959991614027,False
r48_p284,0.004,20260902,20261003,49313,24,23,0.18655091375112534,0.18654997646808624,2.096858916000201,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,f23eae3c0fea2ba565f61fa2647e95de5317aec528150b8470bc1bb70aaf4046,validation_only,0.18730959991614027,False
r48_p284,0.004,20260903,20261004,49313,24,19,0.18986702412366868,0.18989885747432708,2.117380583999875,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,c0bc97f6e543bda49a2f00b1f044d1cd70892d300b9eacee1ecdc327afea8e50,validation_only,0.18730959991614027,False
r48_p248,0.001,20260901,20261002,49313,24,23,0.18653634041547776,0.1865459255874157,2.1017629580001085,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,eb572c65782dfc25b27e4089d5a8172bf1c481b0ae0bf52be2a8f3c997fb8925,validation_only,0.18670139635602634,False
r48_p248,0.001,20260902,20261003,49313,24,22,0.18679061457514762,0.18679260164499284,2.30100208299973,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,7437ba5af0b636a1e6c53f2c23f51e01df6a79be3ce0caa062b175c068fc2fb9,validation_only,0.18670139635602634,False
r48_p248,0.001,20260903,20261004,49313,24,24,0.1867772340774536,0.1867772340774536,2.1289409999999407,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,4eb881d79b2ff3eb543eaa971d262fb30c43a814bc85bf299900aa1277668087,validation_only,0.18670139635602634,False
r48_p248,0.002,20260901,20261002,49313,24,23,0.18621760606765747,0.18622510358691216,2.0797701669998787,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,9eeb9f572afac62c86efeb7eda7887d01447d0563b97ea1a29b50b5c1ece0698,validation_only,0.18583467081189156,False
r48_p248,0.002,20260902,20261003,49313,24,22,0.1854587748646736,0.1854749172925949,2.1018804999998792,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,deb7e4c29fb1b2f57ed7d6aaf8a99a9027e895601b514dc0cc9bb3b042441c39,validation_only,0.18583467081189156,False
r48_p248,0.002,20260903,20261004,49313,24,21,0.18582763150334358,0.1858445808291435,2.0915302079997673,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,b5d813405502c074a25b3b6b8aa199eb226d5fcf19a302fbf6c3d481271ba1bb,validation_only,0.18583467081189156,False
r48_p248,0.004,20260901,20261002,49313,24,22,0.18652426898479463,0.1865325652062893,2.117674083000111,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,06c9de9bcedbd7e65c75ef65bce7dc94d1843131950d0a7de1862d3ea079f35a,validation_only,0.18731485332051914,False
r48_p248,0.004,20260902,20261003,49313,24,22,0.18687888085842133,0.18688725531101227,2.0798957080000946,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,eb938c70a215275f378dda109184ceeda0ace12a80707dca18ddb926a9e417c8,validation_only,0.18731485332051914,False
r48_p248,0.004,20260903,20261004,49313,24,22,0.18854141011834144,0.18858417198061944,2.0999596670003484,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,3dcd15949459eaa38b30cbf2d21123c629b3f286355ba1782a66721801ad0b8b,validation_only,0.18731485332051914,False
