case_id,split,family,base_seed,geometry_cluster_id,checkpoint,tail_safe_weight,unconstrained_weight,checkpoint_is_tail_safe,checkpoint_is_kselect
1b6f07d0df0e52b58abb,ood,smooth_no_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,12,0.5823331149460593,0.5817876172013524,True,True
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,1,0.001346347968415737,0.05151641638601169,False,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,2,0.01851000901030159,2.7011068460078607e-09,False,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,3,1.6570530469075074e-12,2.412304338453683e-09,False,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,4,0.7223410586015823,2.2777647125015814e-09,True,True
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,6,1.6148557363063618e-12,2.8872465468837117e-09,False,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,8,0.011338789872044702,4.713586396996216e-09,False,False
0f995fa303b15aa0a03b,ood,single_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,12,0.24646379454431877,0.9484835686219797,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,1,3.921723487569865e-11,0.04016755006763396,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,2,0.020912744340019395,2.8711326222502475e-09,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,3,0.07958382967056804,0.12048079618109998,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,4,0.5923171247435788,0.06564470531706429,True,True
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,6,0.15690771368506987,0.7737069451476141,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,8,0.05083879603878345,2.9266693957456995e-10,False,False
c598c609055fd1cb12e3,ood,two_interface,101,e1307b5115515e752d7bc1e7a23cb56e80847f1430d60feb2c654829cec2ea26,12,0.09943979148277184,1.2278813347639464e-10,False,False
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,1,0.04181800047784939,0.0746305190132478,False,False
706d1a070ba7cd1a80d5,ood,smooth_no_interface,211,fae74231ed92c5a1c4e37810a6615791a8ec98be3225a84d6edc15ee1d5590d0,2,1.335118690490352e-10,1.93964653354485e-08,False,False
