case_id,split,family,base_seed,geometry_digest,warm_checkpoint,method,candidate_paired_call_budget,paired_call_budget,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,full_path_seconds_through_maximum_budget,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,measured_data_residual_norm,clean_reprojection_relative_l2
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,6,zero_start_cgls_pair_rounded,20,20,20,20,0,0.007906291051767766,0.61740277280272,0.06273272391387028,0.05976212146765661,0.016149694419365687,1.1193366859202345,0.0011354540708966724,0.007773092552836787,0.016441708092128166
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,7,zero_start_cgls_componentwise,21,20,20,20,0,0.007906291051767766,0.61740277280272,0.06273272391387028,0.05976212146765661,0.016149694419365687,1.1193366859202345,0.0011354540708966724,0.007773092552836787,0.016441708092128166
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,7,zero_start_cgls_pair_rounded,21,21,21,21,0,0.007906291051767766,0.6173924964527797,0.06273167976011514,0.059761126758043306,0.016148027854598263,1.1193088198725674,0.000967134686215951,0.006620811549936716,0.01641296665275027
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,8,zero_start_cgls_componentwise,22,21,21,21,0,0.007906291051767766,0.6173924964527797,0.06273167976011514,0.059761126758043306,0.016148027854598263,1.1193088198725674,0.000967134686215951,0.006620811549936716,0.01641296665275027
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,8,zero_start_cgls_pair_rounded,22,22,22,22,0,0.007906291051767766,0.6173908133790715,0.06273150874728053,0.05976096384323336,0.0161439172078783,1.1193188747488154,0.0008135256443850239,0.005569234626035731,0.016413719993497694
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,9,zero_start_cgls_componentwise,23,22,22,22,0,0.007906291051767766,0.6173908133790715,0.06273150874728053,0.05976096384323336,0.0161439172078783,1.1193188747488154,0.0008135256443850239,0.005569234626035731,0.016413719993497694
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,9,zero_start_cgls_pair_rounded,23,23,23,23,0,0.007906291051767766,0.6173912502392218,0.06273155313552822,0.05976100612955037,0.01613971662015327,1.119336533359538,0.0006714163511794623,0.004596382692154583,0.01644158592433965
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,10,zero_start_cgls_componentwise,24,23,23,23,0,0.007906291051767766,0.6173912502392218,0.06273155313552822,0.05976100612955037,0.01613971662015327,1.119336533359538,0.0006714163511794623,0.004596382692154583,0.01644158592433965
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,10,zero_start_cgls_pair_rounded,24,24,24,24,0,0.007906291051767766,0.6173916863626622,0.06273159744892068,0.05976104834455678,0.01613713294277889,1.1193605624220202,0.0005538612620061404,0.0037916239514689224,0.016450551563862305
e8ad7f781d1e2915a075,ood,smooth_no_interface,3181,d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,0,zero_start_huber_pdhg_pair_rounded,13,13,13,13,0,0.00800916610751301,0.636089666910677,0.06463145164967325,0.06157093815058686,0.019492689979500637,0.9303407020519825,0.22651863518407805,1.5507014870602727,0.2248599626405164
