method,split,warm_checkpoint,case_model_count,paired_call_budget,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,model_seed_count,per_model_seed_field_gain_means,gate_checks,passed_all_gates
pooled_cnn,ood,3,54,17,0.3772750941103282,0.32086971849509577,12.777870304995373,2.226390183622541,10.682486726173137,2.2218473137867436,0.0,0.16782382780987293,0.0,2.6440812441755125e-15,6.669282463277641e-15,3,"[0.35947997537021503,0.38383188467082185,0.3885134222899478]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,4,54,18,0.37077515331544286,0.31340718574216836,11.144138332735974,1.6874083416091719,9.079188667462946,1.6855387452219281,0.0,0.15295343750854618,0.0,2.5307179555836977e-15,1.0516167868974204e-14,3,"[0.3529581182410445,0.37705822313596815,0.382309118569316]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,5,54,19,0.3625796865012231,0.30944092161802683,10.13552976432725,1.4094331794716208,8.453472784693535,1.4108768887602776,0.0,0.1352375349524555,0.0,2.606230192796012e-15,1.3400110952242783e-14,3,"[0.3451205893749701,0.3687075107380016,0.3739109593906975]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,6,54,20,0.3545376879285974,0.30553360301943033,10.002473899267587,1.268456141697806,8.131303514236432,1.2657602717361773,0.0,0.11281921269529549,0.0,2.4321950330032073e-15,1.8797338705113092e-14,3,"[0.3363745369541557,0.3611848477143991,0.36605367911723746]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,7,54,21,0.34531192598968957,0.2996750010104216,9.595101095154018,1.1572756694224753,7.80105526883923,1.1574162333702127,0.0,0.09077483981154166,0.0,2.8891273427997184e-15,2.7074722458319887e-14,3,"[0.3271373176201285,0.35175489441636665,0.3570435659325737]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,8,54,22,0.33760077566147856,0.2951756901659755,9.836754296254462,1.0835280688915874,7.633386499180226,1.0851265934237693,0.0,0.07524620142421334,0.0,2.5624848239076695e-15,3.165853566494875e-14,3,"[0.31948354388351596,0.3437866206641718,0.3495321624367478]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,9,54,23,0.33126671453275197,0.29191278595900405,9.947248923965041,1.0398462423267965,7.815106083026869,1.0404454335596631,0.0,0.06639100696340683,0.0,2.7552782604749207e-15,4.130392364815244e-14,3,"[0.31317331423437217,0.337422082676403,0.34320474668748074]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
pooled_cnn,ood,10,54,24,0.3259225314421486,0.2893021468040736,9.881200494517296,1.016299629816112,7.944557090131644,1.017341245514336,0.0,0.059247843038171544,0.0,2.640193534683305e-15,5.200240591417849e-14,3,"[0.30792649649719855,0.3318997726983599,0.3379413251308874]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":true,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
grid_deeponet,development,0,18,13,0.0075464713844437354,-0.05331356908610759,10.423456677874373,3.6607232032387773,10.423456677874373,3.6607232032387773,0.16666666666666666,-0.3189471776109398,0.0,0.0,0.0,3,"[0.006689776887815728,0.008679229293951965,0.007270407971563512]","{""field_gain"":false,""h1_gain"":false,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
grid_deeponet,development,1,18,15,0.01612229874843217,-0.03044650706711921,9.372936818093168,2.424395141910248,7.427876321333471,2.3481535156373052,0.16666666666666666,-0.30486305397766134,0.0,7.816314752464764e-15,4.529796293239703e-15,3,"[0.01479980021214422,0.017568221018848567,0.01599887501430373]","{""field_gain"":false,""h1_gain"":false,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
