method,model_seed,split,warm_checkpoint,case_count,paired_call_budget,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,neural_inference_seconds_mean
grid_deeponet,43,development,2,6,16,0.642802980665471,1.1536008043993615,0.021368347256550718,-0.1196041833182719,6.985308378781132,1.7363426640917698,5.548827126343862,1.7006292857772236,0.16666666666666666,-0.28999853639051243,0.0,6.267005501086121e-15,7.75025243038969e-15,0.004430131967334698
grid_deeponet,43,development,3,6,17,0.6402025929812422,1.1462723077940657,0.020006336461964352,-0.12982693407987458,5.558502571654281,1.3734261815167494,4.247753474401492,1.3641784297320754,0.16666666666666666,-0.2723156186322593,0.0,1.1337849104692174e-14,1.3800845481672254e-14,0.004430131967334698
grid_deeponet,43,development,4,6,18,0.6391284643301092,1.143536308674751,0.0161807781176303,-0.12122209486801228,4.713324739184049,1.187120994630946,3.679515640003677,1.179283401638474,0.16666666666666666,-0.2596321841056002,0.0,8.224519645964198e-15,2.4759931707604136e-14,0.004430131967334698
grid_deeponet,43,development,5,6,19,0.6391289904343509,1.1432675448223577,0.010982310169201537,-0.1322775716988567,4.323234379396932,1.1100911066643269,3.5652641807390952,1.102885346913947,0.16666666666666666,-0.2550775614723251,0.0,1.0744071058828923e-14,3.3599950454551555e-14,0.004430131967334698
grid_deeponet,43,development,6,6,20,0.6393136991048466,1.1430351666325012,0.005129747839359489,-0.12773400405611615,4.260561177587869,1.055626472210621,3.3587342988408486,1.0511154166814298,0.16666666666666666,-0.2529024575099974,0.0,7.791430381316335e-15,3.9568031972146126e-14,0.004430131967334698
grid_deeponet,43,development,7,6,21,0.6393995521599657,1.1429581979533359,-0.00037723778790743623,-0.12460154717755208,4.589109296741119,1.0260773481080305,3.3436571910130533,1.0236074696093829,0.16666666666666666,-0.2518053717100104,0.0,9.87379418898195e-15,4.330276614216885e-14,0.004430131967334698
grid_deeponet,43,development,8,6,22,0.6395946353080946,1.143421173574988,-0.005878744365443851,-0.12304556719977251,4.70453429086549,1.016492907815543,3.6720293662161048,1.0141867690874176,0.16666666666666666,-0.25205531630178557,0.0,1.2000091395964147e-14,6.28744189888818e-14,0.004430131967334698
grid_deeponet,43,development,9,6,23,0.6399402762622043,1.1439766022336877,-0.01143358260362981,-0.12242852963048383,5.096816086614973,1.008116801184544,4.114139257087709,1.0075959277141857,0.16666666666666666,-0.25435607164515783,0.0,8.92466699360794e-15,7.051240890415856e-14,0.004430131967334698
grid_deeponet,43,development,10,6,24,0.6404952338802691,1.144895697009146,-0.01715432552253197,-0.12285799936659214,5.295339648626339,1.005792549727377,4.239348685354763,1.0061762712475717,0.16666666666666666,-0.2579471453883688,0.0,1.2353617619202805e-14,9.717000088080443e-14,0.004430131967334698
grid_deeponet,43,ood,0,18,13,0.6356871884621939,1.2279779225259402,0.024413056728659177,-0.09709476824880604,13.499597945992786,4.785659171794174,13.499597945992786,4.785659171794174,0.16666666666666666,-0.14722164856766295,0.0,0.0,0.0,0.004900499939038936
