case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,output_relative_l2,position_tangent_relative_l2,direction_tangent_relative_l2,teacher_valid_ray_fraction,output_gate_met,position_gate_met,direction_gate_met,teacher_valid_gate_met
wrinkled-s3001-orientation_22-narrow,10.0,True,wrinkled-s3001-orientation_22-narrow__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,narrow,1.136602966732388e-14,5.803229213249905e-15,3.834948804602932e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_22-wide,1.0,True,wrinkled-s3001-orientation_22-wide__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,1.2514467528679051e-14,6.113411254368619e-15,4.1832846843318005e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_22-wide,3.0,True,wrinkled-s3001-orientation_22-wide__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,1.2874325928501262e-14,6.085507860840374e-15,4.1762530765397526e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_22-wide,10.0,True,wrinkled-s3001-orientation_22-wide__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_22,wide,1.222830788048619e-14,6.092425588141236e-15,4.167519737134709e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-narrow,1.0,True,wrinkled-s3001-orientation_58-narrow__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,1.5084886337749296e-14,2.2592868846536244e-15,2.2347407441706847e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-narrow,3.0,True,wrinkled-s3001-orientation_58-narrow__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,1.5240524138170985e-14,2.2377170201692384e-15,2.2121217628279037e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-narrow,10.0,True,wrinkled-s3001-orientation_58-narrow__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,narrow,1.520744906107696e-14,2.2387462517596633e-15,2.2122360237350913e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-wide,1.0,True,wrinkled-s3001-orientation_58-wide__stress_1,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.46986904808919e-14,2.2952616846718708e-15,2.429527109474958e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-wide,3.0,True,wrinkled-s3001-orientation_58-wide__stress_3,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.4555268937964354e-14,2.292406326564443e-15,2.435124268629866e-15,1.0,True,True,True,True
wrinkled-s3001-orientation_58-wide,10.0,True,wrinkled-s3001-orientation_58-wide__stress_10,wrinkled-s3001,wrinkled-s3001,wrinkled,orientation_58,wide,1.4837308178485045e-14,2.29902672804068e-15,2.4546160463235133e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_22-narrow,1.0,True,wrinkled-s3163-orientation_22-narrow__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,3.5977202827300015e-14,2.7939818679898448e-14,1.3210988861549575e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_22-narrow,3.0,True,wrinkled-s3163-orientation_22-narrow__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,3.591403948033552e-14,2.796028078570493e-14,1.3228705639890128e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_22-narrow,10.0,True,wrinkled-s3163-orientation_22-narrow__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,narrow,3.536124157805053e-14,2.7928235814745075e-14,1.3221659987466446e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_22-wide,1.0,True,wrinkled-s3163-orientation_22-wide__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,3.515798476893518e-14,2.0814108340060298e-14,1.2892852942700662e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_22-wide,3.0,True,wrinkled-s3163-orientation_22-wide__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,3.559000386223606e-14,2.0876253494943794e-14,1.292772144527461e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_22-wide,10.0,True,wrinkled-s3163-orientation_22-wide__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_22,wide,3.5644675936202645e-14,2.089457344242339e-14,1.2939617976200982e-14,1.0,True,True,True,True
wrinkled-s3163-orientation_58-narrow,1.0,True,wrinkled-s3163-orientation_58-narrow__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.7260300935003566e-14,2.891177815064295e-15,2.5317675917153293e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_58-narrow,3.0,True,wrinkled-s3163-orientation_58-narrow__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.7250452354601307e-14,2.890849319264702e-15,2.5197055236456387e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_58-narrow,10.0,True,wrinkled-s3163-orientation_58-narrow__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,narrow,1.697710863127261e-14,2.8796477561371294e-15,2.5162596417999598e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_58-wide,1.0,True,wrinkled-s3163-orientation_58-wide__stress_1,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,1.6070524040356147e-14,3.4483302619363227e-15,3.0113147893489254e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_58-wide,3.0,True,wrinkled-s3163-orientation_58-wide__stress_3,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,1.6116318721919597e-14,3.444255308836744e-15,3.011326459452834e-15,1.0,True,True,True,True
wrinkled-s3163-orientation_58-wide,10.0,True,wrinkled-s3163-orientation_58-wide__stress_10,wrinkled-s3163,wrinkled-s3163,wrinkled,orientation_58,wide,1.586381597452205e-14,3.4371905426021844e-15,3.0359867336009714e-15,1.0,True,True,True,True
