case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,high256_to_high512_output_relative_l2,matched_residual_256_to_512_relative_l2,output_convergence_gate_met,matched_residual_convergence_gate_met
smooth-s1987-orientation_22-narrow,3.0,True,smooth-s1987-orientation_22-narrow__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,1.7671909779883127e-05,0.009890265702042034,True,True
smooth-s1987-orientation_22-narrow,10.0,True,smooth-s1987-orientation_22-narrow__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_22,narrow,1.936655611699533e-05,0.007905514242216291,True,True
smooth-s1987-orientation_22-wide,1.0,True,smooth-s1987-orientation_22-wide__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,2.2019194233125552e-05,0.008284424563442803,True,True
smooth-s1987-orientation_22-wide,3.0,True,smooth-s1987-orientation_22-wide__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,2.204508308303164e-05,0.0077379088458746775,True,True
smooth-s1987-orientation_22-wide,10.0,True,smooth-s1987-orientation_22-wide__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_22,wide,2.2315009324431735e-05,0.0053405211918959375,True,True
smooth-s1987-orientation_58-narrow,1.0,True,smooth-s1987-orientation_58-narrow__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.4394555339723878e-05,0.0011796107984638348,True,True
smooth-s1987-orientation_58-narrow,3.0,True,smooth-s1987-orientation_58-narrow__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.440677212701258e-05,0.0011798376850931595,True,True
smooth-s1987-orientation_58-narrow,10.0,True,smooth-s1987-orientation_58-narrow__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_58,narrow,1.477820432229014e-05,0.001199603647707604,True,True
smooth-s1987-orientation_58-wide,1.0,True,smooth-s1987-orientation_58-wide__stress_1,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.3860166994452133e-05,0.006873803918169516,True,True
smooth-s1987-orientation_58-wide,3.0,True,smooth-s1987-orientation_58-wide__stress_3,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.4274686892498364e-05,0.00682299853850449,True,True
smooth-s1987-orientation_58-wide,10.0,True,smooth-s1987-orientation_58-wide__stress_10,smooth-s1987,smooth-s1987,smooth,orientation_58,wide,2.5329993575114443e-05,0.0063389245784751195,True,True
