partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,coefficient_evaluator_forward_calls,coefficient_evaluator_adjoint_calls,frozen_source_candidate_id,evaluator_search_forward_calls,evaluator_search_adjoint_calls,evaluator_search_unique_evaluations,high_order_teacher_setup_seconds
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,frozen_global_pca_rank4_probe_tax_oracle,0.5182224173944985,1.0289349780234507,0.01716462925279107,0.004299187918944328,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.003268958011176437,0.007793748984113336,0.5397925220101544,0.5397925220101544,True,0.4443194294685317,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,truth_conditioned_finite_k_oracle_search,0.5213612904115466,1.0254179793607114,0.017455683746937428,0.003533946746875264,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.002879790961742401,0.0074045819346793,0.5397925220101544,0.5397925220101544,,,,,,2880,2880,288,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,exact_mismatch_refine12_oracle,0.5166825260809641,1.0452187159509727,0.017100220427764778,0.002551085955171047,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.003856374998576939,0.0,0.003802292048931122,0.007658667047508061,,,,,,,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,exact_mismatch_oracle,0.5168019244997468,1.0447925713819477,0.01709396678269172,0.0038197809179800445,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.003856374998576939,0.0006684159743599594,0.002858666004613042,0.00738345697754994,,,,,,,,,,,
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,high_order_teacher_b0p75,0.5211750799395125,1.0152660675440666,0.01755566364143894,0.005329534280338083,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.003856374998576939,0.0006684159743599594,0.0032454580068588257,0.007770248979795724,,,,,,,,,,,0.00015475001418963075
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,low_cgls24_matched,0.6952140748613719,1.232043577262988,-0.014672756229950401,0.0014905990363698325,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007751791039481759,0.007751791039481759,,,,,,,,,,,
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,component_damping,0.689212414839615,1.1129129357034573,-0.015460166608447422,0.0033213874410333256,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004190250008832663,0.0,0.0034062499762512743,0.007596499985083938,,,,,,,,,,,
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,krylov_schedule_damping_anchor,0.6891774002149417,1.1123408629981144,-0.015454563756439431,0.004086392885985643,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.004190250008832663,0.0006478330469690263,0.003165750007610768,0.008003833063412458,,,,,,,,,,,
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,measurement_projection_oracle,0.6868200136632551,1.1279718926105713,-0.015158857252039524,0.0021162879043407465,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004190250008832663,0.0006478330469690263,0.00300362502457574,0.00784170808037743,0.5787756696582468,0.5787756696582468,True,0.7634295522067936,0,0,,,,,
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,adjoint_projection_oracle,0.6869990778349792,1.1233032157511151,-0.015195088109640058,0.0037207013432135672,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004190250008832663,0.0006478330469690263,0.0031305839656852186,0.007968667021486908,0.5787756696582468,0.5787756696582468,True,0.6939881886698587,0,5,,,,,
