method,method_label,source_split,independent_field_count,layouts_per_field,mean_field_rel_l2,median_field_rel_l2,p90_field_rel_l2,mean_audit_reprojection_rel_l2,mean_used_noisy_reprojection_rel_l2,mean_used_clean_reprojection_rel_l2,mean_correction_vs_feasible_relative_l2,mean_outside_support_relative_l2,mean_negative_voxel_fraction
fno_global,FNO + one global Landweber step,test_noise_ood,32,4,0.18156268040931217,0.14261512182109312,0.29756604304596845,0.2363639196815263,0.06936014258948078,0.07011335569294008,0.19518206536040442,0.0,0.0
fno_quadratic,FNO + quadratic step then projection,test_noise_ood,32,4,0.18508299905384493,0.15646768363002497,0.2917633382750211,0.23053221711521996,0.06813604835088885,0.07050940875959094,0.20936685600200083,0.0,0.0
fno_lookup,FNO + validation-tuned spectral lookup,test_noise_ood,32,4,0.1846225385878341,0.15117041929348007,0.29492707981751415,0.23357804321306944,0.06873404896933685,0.07045960639677007,0.20328048157471887,0.0,0.0
ridge_geometry,Ridge + geometry-normalized Landweber,test_noise_ood,32,4,0.18505265059568657,0.15181015768688955,0.2985191247446227,0.23555524472035577,0.0686708752446755,0.07044341116972128,0.44684592228367537,0.0,0.0
ridge_global,Ridge + one global Landweber step,test_noise_ood,32,4,0.18208031219434145,0.14285161964929644,0.3004039265938267,0.2386155905928931,0.06928980621293643,0.07009440561456132,0.44054934963972536,0.0,0.0
ridge_quadratic,Ridge + quadratic step then projection,test_noise_ood,32,4,0.1855607270186705,0.15724542731987046,0.2939788495669113,0.23226464412681058,0.0680756694191726,0.0705226299581268,0.45208994609810893,0.0,0.0
ridge_lookup,Ridge + validation-tuned spectral lookup,test_noise_ood,32,4,0.18505265059568657,0.15181015768688955,0.2985191247446227,0.23555524472035577,0.0686708752446755,0.07044341116972128,0.44684592228367537,0.0,0.0
locked_fno_raw,Locked FNO (raw),val,40,4,0.25782617798074214,0.23139784431729526,0.3869113235825969,0.3262929864158552,0.16416538063432615,0.16271924333778384,0.07567246987219291,0.07488165223792385,0.1372161865234375
feasible_fno,FNO + hard support,val,40,4,0.24773916385946562,0.22428181136807235,0.37918962139796936,0.3257756700741389,0.17569131294581716,0.17388645067362316,0.0,0.0,0.0
ridge_raw,Tuned ridge (unwindowed),val,40,4,0.5795403525384433,0.5730699866337732,0.6166074997251015,0.45191617326376277,0.017419583966676054,0.03877722215134879,0.5732282869758099,0.3919941406778734,0.6412567138671875
feasible_ridge,Tuned ridge + hard support,val,40,4,0.3783476236776185,0.3738331584598804,0.44475861375763076,0.4316553963608712,0.30852773130488453,0.3073590749972138,0.0,0.0,0.0
fno_geometry,FNO + geometry-normalized Landweber,val,40,4,0.14708340000308337,0.09937622272141042,0.264272498217119,0.1954992370726506,0.026990049663194238,0.02873274733773894,0.19941509976550006,0.0,0.0
fno_global,FNO + one global Landweber step,val,40,4,0.1488362130599144,0.09892134849160421,0.2712237880964518,0.19943984458381522,0.02761582264357578,0.029138245162744252,0.19615963108278073,0.0,0.0
fno_quadratic,FNO + quadratic step then projection,val,40,4,0.14385507484329835,0.09971135663699593,0.2534090690154002,0.18719159175424327,0.025787112272421742,0.02791076291370239,0.20585617481516721,0.0,0.0
fno_lookup,FNO + validation-tuned spectral lookup,val,40,4,0.14708340000308337,0.09937622272141042,0.264272498217119,0.1954992370726506,0.026990049663194238,0.02873274733773894,0.19941509976550006,0.0,0.0
ridge_geometry,Ridge + geometry-normalized Landweber,val,40,4,0.14758109160630647,0.09837797110578496,0.25769134332194904,0.19417943659746228,0.026809377372424736,0.028577391147697195,0.47143711548329587,0.0,0.0
ridge_global,Ridge + one global Landweber step,val,40,4,0.1492484601616829,0.09782255104274176,0.26298774537701525,0.1977847756016921,0.027376760032488658,0.02892980553413933,0.46911309251046873,0.0,0.0
ridge_quadratic,Ridge + quadratic step then projection,val,40,4,0.14423093489819858,0.09876909114049856,0.2504500109779089,0.1859340649781137,0.025658224964993915,0.02780709969138655,0.4766269701617006,0.0,0.0
ridge_lookup,Ridge + validation-tuned spectral lookup,val,40,4,0.14758109160630647,0.09837797110578496,0.25769134332194904,0.19417943659746228,0.026809377372424736,0.028577391147697195,0.47143711548329587,0.0,0.0
