cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_iid-cluster-003,wavy_front,0.0,0.0,1.0517669286364701,0.9625889883772559,1.0172866823057631,4.137420256502668,3.1381002205805775,7.77731980330066,0.936444466742726,4,lockbox_iid,2.330201453793444,5.4184518695268205
lockbox_iid-cluster-004,plume,0.0,0.0,0.9983326666510672,0.9451076860464352,0.9885719625744801,2.909760396903562,4.794826204860262,8.159628899341326,0.9311180042958277,4,lockbox_iid,2.266426584040761,6.955213126195523
lockbox_iid-cluster-005,wavy_front,0.0,0.0,1.0886019250389578,0.9694838428737101,1.0402299937194415,4.0403862471734175,1.517256059253815,7.952397973956185,0.9337467285077834,4,lockbox_iid,2.4226409133477005,6.019896282798125
lockbox_iid-cluster-006,plume,0.0,0.0,1.0006367447334665,0.9826950359281585,0.9849890667967429,2.5563836995488245,6.115146150750312,7.37637511836282,0.9384219825390134,4,lockbox_iid,1.3180620034397683,5.063059024317111
lockbox_iid-cluster-007,wavy_front,0.0,0.0,1.0434267928852472,0.9625658685543195,1.0066424472238786,4.192022215838895,2.3081545517392814,8.366948858071357,0.9499823678755611,4,lockbox_iid,3.0571075123484643,6.929850633083662
lockbox_iid-cluster-008,plume,0.0,0.0,1.0118123772240806,0.9409203376609699,1.0006507767496655,3.8954374542630648,4.946598395781024,8.10944738935236,0.9338064440512355,4,lockbox_iid,3.773492749667754,7.896970200209673
lockbox_iid-cluster-009,wavy_front,0.0,0.0,1.043021330174791,0.9353139623076684,1.0231844504203134,3.128112533192608,2.0757021743433968,7.406311752193996,0.9279537039729813,4,lockbox_iid,2.6238369024236614,6.667012047851537
lockbox_iid-cluster-010,plume,0.0,0.0,1.0237642605791246,0.9652886305451991,1.0023690081578367,3.5549079224587765,5.689831583484679,7.700760280589837,0.9444397989316399,4,lockbox_iid,2.459685867993567,6.063309797280654
lockbox_iid-cluster-011,wavy_front,0.0,0.0,1.0227600899034794,0.9147206287768965,1.0023161769430056,5.322292455820756,2.381249223892048,9.79471739780127,0.9071044034498266,4,lockbox_iid,4.332579604256283,8.49883578986142
lockbox_iid-cluster-012,plume,0.0,0.0,1.014674110870347,0.9851282036608278,0.9976937826431453,2.6804649672052814,3.7000063479412617,6.41464641805163,0.9699440988185658,4,lockbox_iid,1.9570674231151406,5.3187580130261916
lockbox_iid-cluster-013,wavy_front,0.0,0.0,1.051258897070027,0.9640394235928513,1.0153422036522777,3.843660604879981,2.9682022888619253,8.853282501712075,0.9299921654441606,4,lockbox_iid,2.562701184352096,6.813193351725869
