candidate_id,method,model_seed,case_id,split,family,base_seed,uses_truth,uses_exact_nuisance,raw_field_relative_l2,candidate_field_relative_l2,field_gain_to_raw,raw_h1_seminorm_relative_error,candidate_h1_seminorm_relative_error,h1_gain_to_raw,field_harm_vs_raw
paired_structured_sensor,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,False,0.40528522893427055,0.34789119024043835,0.14161394148203807,0.6387016808375049,0.613808829501473,0.03897414408459186,False
unpaired_isotropic_sensor,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,False,0.40528522893427055,0.34919922279010823,0.1383865044666071,0.6387016808375049,0.615970678140422,0.03558938919226995,False
unpaired_structured_sensor,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,False,0.40528522893427055,0.3533993227857334,0.12802318575728813,0.6387016808375049,0.6208903466317721,0.027886781482048803,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,True,0.40528522893427055,0.3478994160465188,0.14159364514382194,0.6387016808375049,0.6138211872414233,0.038954795865664145,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,False,True,0.40528522893427055,0.35346606649389584,0.12785850245921196,0.6387016808375049,0.6210023505055791,0.02771141968613169,False
paired_structured_truth_residual_oracle,jacru_m2,43,2aa10b47cf2ae3da6dfc,ood,single_interface,3191,True,False,0.40528522893427055,0.40528522893427055,0.0,0.6387016808375049,0.6387016808375049,0.0,False
paired_isotropic_sensor,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,False,0.6202471475779818,0.49816358914501646,0.19683050363019391,0.7975848338521092,0.7779939292409028,0.024562784771856624,False
paired_structured_sensor,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,False,0.6202471475779818,0.4980281974181091,0.1970487903686917,0.7975848338521092,0.777507656195274,0.025172466682783026,False
unpaired_isotropic_sensor,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,False,0.6202471475779818,0.5084620640153052,0.18022667899270295,0.7975848338521092,0.7966342309057145,0.0011918518332445767,False
unpaired_structured_sensor,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,False,0.6202471475779818,0.485591321684982,0.2171002743322894,0.7975848338521092,0.7582169802550018,0.04935882921315313,False
paired_exact_mean_iid_sensor_oracle,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,True,0.6202471475779818,0.4982213783687727,0.19673733234519578,0.7975848338521092,0.7779446870900029,0.024624523848140383,False
unpaired_exact_covariance_sensor_oracle,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,False,True,0.6202471475779818,0.48559593428848435,0.21709283761368395,0.7975848338521092,0.7581205159472614,0.04947977472721784,False
paired_structured_truth_residual_oracle,jacru_m2,43,00c3a80c137b7dc58c98,ood,two_interface,3191,True,False,0.6202471475779818,0.5613972956825691,0.09488129389263121,0.7975848338521092,0.7433409222378007,0.06801020946239132,False
paired_isotropic_sensor,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.25657247124292687,0.25472227592542235,0.007211199660437177,0.47165423013535784,0.5022848282549909,-0.06494290978974683,False
paired_structured_sensor,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.25657247124292687,0.25475309172005095,0.007091094044743802,0.47165423013535784,0.5023629996464499,-0.0651086485586679,False
unpaired_isotropic_sensor,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.25657247124292687,0.2571332099561073,-0.0021854983524303836,0.47165423013535784,0.5088345095945893,-0.07882952613095673,False
unpaired_structured_sensor,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,False,0.25657247124292687,0.2566163589214451,-0.0001710537311567333,0.47165423013535784,0.5036671805221133,-0.06787376926009601,False
paired_exact_mean_iid_sensor_oracle,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,True,0.25657247124292687,0.254716033399202,0.007235530120326711,0.47165423013535784,0.5022396979121485,-0.064847224561122,False
unpaired_exact_covariance_sensor_oracle,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,False,True,0.25657247124292687,0.25663859405283346,-0.00025771591779221673,0.47165423013535784,0.5037165902167092,-0.06797852755852514,False
paired_structured_truth_residual_oracle,pooled_cnn,17,6c144f9849f9520d81e5,development,smooth_no_interface,2101,True,False,0.25657247124292687,0.2546219703565703,0.007602144052741342,0.47165423013535784,0.46999608136527443,0.003515602456501975,False
