method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,29,ood,cg_damped_1e-4,2,18,16,0.0001,0.4080343477641352,0.7046781812404465,0.3688108300283686,0.28705100042415,17.16127967197484,0.31219864708006606,0.43597968218871913,0.31219851555025235,0.18837082216397985,1.0710752487667734,1.0,0.0,0.18791182376768892,0.0
jacru_m2,29,ood,cg_damped_1e-4,4,18,18,0.0001,0.4140785120982985,0.7171607966234027,0.3519316198241154,0.28520922251912456,14.247612498642818,0.17611275494494025,0.2924852928318716,0.17611225038073824,0.11294099680525023,1.0407965804343744,1.0,0.0,0.1503305481113209,0.0
jacru_m2,29,ood,cg_damped_1e-4,8,18,22,0.0001,0.4208906032938393,0.7299678925517045,0.3266210554837649,0.28260565360771045,15.17524035832112,0.06834675105463292,0.1115725159393738,0.06834447858478185,0.04300737567298354,1.0066908089196582,1.0,0.0,0.10901200328922038,0.0
jacru_m2,29,ood,cg_damped_1e-4,12,18,26,0.0001,0.42199344950135115,0.7325846868722095,0.3117264985591205,0.2810419834884108,23.52346469818218,0.023235116144759982,0.04516913890691109,0.02322740500914075,0.017347194144892494,1.0014086485144957,1.0,0.0,0.09292420790785086,0.0
jacru_m2,29,ood,cg_damped_1e-6,0,18,14,1e-06,0.4443226648494217,0.7086580006178906,0.3187803049014843,0.2679683978861932,38.833373304463976,1.0,1.0,1.0,0.4062682057675287,0.9087171000714217,1.0,0.0,0.09597165820716488,0.0
jacru_m2,29,ood,cg_damped_1e-6,1,18,15,1e-06,0.41829503991911465,0.7013142345549147,0.3557102168033483,0.28374414386584185,21.037423132631297,0.457583155490047,0.5731644087975244,0.457583155485466,0.2495574947202993,1.02737589454133,1.0,0.0,0.1728544194713861,0.0
jacru_m2,29,ood,cg_damped_1e-6,2,18,16,1e-06,0.4080351433287512,0.7047029187704887,0.3688092618244829,0.28702555735501867,17.16999899532264,0.312362877891004,0.43623589596094275,0.3123628778778485,0.1883707846770889,1.07107276019611,1.0,0.0,0.1879283252691451,0.0
jacru_m2,29,ood,cg_damped_1e-6,4,18,18,1e-06,0.41410238008933425,0.7172428658189951,0.3518946800170301,0.2851269238396271,14.268515528006885,0.1763994683986896,0.2930525558564274,0.17639946834822523,0.11294067172037647,1.040685374724254,1.0,0.0,0.1502704598595797,0.0
jacru_m2,29,ood,cg_damped_1e-6,8,18,22,1e-06,0.4209688817716283,0.7301635233032482,0.32649751270745236,0.28241235207421067,15.223956774584543,0.068673025426625,0.11216847115672236,0.06867302519950949,0.043003817793627025,1.006316738712459,1.0,0.0,0.10873927924411557,0.0
jacru_m2,29,ood,cg_damped_1e-6,12,18,26,1e-06,0.42208940651525695,0.7328227271725397,0.3115722335247557,0.2808068450223742,23.557733092579795,0.023416115599092922,0.0455627329669716,0.023416114829889832,0.01733418587326695,1.0009512712596633,1.0,0.0,0.09258521647829429,0.0
jacru_m2,29,ood,cg_undamped,0,18,14,0.0,0.4443226648494217,0.7086580006178906,0.3187803049014843,0.2679683978861932,38.833373304463976,1.0,1.0,1.0,0.4062682057675287,0.9087171000714217,1.0,0.0,0.09597165820716488,0.0
jacru_m2,29,ood,cg_undamped,1,18,15,0.0,0.4182950496345385,0.7013143384431593,0.3557101989966974,0.28374403648179347,21.037463896893197,0.45758409866586713,0.573165534471514,0.45758409866586713,0.24955749471944497,1.027375866851056,1.0,0.0,0.17285452435469764,0.0
jacru_m2,29,ood,cg_undamped,2,18,16,0.0,0.4080351514163183,0.7047031688276254,0.36880924590378145,0.2870253001668905,17.170087179154706,0.3123645388271533,0.43623848645858937,0.3123645388271533,0.188370784673337,1.0710727348303501,1.0,0.0,0.1879284919370758,0.0
jacru_m2,29,ood,cg_undamped,4,18,18,0.0,0.41410262176177703,0.71724369624869,0.35189430598931054,0.285126091088333,14.26872731660487,0.17640237317861998,0.293058300573075,0.17640237317861995,0.11294067168779748,1.0406842487399528,1.0,0.0,0.15026985148589242,0.0
