case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,reference_kind
d2bd02757c7386060fa0,ood,two_interface,3121,pooled_cnn,17,0.48348151701497927,0.02464253657873733,0.06616149495890516,-0.005217703357969717,0.880797456887766,0.009642224510521472,0.0281748086293847,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,17,0.33721364096109,0.025154808221666138,0.033296866345985665,-3.735021642456041e-05,0.5617110613898525,0.31278461286452525,0.3143104126071139,,,13,13,1,1,0.0,raw_learned
efe6f0ab78d4c4993662,ood,smooth_no_interface,3137,pooled_cnn,17,0.32913545243670783,0.024552207204310655,0.03249921663392948,0.0003000557427361705,0.5955562690674956,0.007663524735132671,0.01670430052431604,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
59d5c6804bd39f12f83e,ood,single_interface,3137,pooled_cnn,17,0.4539777916232892,0.04985078084859179,0.05306260019151884,0.003959593776399564,0.6855311053437065,0.17987501317668583,0.18310022299331752,,,13,13,1,1,0.0,raw_learned
59d5c6804bd39f12f83e,ood,single_interface,3137,pooled_cnn,17,0.4686922974025525,0.05146656385919791,0.05478248594713911,0.0026861958418299154,0.7611472530782963,0.01420769274316298,0.027183501522785987,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
73a367367e8a2588b8c2,ood,two_interface,3137,pooled_cnn,17,0.5608599086611092,0.030956072149639625,0.08113088496973553,-0.005253888085972268,0.8494188696308399,0.3566254694964718,0.3539351233664757,,,13,13,1,1,0.0,raw_learned
73a367367e8a2588b8c2,ood,two_interface,3137,pooled_cnn,17,0.5148162300727053,0.028414739787659935,0.07447046169209949,-0.004673597240815726,0.872229738424086,0.008472263964318391,0.021502575571475595,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,pooled_cnn,17,0.31737208184304755,0.03354313553755259,0.03625919752178925,0.00479105060652136,0.5668429818704509,0.2227222639613173,0.22143940427163064,,,13,13,1,1,0.0,raw_learned
9a6e1a09d5cfb3f6b9d9,ood,smooth_no_interface,3163,pooled_cnn,17,0.3111707966922461,0.032887720142750425,0.03555071169069133,0.004519981958568119,0.6127857555028853,0.009245049214569041,0.01635295510075473,,,13,13,1,1,0.0,retrospective_dense_oracle_base_anchor
35d22c1380baf6593b39,ood,single_interface,3163,pooled_cnn,17,0.6255178715318358,0.07542528856781636,0.07378687042769566,0.007196731003753844,0.8917329777566441,0.15589900116754118,0.15468076234936332,,,13,13,1,1,0.0,raw_learned
