split,candidate_id,replicate,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,mean_field_gain_percent,field_harm_over_one_percent_rate,mean_gradient_gain_percent,mean_front_f1_gain
opened_diagnostic_check,full_graph_s7_k4,12,full_graph,1.0,7.0,0.05,4,-25.162443482880818,0.875,-24.504382888722926,-0.22046396834775805
opened_diagnostic_check,full_graph_s7_k4,13,full_graph,1.0,7.0,0.05,4,-18.422948789372033,0.875,-18.76002758142073,-0.15914632566273212
opened_diagnostic_check,full_graph_s7_k4,14,full_graph,1.0,7.0,0.05,4,-19.95291264567616,0.875,-19.00904550080823,-0.1905365326674655
opened_diagnostic_check,full_graph_s7_k4,15,full_graph,1.0,7.0,0.05,4,-22.051894495088202,1.0,-19.116320600859208,-0.1853658587206155
opened_diagnostic_check,full_graph_s7_k5,8,full_graph,1.0,7.0,0.05,5,-12.412393706098126,0.75,-14.362229618044529,-0.11189025337807834
opened_diagnostic_check,full_graph_s7_k5,9,full_graph,1.0,7.0,0.05,5,-13.248145409165934,0.875,-14.38175811519896,-0.11892880429513752
opened_diagnostic_check,full_graph_s7_k5,10,full_graph,1.0,7.0,0.05,5,-15.703242598138715,1.0,-15.578212949376613,-0.09782426338642836
opened_diagnostic_check,full_graph_s7_k5,11,full_graph,1.0,7.0,0.05,5,-11.28414645315709,0.75,-10.718558919141163,-0.10691898735240102
opened_diagnostic_check,full_graph_s7_k5,12,full_graph,1.0,7.0,0.05,5,-20.248961887253998,1.0,-19.12960346298619,-0.12225609831511974
opened_diagnostic_check,full_graph_s7_k5,13,full_graph,1.0,7.0,0.05,5,-18.61233497789658,1.0,-18.402492399218453,-0.13353658036794513
opened_diagnostic_check,full_graph_s7_k5,14,full_graph,1.0,7.0,0.05,5,-12.309229841034021,1.0,-11.153416053542593,-0.08471860131248832
opened_diagnostic_check,full_graph_s7_k5,15,full_graph,1.0,7.0,0.05,5,-14.832826535003333,1.0,-13.481612832043815,-0.111035026027821
opened_diagnostic_check,spatial_a0_s3_k2,8,spatial_tempered,0.0,3.0,0.05,2,14.319789131374641,0.125,16.51845721342365,0.18932927260175347
opened_diagnostic_check,spatial_a0_s3_k2,9,spatial_tempered,0.0,3.0,0.05,2,10.229538013314471,0.25,14.70009540282722,0.1610216647386551
opened_diagnostic_check,spatial_a0_s3_k2,10,spatial_tempered,0.0,3.0,0.05,2,7.3431635168043625,0.125,12.653477604569868,0.1466879229992628
opened_diagnostic_check,spatial_a0_s3_k2,11,spatial_tempered,0.0,3.0,0.05,2,12.51789969170583,0.25,13.335716481352623,0.14491027779877186
opened_diagnostic_check,spatial_a0_s3_k2,12,spatial_tempered,0.0,3.0,0.05,2,17.75402280259486,0.125,19.130284636392634,0.19207317009568214
